time,Toronto,pts.away,score,pts.home,Brooklyn
1:12.0,,,89-71,,M. Brown misses 2-pt shot from 20 ft
1:11.0,Defensive rebound by D. Wright,,89-71,,
1:07.0,Toronto full timeout,,89-71,,
1:07.0,N. Powell enters the game for C. Joseph,,89-71,,
1:07.0,B. Caboclo enters the game for P. Patterson,,89-71,,
0:51.0,N. Powell makes 2-pt shot from 19 ft (assist by D. Wright),2,91-71,,
0:34.0,,,91-73,2,W. Reed makes 2-pt shot at rim (assist by S. Karasev)
0:20.0,N. Powell misses 2-pt shot from 1 ft (block by W. Reed),,91-73,,
0:19.0,,,91-73,,Defensive rebound by W. Reed
0:11.0,,,91-73,,Turnover by S. Karasev (bad pass; steal by B. Caboclo)
0:10.0,Turnover by B. Caboclo (bad pass),,91-73,,
0:02.0,,,91-73,,Shooting foul by L. Nogueira (drawn by W. Reed)
0:02.0,,,91-74,1,W. Reed makes free throw 1 of 2
0:02.0,,,91-74,,W. Reed misses free throw 2 of 2
0:01.0,Defensive rebound by B. Caboclo,,91-74,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
