time,Charlotte,pts.away,score,pts.home,Dallas
3:14.0,,,105-85,,J. Jenkins misses 2-pt shot from 9 ft (block by A. Jefferson)
3:12.0,,,105-85,,Offensive rebound by J. Anderson
3:10.0,,,105-85,,R. Felton misses 3-pt shot from 23 ft
3:09.0,Defensive rebound by K. Walker,,105-85,,
2:57.0,Turnover by A. Jefferson (lost ball; steal by Z. Pachulia),,105-85,,
2:48.0,Shooting block foul by M. Williams (drawn by Z. Pachulia),,105-85,,
2:48.0,,,105-86,1,Z. Pachulia makes free throw 1 of 2
2:48.0,B. Roberts enters the game for M. Williams,,105-86,,
2:48.0,F. Kaminsky enters the game for A. Jefferson,,105-86,,
2:48.0,T. Daniels enters the game for N. Batum,,105-86,,
2:48.0,T. Hansbrough enters the game for K. Walker,,105-86,,
2:48.0,,,105-86,,C. Villanueva enters the game for R. Felton
2:48.0,,,105-87,1,Z. Pachulia makes free throw 2 of 2
2:35.0,J. Lamb makes 3-pt shot from 25 ft,3,108-87,,
2:20.0,,,108-87,,J. Jenkins misses 2-pt shot from 18 ft
2:19.0,Defensive rebound by T. Daniels,,108-87,,
2:10.0,B. Roberts misses 2-pt shot from 10 ft,,108-87,,
2:09.0,,,108-87,,Defensive rebound by Z. Pachulia
2:04.0,,,108-87,,Dallas full timeout
2:04.0,,,108-87,,D. Powell enters the game for Z. Pachulia
1:55.0,,,108-87,,J. Evans misses 3-pt shot from 23 ft
1:54.0,Defensive rebound by Team,,108-87,,
1:34.0,T. Hansbrough misses 2-pt shot from 2 ft,,108-87,,
1:33.0,,,108-87,,Defensive rebound by D. Powell
1:23.0,,,108-90,3,C. Villanueva makes 3-pt shot from 24 ft (assist by D. Powell)
1:08.0,T. Daniels misses 3-pt shot from 23 ft,,108-90,,
1:07.0,,,108-90,,Defensive rebound by C. Villanueva
0:59.0,,,108-90,,C. Villanueva misses 3-pt shot from 24 ft
0:58.0,Defensive rebound by T. Daniels,,108-90,,
0:44.0,B. Roberts misses 2-pt shot from 21 ft,,108-90,,
0:43.0,,,108-90,,Defensive rebound by J. Evans
0:36.0,,,108-92,2,C. Villanueva makes 2-pt shot from 1 ft (assist by J. Jenkins)
0:12.0,T. Daniels misses 2-pt shot from 12 ft,,108-92,,
0:11.0,,,108-92,,Defensive rebound by J. Jenkins
0:03.0,Personal foul by T. Hansbrough (drawn by J. Jenkins),,108-92,,
0:03.0,,,108-93,1,J. Jenkins makes free throw 1 of 2
0:03.0,,,108-94,1,J. Jenkins makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
