time,Golden State,pts.away,score,pts.home,Toronto
3:37.0,S. Curry makes 3-pt shot from 25 ft,3,98-98,,
3:08.0,,,98-98,,K. Lowry misses 2-pt shot from 20 ft
3:07.0,Defensive rebound by D. Green,,98-98,,
3:04.0,Shooting foul by P. Patterson (drawn by D. Green),,98-98,,
3:04.0,D. Green misses free throw 1 of 2,,98-98,,
3:04.0,Offensive rebound by Team,,98-98,,
3:04.0,,,98-98,,L. Nogueira enters the game for L. Scola
3:04.0,D. Green makes free throw 2 of 2,1,99-98,,
2:44.0,,,99-100,2,D. DeRozan makes 2-pt shot from 9 ft
2:33.0,S. Curry makes 3-pt shot from 24 ft,3,102-100,,
2:03.0,,,102-102,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
1:52.0,S. Curry misses 3-pt shot from 25 ft,,102-102,,
1:50.0,,,102-102,,Defensive rebound by P. Patterson
1:30.0,,,102-102,,D. DeRozan misses 2-pt shot from 2 ft
1:30.0,Defensive rebound by A. Iguodala,,102-102,,
1:25.0,,,102-102,,Shooting block foul by P. Patterson (drawn by D. Green)
1:25.0,D. Green makes free throw 1 of 2,1,103-102,,
1:25.0,D. Green makes free throw 2 of 2,1,104-102,,
1:25.0,,,104-102,,Toronto full timeout
1:09.0,,,104-102,,Shooting foul by S. Curry (drawn by D. DeRozan)
1:09.0,,,104-103,1,D. DeRozan makes free throw 1 of 2
1:09.0,,,104-103,,D. DeRozan misses free throw 2 of 2
1:08.0,Defensive rebound by A. Iguodala,,104-103,,
0:59.0,,,104-103,,Away from play foul by C. Joseph (drawn by S. Curry)
0:59.0,S. Curry makes free throw 1 of 2,1,105-103,,
0:59.0,S. Curry makes free throw 2 of 2,1,106-103,,
0:44.0,,,106-105,2,K. Lowry makes 2-pt shot from 2 ft
0:44.0,,,106-105,,Shooting foul by K. Thompson (drawn by K. Lowry)
0:44.0,Golden State full timeout,,106-105,,
0:44.0,,,106-105,,D. Carroll enters the game for L. Nogueira
0:44.0,,,106-105,,K. Lowry misses free throw 1 of 1
0:44.0,Defensive rebound by D. Green,,106-105,,
0:22.0,K. Thompson misses 2-pt shot from 13 ft,,106-105,,
0:21.0,Offensive rebound by Team,,106-105,,
0:18.0,,,106-105,,Personal block foul by D. DeRozan (drawn by S. Curry)
0:18.0,S. Curry makes free throw 1 of 2,1,107-105,,
0:18.0,S. Curry makes free throw 2 of 2,1,108-105,,
0:18.0,,,108-105,,Toronto full timeout
0:11.0,,,108-107,2,K. Lowry makes 2-pt shot from 1 ft
0:07.0,,,108-107,,Personal foul by P. Patterson (drawn by K. Thompson)
0:07.0,K. Thompson makes free throw 1 of 2,1,109-107,,
0:07.0,,,109-107,,L. Nogueira enters the game for D. Carroll
0:07.0,K. Thompson makes free throw 2 of 2,1,110-107,,
0:07.0,,,110-107,,Toronto full timeout
0:07.0,,,110-107,,L. Scola enters the game for L. Nogueira
0:07.0,,,110-107,,D. Carroll enters the game for P. Patterson
0:06.0,Personal foul by D. Green (drawn by L. Scola),,110-107,,
0:06.0,,,110-108,1,L. Scola makes free throw 1 of 2
0:06.0,F. Ezeli enters the game for S. Livingston,,110-108,,
0:06.0,,,110-109,1,L. Scola makes free throw 2 of 2
0:06.0,Golden State full timeout,,110-109,,
0:06.0,,,110-109,,P. Patterson enters the game for L. Scola
0:06.0,S. Livingston enters the game for F. Ezeli,,110-109,,
0:05.0,,,110-109,,Personal foul by C. Joseph (drawn by S. Curry)
0:05.0,S. Curry makes free throw 1 of 2,1,111-109,,
0:05.0,S. Curry makes free throw 2 of 2,1,112-109,,
0:03.0,,,112-109,,Turnover by C. Joseph (lost ball)
0:03.0,Golden State full timeout,,112-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
