time,Dallas,pts.away,score,pts.home,Cleveland
0:03.0,Turnover by D. Harris (lost ball; steal by K. Irving),,95-97,,
0:02.0,Personal foul by D. Nowitzki,,95-97,,
0:02.0,,,95-98,1,K. Irving makes free throw 1 of 2
0:02.0,D. Lee enters the game for J. Barea,,95-98,,
0:02.0,,,95-99,1,K. Irving makes free throw 2 of 2
0:02.0,Dallas full timeout,,95-99,,
0:02.0,J. Barea enters the game for D. Lee,,95-99,,
0:02.0,W. Matthews enters the game for D. Harris,,95-99,,
0:02.0,D. Williams enters the game for Z. Pachulia,,95-99,,
0:02.0,,,95-99,,M. Dellavedova enters the game for K. Love
0:00.0,D. Williams makes 3-pt shot from 25 ft (assist by C. Parsons),3,98-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
