time,Chicago,pts.away,score,pts.home,Houston
0:31.0,,,99-92,1,T. Ariza makes free throw 1 of 3
0:31.0,,,99-93,1,T. Ariza makes free throw 2 of 3
0:31.0,P. Gasol enters the game for J. Holiday,,99-93,,
0:31.0,,,99-94,1,T. Ariza makes free throw 3 of 3
0:25.0,Chicago full timeout,,99-94,,
0:25.0,Chicago full timeout,,99-94,,
0:25.0,M. Dunleavy enters the game for E. Moore,,99-94,,
0:25.0,,,99-94,,C. Brewer enters the game for M. Beasley
0:25.0,,,99-94,,C. Capela enters the game for J. Terry
0:23.0,,,99-94,,Personal take foul by C. Brewer
0:23.0,M. Dunleavy makes free throw 1 of 2,1,100-94,,
0:23.0,J. Holiday enters the game for D. McDermott,,100-94,,
0:23.0,E. Moore enters the game for P. Gasol,,100-94,,
0:23.0,,,100-94,,M. Beasley enters the game for C. Capela
0:23.0,,,100-94,,J. Terry enters the game for C. Brewer
0:23.0,M. Dunleavy misses free throw 2 of 2,,100-94,,
0:22.0,,,100-94,,Defensive rebound by M. Beasley
0:18.0,,,100-97,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
0:17.0,,,100-97,,Personal take foul by J. Terry
0:17.0,N. Mirotic makes free throw 1 of 2,1,101-97,,
0:17.0,D. McDermott enters the game for M. Dunleavy,,101-97,,
0:17.0,N. Mirotic makes free throw 2 of 2,1,102-97,,
0:11.0,,,102-100,3,J. Harden makes 3-pt shot from 26 ft
0:10.0,,,102-100,,Personal foul by P. Beverley
0:10.0,J. Holiday makes free throw 1 of 2,1,103-100,,
0:10.0,J. Holiday misses free throw 2 of 2,,103-100,,
0:09.0,,,103-100,,Defensive rebound by J. Harden
0:00.0,,,103-100,,T. Ariza misses 3-pt shot from 22 ft
0:00.0,,,103-100,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
