time,Oklahoma City,pts.away,score,pts.home,Detroit
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Shooting foul by T. Harris (drawn by S. Adams),,48-46,,
11:50.0,S. Adams misses free throw 1 of 2,,48-46,,
11:50.0,Offensive rebound by Team,,48-46,,
11:50.0,S. Adams makes free throw 2 of 2,1,49-46,,
11:37.0,,,49-46,,M. Morris misses 2-pt shot from 13 ft
11:34.0,,,49-46,,Offensive rebound by A. Drummond
11:25.0,,,49-48,2,A. Drummond makes 2-pt shot from 8 ft (assist by K. Caldwell-Pope)
11:02.0,R. Westbrook misses 2-pt shot from 13 ft,,49-48,,
11:02.0,Offensive rebound by A. Roberson,,49-48,,
10:58.0,A. Roberson makes 2-pt shot from 1 ft,2,51-48,,
10:42.0,,,51-48,,T. Harris misses 2-pt shot from 3 ft (block by S. Adams)
10:40.0,Defensive rebound by R. Westbrook,,51-48,,
10:34.0,K. Singler misses 2-pt shot from 5 ft,,51-48,,
10:33.0,,,51-48,,Defensive rebound by T. Harris
10:16.0,,,51-48,,R. Jackson misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by A. Roberson,,51-48,,
10:01.0,D. Waiters misses 2-pt shot from 15 ft,,51-48,,
10:00.0,,,51-48,,Defensive rebound by A. Drummond
9:55.0,,,51-48,,Turnover by R. Jackson (lost ball; steal by D. Waiters)
9:49.0,D. Waiters misses 2-pt shot from 2 ft (block by R. Jackson),,51-48,,
9:48.0,,,51-48,,Defensive rebound by T. Harris
9:41.0,,,51-48,,K. Caldwell-Pope misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by D. Waiters,,51-48,,
9:29.0,D. Waiters misses 3-pt shot from 23 ft,,51-48,,
9:29.0,,,51-48,,Defensive rebound by A. Drummond
9:16.0,,,51-48,,K. Caldwell-Pope misses 2-pt shot from 5 ft
9:16.0,Defensive rebound by Team,,51-48,,
8:55.0,R. Westbrook misses 3-pt shot from 25 ft,,51-48,,
8:55.0,,,51-48,,Defensive rebound by T. Harris
8:48.0,,,51-50,2,M. Morris makes 2-pt shot at rim (assist by R. Jackson)
8:24.0,R. Westbrook misses 2-pt shot from 16 ft,,51-50,,
8:23.0,Offensive rebound by K. Singler,,51-50,,
8:17.0,R. Westbrook misses 2-pt shot from 4 ft,,51-50,,
8:16.0,,,51-50,,Defensive rebound by T. Harris
8:09.0,,,51-50,,K. Caldwell-Pope misses 3-pt shot from 23 ft
8:09.0,Defensive rebound by D. Waiters,,51-50,,
8:09.0,Oklahoma City full timeout,,51-50,,
8:00.0,Turnover by A. Roberson (lost ball; steal by K. Caldwell-Pope),,51-50,,
7:56.0,,,51-52,2,K. Caldwell-Pope makes 2-pt shot at rim
7:33.0,K. Singler misses 2-pt shot from 9 ft,,51-52,,
7:33.0,,,51-52,,Defensive rebound by K. Caldwell-Pope
7:20.0,,,51-54,2,K. Caldwell-Pope makes 2-pt shot from 12 ft (assist by R. Jackson)
6:56.0,R. Westbrook misses 3-pt shot from 26 ft,,51-54,,
6:55.0,,,51-54,,Defensive rebound by A. Drummond
