time,Denver,pts.away,score,pts.home,Philadelphia
6:14.0,Offensive rebound by E. Mudiay,,87-94,,
6:14.0,Shooting foul by H. Thompson (drawn by E. Mudiay),,87-94,,
6:14.0,E. Mudiay misses free throw 1 of 2,,87-94,,
6:14.0,Offensive rebound by Team,,87-94,,
6:14.0,E. Mudiay makes free throw 2 of 2,1,88-94,,
6:01.0,Personal foul by D. Arthur (drawn by R. Holmes),,88-94,,
5:51.0,,,88-94,,H. Thompson misses 2-pt shot from 4 ft
5:49.0,Defensive rebound by W. Barton,,88-94,,
5:45.0,W. Barton makes 2-pt shot from 2 ft,2,90-94,,
5:19.0,,,90-94,,T. McConnell misses 2-pt shot from 10 ft (block by D. Gallinari)
5:16.0,Defensive rebound by W. Barton,,90-94,,
5:12.0,Shooting foul by H. Thompson (drawn by D. Gallinari),,90-94,,
5:12.0,D. Gallinari makes free throw 1 of 2,1,91-94,,
5:12.0,,,91-94,,J. Sampson enters the game for N. Stauskas
5:12.0,,,91-94,,N. Noel enters the game for R. Holmes
5:12.0,,,91-94,,I. Canaan enters the game for H. Thompson
5:12.0,D. Gallinari makes free throw 2 of 2,1,92-94,,
5:01.0,,,92-97,3,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell)
4:39.0,R. Foye misses 2-pt shot from 4 ft,,92-97,,
4:36.0,Offensive rebound by D. Gallinari,,92-97,,
4:36.0,D. Gallinari makes 2-pt shot from 1 ft,2,94-97,,
4:19.0,,,94-97,,Shooting foul by D. Arthur (drawn by J. Sampson)
4:19.0,K. Faried enters the game for D. Arthur,,94-97,,
4:19.0,,,94-98,1,J. Sampson makes free throw 1 of 2
4:19.0,J. Nelson enters the game for E. Mudiay,,94-98,,
4:19.0,,,94-99,1,J. Sampson makes free throw 2 of 2
4:00.0,W. Barton misses 3-pt shot from 26 ft,,94-99,,
3:58.0,,,94-99,,Defensive rebound by J. Sampson
3:55.0,,,94-99,,Turnover by N. Noel (lost ball)
3:40.0,K. Faried makes 2-pt shot from 1 ft (assist by J. Nelson),2,96-99,,
3:27.0,,,96-99,,R. Covington misses 3-pt shot from 25 ft
3:26.0,,,96-99,,Offensive rebound by J. Sampson
3:24.0,,,96-101,2,J. Sampson makes 2-pt shot from 2 ft
3:12.0,J. Nelson makes 2-pt shot from 1 ft,2,98-101,,
2:56.0,Personal foul by D. Gallinari (drawn by R. Covington),,98-101,,
2:56.0,Official timeout,,98-101,,
2:44.0,,,98-101,,T. McConnell misses 2-pt shot from 17 ft
2:43.0,,,98-101,,Offensive rebound by J. Sampson
2:41.0,,,98-101,,Shooting foul by K. Faried (drawn by N. Noel)
2:41.0,,,98-102,1,N. Noel makes free throw 1 of 2
2:41.0,,,98-102,,N. Noel misses free throw 2 of 2
2:40.0,Defensive rebound by J. Nelson,,98-102,,
2:29.0,J. Nelson misses 2-pt shot from 3 ft,,98-102,,
2:27.0,,,98-102,,Defensive rebound by T. McConnell
2:04.0,,,98-102,,J. Sampson misses 2-pt shot from 4 ft
2:03.0,Defensive rebound by W. Barton,,98-102,,
1:58.0,Shooting foul by J. Sampson (drawn by W. Barton),,98-102,,
1:58.0,W. Barton makes free throw 1 of 2,1,99-102,,
1:58.0,W. Barton makes free throw 2 of 2,1,100-102,,
1:45.0,,,100-102,,Turnover by N. Noel (lost ball; steal by R. Foye)
1:26.0,J. Nelson makes 2-pt shot from 18 ft,2,102-102,,
1:26.0,,,102-102,,Philadelphia full timeout
1:26.0,,,102-102,,N. Stauskas enters the game for J. Sampson
1:26.0,,,102-102,,J. Grant enters the game for T. McConnell
1:03.0,,,102-102,,I. Canaan misses 2-pt shot from 10 ft
1:01.0,Defensive rebound by K. Faried,,102-102,,
0:48.0,D. Gallinari makes 2-pt shot at rim (assist by J. Nelson),2,104-102,,
0:36.0,,,104-102,,Turnover by R. Covington (lost ball)
0:23.0,D. Gallinari misses 3-pt shot from 26 ft,,104-102,,
0:21.0,Offensive rebound by K. Faried,,104-102,,
0:20.0,,,104-102,,Personal foul by R. Covington (drawn by K. Faried)
0:20.0,K. Faried misses free throw 1 of 2,,104-102,,
0:20.0,Offensive rebound by Team,,104-102,,
0:20.0,K. Faried makes free throw 2 of 2,1,105-102,,
0:20.0,,,105-102,,Philadelphia full timeout
0:20.0,,,105-102,,H. Thompson enters the game for J. Grant
0:15.0,,,105-102,,R. Covington misses 3-pt shot from 26 ft
0:13.0,Defensive rebound by R. Foye,,105-102,,
0:11.0,,,105-102,,Personal foul by H. Thompson (drawn by R. Foye)
0:11.0,R. Foye makes free throw 1 of 2,1,106-102,,
0:11.0,R. Foye makes free throw 2 of 2,1,107-102,,
0:11.0,,,107-102,,Philadelphia full timeout
0:11.0,,,107-102,,J. Grant enters the game for N. Noel
0:08.0,,,107-102,,H. Thompson misses 3-pt shot from 27 ft
0:07.0,Defensive rebound by K. Faried,,107-102,,
0:06.0,,,107-102,,Personal foul by R. Covington (drawn by K. Faried)
0:06.0,K. Faried makes free throw 1 of 2,1,108-102,,
0:06.0,K. Faried misses free throw 2 of 2,,108-102,,
0:05.0,,,108-102,,Defensive rebound by R. Covington
0:01.0,,,108-105,3,R. Covington makes 3-pt shot from 33 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
