time,Miami,pts.away,score,pts.home,LA Lakers
2:29.0,Turnover by J. Winslow (bad pass),,61-63,,
2:19.0,,,61-65,2,B. Bass makes 2-pt shot at rim (assist by J. Randle)
2:19.0,,,61-65,,Shooting foul by H. Whiteside (drawn by B. Bass)
2:19.0,,,61-65,,B. Bass misses free throw 1 of 1
2:18.0,Defensive rebound by H. Whiteside,,61-65,,
2:08.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,63-65,,
2:08.0,Shooting foul by M. Huertas (drawn by H. Whiteside),,63-65,,
2:08.0,H. Whiteside makes free throw 1 of 1,1,64-65,,
1:52.0,,,64-65,,M. Huertas misses 2-pt shot from 7 ft
1:49.0,Defensive rebound by J. Winslow,,64-65,,
1:44.0,G. Dragic misses 2-pt shot from 1 ft,,64-65,,
1:44.0,Offensive rebound by H. Whiteside,,64-65,,
1:44.0,,,64-65,,Personal foul by J. Randle
1:35.0,G. Dragic misses 2-pt shot from 13 ft,,64-65,,
1:33.0,Offensive rebound by H. Whiteside,,64-65,,
1:33.0,Turnover by H. Whiteside (traveling),,64-65,,
1:22.0,,,64-65,,L. Williams misses 3-pt shot from 24 ft
1:20.0,Defensive rebound by H. Whiteside,,64-65,,
1:07.0,H. Whiteside misses 2-pt shot from 4 ft,,64-65,,
1:06.0,,,64-65,,Defensive rebound by J. Randle
0:50.0,,,64-65,,J. Randle misses 2-pt shot from 1 ft
0:50.0,Defensive rebound by Team,,64-65,,
0:50.0,,,64-65,,Loose ball foul by J. Randle
0:50.0,J. Winslow makes free throw 1 of 2,1,65-65,,
0:50.0,,,65-65,,R. Hibbert enters the game for J. Randle
0:50.0,J. Winslow misses free throw 2 of 2,,65-65,,
0:49.0,,,65-65,,Defensive rebound by R. Kelly
0:31.0,,,65-65,,Turnover by L. Williams (lost ball; steal by L. Deng)
0:27.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Winslow),2,67-65,,
0:03.0,,,67-67,2,R. Hibbert makes 2-pt shot from 5 ft (assist by M. Huertas)
0:01.0,J. Richardson misses 3-pt shot from 35 ft,,67-67,,
0:00.0,Offensive rebound by Team,,67-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,67-67,,R. Kelly misses 2-pt shot from 15 ft
11:39.0,,,67-67,,Offensive rebound by R. Hibbert
11:39.0,,,67-69,2,R. Hibbert makes 2-pt shot from 2 ft
11:23.0,L. Deng misses 2-pt shot from 6 ft,,67-69,,
11:21.0,Offensive rebound by H. Whiteside,,67-69,,
11:20.0,Shooting foul by R. Hibbert (drawn by H. Whiteside),,67-69,,
