time,Sacramento,pts.away,score,pts.home,San Antonio
4:01.0,Q. Acy enters the game for R. Gay,,63-75,,
3:46.0,,,63-75,,K. Leonard misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by Team,,63-75,,
3:45.0,,,63-75,,B. Marjanovic enters the game for D. West
3:28.0,Turnover by Q. Acy (traveling),,63-75,,
3:10.0,,,63-75,,Shooting foul by D. Cousins (drawn by B. Marjanovic)
3:10.0,,,63-76,1,B. Marjanovic makes free throw 1 of 2
3:10.0,,,63-77,1,B. Marjanovic makes free throw 2 of 2
2:57.0,D. Cousins misses 3-pt shot from 24 ft,,63-77,,
2:56.0,,,63-77,,Defensive rebound by B. Marjanovic
2:46.0,,,63-77,,Shooting foul by D. Cousins (drawn by M. Ginobili)
2:46.0,,,63-78,1,M. Ginobili makes free throw 1 of 2
2:46.0,W. Cauley-Stein enters the game for D. Cousins,,63-78,,
2:46.0,,,63-78,,K. Anderson enters the game for K. Leonard
2:46.0,,,63-79,1,M. Ginobili makes free throw 2 of 2
2:23.0,O. Casspi misses 2-pt shot from 2 ft,,63-79,,
2:22.0,Offensive rebound by O. Casspi,,63-79,,
2:22.0,O. Casspi misses 2-pt shot from 2 ft,,63-79,,
2:21.0,,,63-79,,Defensive rebound by K. Anderson
2:10.0,,,63-79,,T. Parker misses 3-pt shot from 23 ft
2:06.0,,,63-79,,Offensive rebound by M. Ginobili
1:51.0,,,63-79,,Turnover by K. Anderson (lost ball; steal by R. Rondo)
1:46.0,Q. Acy makes 2-pt shot from 1 ft (assist by R. Rondo),2,65-79,,
1:24.0,,,65-81,2,M. Ginobili makes 2-pt shot from 12 ft
1:14.0,W. Cauley-Stein misses 2-pt shot from 18 ft,,65-81,,
1:13.0,,,65-81,,Defensive rebound by K. Anderson
1:00.0,Personal foul by R. Rondo (drawn by M. Ginobili),,65-81,,
1:00.0,,,65-82,1,M. Ginobili makes free throw 1 of 2
1:00.0,,,65-82,,P. Mills enters the game for T. Parker
1:00.0,,,65-83,1,M. Ginobili makes free throw 2 of 2
0:46.0,Turnover by D. Collison (bad pass),,65-83,,
0:32.0,,,65-83,,Turnover by P. Mills (bad pass; steal by O. Casspi)
0:29.0,O. Casspi makes 2-pt shot at rim,2,67-83,,
0:09.0,,,67-85,2,M. Ginobili makes 2-pt shot at rim
0:09.0,,,67-85,,Shooting foul by W. Cauley-Stein (drawn by M. Ginobili)
0:09.0,M. Belinelli enters the game for Q. Acy,,67-85,,
0:09.0,,,67-85,,J. Simmons enters the game for B. Marjanovic
0:09.0,,,67-86,1,M. Ginobili makes free throw 1 of 1
0:05.0,,,67-86,,Personal foul by M. Ginobili (drawn by R. Rondo)
0:02.0,W. Cauley-Stein misses 2-pt shot from 15 ft,,67-86,,
0:01.0,,,67-86,,Defensive rebound by J. Simmons
0:00.0,,,67-86,,J. Simmons misses 3-pt shot from 50 ft
0:00.0,,,67-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Personal foul by W. Cauley-Stein (drawn by B. Marjanovic),,67-86,,
11:34.0,,,67-86,,P. Mills misses 3-pt shot from 25 ft
11:32.0,,,67-86,,Offensive rebound by P. Mills
11:31.0,,,67-86,,Turnover by B. Diaw (lost ball)
11:12.0,W. Cauley-Stein misses 2-pt shot from 6 ft,,67-86,,
11:11.0,,,67-86,,Defensive rebound by B. Marjanovic
11:03.0,,,67-86,,Turnover by K. Anderson (bad pass; steal by O. Casspi)
10:58.0,O. Casspi makes 2-pt shot at rim,2,69-86,,
10:42.0,Violation by O. Casspi (kicked ball),,69-86,,
10:41.0,Personal foul by O. Casspi (drawn by K. Anderson),,69-86,,
10:28.0,,,69-86,,B. Diaw misses 2-pt shot at rim
10:27.0,,,69-86,,Offensive rebound by B. Marjanovic
10:26.0,,,69-86,,Shooting foul by Q. Acy (drawn by B. Marjanovic)
10:26.0,,,69-86,,B. Marjanovic misses free throw 1 of 2
10:26.0,,,69-86,,Offensive rebound by Team
10:26.0,,,69-87,1,B. Marjanovic makes free throw 2 of 2
10:15.0,M. Belinelli makes 3-pt shot from 24 ft (assist by D. Collison),3,72-87,,
10:01.0,,,72-87,,Offensive foul by B. Diaw
10:01.0,,,72-87,,Turnover by B. Diaw (offensive foul)
9:45.0,,,72-87,,Personal foul by A. Miller (drawn by O. Casspi)
9:31.0,M. Belinelli misses 2-pt shot from 20 ft,,72-87,,
9:30.0,Offensive rebound by Team,,72-87,,
9:30.0,Turnover by Team (shot clock),,72-87,,
9:17.0,,,72-87,,B. Marjanovic misses 2-pt shot from 1 ft (block by O. Casspi)
9:15.0,Defensive rebound by O. Casspi,,72-87,,
9:11.0,Turnover by O. Casspi (bad pass; steal by B. Diaw),,72-87,,
9:02.0,,,72-87,,Turnover by P. Mills (lost ball)
9:02.0,D. Cousins enters the game for W. Cauley-Stein,,72-87,,
8:50.0,D. Cousins misses 2-pt shot from 1 ft,,72-87,,
8:49.0,,,72-87,,Defensive rebound by B. Marjanovic
8:44.0,,,72-89,2,A. Miller makes 2-pt shot at rim (assist by B. Diaw)
8:44.0,Sacramento full timeout,,72-89,,
8:44.0,,,72-89,,K. Leonard enters the game for K. Anderson
8:23.0,O. Casspi misses 3-pt shot from 23 ft,,72-89,,
8:22.0,Offensive rebound by M. Belinelli,,72-89,,
8:20.0,,,72-89,,Personal foul by P. Mills (drawn by M. Belinelli)
8:14.0,Turnover by M. Belinelli (bad pass),,72-89,,
7:59.0,,,72-91,2,B. Marjanovic makes 2-pt shot at rim (assist by B. Diaw)
7:47.0,D. Cousins makes 2-pt shot from 2 ft,2,74-91,,
7:22.0,,,74-91,,K. Leonard misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by D. Collison,,74-91,,
7:16.0,M. Belinelli makes 2-pt shot from 1 ft (assist by D. Collison),2,76-91,,
6:56.0,Personal block foul by Q. Acy (drawn by K. Leonard),,76-91,,
6:56.0,R. Gay enters the game for O. Casspi,,76-91,,
6:49.0,,,76-91,,Turnover by K. Leonard (bad pass; steal by M. Belinelli)
6:45.0,M. Belinelli makes 2-pt shot at rim,2,78-91,,
6:43.0,,,78-91,,San Antonio full timeout
6:43.0,,,78-91,,K. Anderson enters the game for B. Marjanovic
6:43.0,,,78-91,,D. West enters the game for B. Diaw
6:27.0,,,78-94,3,P. Mills makes 3-pt shot from 25 ft (assist by K. Leonard)
6:09.0,D. Cousins makes 2-pt shot from 1 ft (assist by D. Collison),2,80-94,,
5:54.0,,,80-94,,D. West misses 2-pt shot from 12 ft
5:53.0,Defensive rebound by Q. Acy,,80-94,,
5:49.0,Shooting foul by D. West (drawn by D. Cousins),,80-94,,
5:49.0,D. Cousins makes free throw 1 of 2,1,81-94,,
5:49.0,R. Rondo enters the game for Q. Acy,,81-94,,
5:49.0,,,81-94,,T. Parker enters the game for A. Miller
5:49.0,D. Cousins makes free throw 2 of 2,1,82-94,,
5:33.0,,,82-94,,K. Leonard misses 2-pt shot from 1 ft
5:32.0,Defensive rebound by D. Cousins,,82-94,,
5:17.0,D. Collison misses 2-pt shot from 20 ft,,82-94,,
5:16.0,,,82-94,,Defensive rebound by K. Anderson
