time,Minnesota,pts.away,score,pts.home,Memphis
3:25.0,,,104-98,,Personal foul by L. Stephenson
3:25.0,R. Rubio makes free throw 1 of 2,1,105-98,,
3:25.0,R. Rubio makes free throw 2 of 2,1,106-98,,
3:17.0,,,106-98,,Offensive foul by M. Barnes
3:17.0,,,106-98,,Turnover by M. Barnes (offensive foul)
2:54.0,Turnover by K. Towns (3 sec),,106-98,,
2:38.0,,,106-100,2,J. Martin makes 2-pt shot from 1 ft (assist by J. Green)
2:38.0,Minnesota full timeout,,106-100,,
2:23.0,A. Wiggins misses 2-pt shot from 1 ft,,106-100,,
2:21.0,,,106-100,,Defensive rebound by M. Barnes
2:06.0,,,106-100,,J. Green misses 2-pt shot from 20 ft
2:06.0,Defensive rebound by K. Towns,,106-100,,
1:47.0,A. Wiggins misses 3-pt shot from 23 ft,,106-100,,
1:47.0,,,106-100,,Defensive rebound by L. Stephenson
1:42.0,,,106-102,2,M. Barnes makes 2-pt shot from 1 ft (assist by L. Stephenson)
1:24.0,G. Dieng makes 2-pt shot from 20 ft (assist by R. Rubio),2,108-102,,
1:14.0,,,108-102,,T. Allen misses 3-pt shot from 23 ft
1:13.0,,,108-102,,Offensive rebound by J. Martin
1:12.0,,,108-104,2,J. Martin makes 2-pt shot from 1 ft
0:50.0,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio),2,110-104,,
0:50.0,,,110-104,,Memphis full timeout
0:50.0,T. Prince enters the game for R. Rubio,,110-104,,
0:42.0,,,110-104,,M. Barnes misses 3-pt shot from 24 ft
0:41.0,,,110-104,,Offensive rebound by J. Green
0:35.0,,,110-104,,L. Stephenson misses 3-pt shot from 26 ft
0:35.0,Defensive rebound by Z. LaVine,,110-104,,
0:27.0,Minnesota full timeout,,110-104,,
0:27.0,R. Rubio enters the game for T. Prince,,110-104,,
0:27.0,,,110-104,,B. Weber enters the game for J. Martin
0:25.0,,,110-104,,Personal take foul by B. Weber
0:25.0,K. Towns makes free throw 1 of 2,1,111-104,,
0:25.0,T. Prince enters the game for R. Rubio,,111-104,,
0:25.0,K. Towns makes free throw 2 of 2,1,112-104,,
0:25.0,,,112-104,,Memphis full timeout
0:25.0,R. Rubio enters the game for G. Dieng,,112-104,,
0:18.0,,,112-106,2,B. Weber makes 2-pt shot at rim
0:17.0,,,112-106,,Personal foul by M. Barnes
0:17.0,R. Rubio makes free throw 1 of 2,1,113-106,,
0:17.0,,,113-106,,R. McCallum enters the game for T. Allen
0:17.0,R. Rubio makes free throw 2 of 2,1,114-106,,
0:09.0,,,114-106,,R. McCallum misses 3-pt shot from 24 ft
0:06.0,,,114-106,,Offensive rebound by L. Stephenson
0:06.0,,,114-108,2,L. Stephenson makes 2-pt shot at rim
0:06.0,,,114-108,,J. Green misses 2-pt shot at rim
0:06.0,,,114-108,,Offensive rebound by J. Green
0:00.0,End of 4th quarter,,,,End of 4th quarter
