time,LA Lakers,pts.away,score,pts.home,Indiana
3:59.0,,,73-77,,P. George misses 3-pt shot from 26 ft
3:58.0,Defensive rebound by J. Randle,,73-77,,
3:42.0,K. Bryant makes 3-pt shot from 24 ft (assist by D. Russell),3,76-77,,
3:20.0,,,76-77,,M. Ellis misses 2-pt shot from 22 ft
3:19.0,,,76-77,,Offensive rebound by M. Turner
3:17.0,,,76-79,2,M. Turner makes 2-pt shot at rim
3:03.0,K. Bryant makes 3-pt shot from 22 ft (assist by J. Randle),3,79-79,,
2:45.0,,,79-79,,Offensive charge foul by I. Mahinmi
2:45.0,,,79-79,,Turnover by I. Mahinmi (offensive foul)
2:45.0,LA Lakers full timeout,,79-79,,
2:30.0,K. Bryant makes 3-pt shot from 27 ft,3,82-79,,
2:17.0,Personal foul by J. Randle (drawn by M. Turner),,82-79,,
2:13.0,,,82-79,,Shooting foul by B. Bass (drawn by M. Turner)
2:13.0,,,82-79,,M. Turner misses free throw 1 of 2
2:13.0,,,82-79,,Offensive rebound by Team
2:13.0,,,82-80,1,M. Turner makes free throw 2 of 2
2:03.0,,,82-80,,Personal block foul by I. Mahinmi (drawn by K. Bryant)
1:51.0,K. Bryant misses 3-pt shot from 29 ft,,82-80,,
1:49.0,Offensive rebound by J. Randle,,82-80,,
1:27.0,K. Bryant misses 2-pt shot from 10 ft,,82-80,,
1:27.0,Offensive rebound by B. Bass,,82-80,,
1:26.0,B. Bass makes 2-pt shot at rim,2,84-80,,
1:12.0,,,84-80,,M. Ellis misses 3-pt shot from 25 ft
1:12.0,,,84-80,,Offensive rebound by Team
1:11.0,,,84-80,,Shooting foul by J. Clarkson (drawn by P. George)
1:11.0,,,84-81,1,P. George makes free throw 1 of 3
1:11.0,,,84-82,1,P. George makes free throw 2 of 3
1:11.0,,,84-83,1,P. George makes free throw 3 of 3
0:54.0,K. Bryant misses 2-pt shot from 20 ft,,84-83,,
0:51.0,,,84-83,,Defensive rebound by Team
0:38.0,,,84-85,2,P. George makes 2-pt shot from 1 ft
0:38.0,,,84-85,,Shooting foul by B. Bass (drawn by P. George)
0:38.0,T. Black enters the game for B. Bass,,84-85,,
0:38.0,,,84-85,,L. Allen enters the game for M. Turner
0:38.0,,,84-86,1,P. George makes free throw 1 of 1
0:26.0,K. Bryant misses 3-pt shot from 25 ft,,84-86,,
0:24.0,,,84-86,,Defensive rebound by M. Ellis
0:21.0,Personal take foul by J. Clarkson (drawn by M. Ellis),,84-86,,
0:21.0,L. Williams enters the game for J. Clarkson,,84-86,,
0:21.0,,,84-87,1,M. Ellis makes free throw 1 of 2
0:21.0,,,84-88,1,M. Ellis makes free throw 2 of 2
0:21.0,LA Lakers full timeout,,84-88,,
0:21.0,N. Young enters the game for T. Black,,84-88,,
0:21.0,,,84-88,,C. Miles enters the game for L. Allen
0:18.0,K. Bryant misses 3-pt shot from 29 ft,,84-88,,
0:15.0,Offensive rebound by N. Young,,84-88,,
0:13.0,N. Young misses 3-pt shot from 26 ft,,84-88,,
0:12.0,,,84-88,,Defensive rebound by P. George
0:11.0,Personal take foul by J. Randle (drawn by P. George),,84-88,,
0:11.0,,,84-89,1,P. George makes free throw 1 of 2
0:11.0,T. Black enters the game for K. Bryant,,84-89,,
0:11.0,,,84-89,,P. George misses free throw 2 of 2
0:11.0,Defensive rebound by J. Randle,,84-89,,
0:03.0,J. Randle misses 3-pt shot from 27 ft (block by P. George),,84-89,,
0:01.0,Offensive rebound by J. Randle,,84-89,,
0:00.0,J. Randle makes 3-pt shot from 24 ft,3,87-89,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
