time,Minnesota,pts.away,score,pts.home,Milwaukee
3:47.0,Personal foul by Z. LaVine (drawn by K. Middleton),,95-104,,
3:40.0,,,95-104,,Turnover by G. Monroe (dbl dribble)
3:26.0,Z. LaVine misses 2-pt shot from 2 ft (block by J. Parker),,95-104,,
3:24.0,,,95-104,,Defensive rebound by O. Mayo
3:19.0,,,95-107,3,O. Mayo makes 3-pt shot from 24 ft
3:17.0,Minnesota full timeout,,95-107,,
3:06.0,,,95-107,,Personal foul by J. Parker (drawn by D. Rudez)
2:52.0,Turnover by Team (shot clock),,95-107,,
2:49.0,,,95-107,,Offensive foul by K. Middleton
2:49.0,,,95-107,,Turnover by K. Middleton (offensive foul)
2:40.0,G. Dieng makes 2-pt shot from 19 ft (assist by Z. LaVine),2,97-107,,
2:25.0,Personal foul by D. Rudez (drawn by J. Parker),,97-107,,
2:13.0,,,97-107,,G. Antetokounmpo misses 2-pt shot from 20 ft
2:08.0,,,97-107,,Offensive rebound by G. Monroe
2:08.0,,,97-109,2,G. Monroe makes 2-pt shot from 1 ft
1:55.0,T. Jones misses 3-pt shot from 25 ft,,97-109,,
1:54.0,,,97-109,,Defensive rebound by K. Middleton
1:30.0,,,97-109,,Turnover by Team (shot clock)
1:21.0,Z. LaVine misses 2-pt shot from 1 ft,,97-109,,
1:20.0,,,97-109,,Defensive rebound by G. Antetokounmpo
1:20.0,Flagrant foul type 1 by G. Dieng (drawn by G. Antetokounmpo),,97-109,,
1:20.0,,,97-110,1,G. Antetokounmpo makes flagrant free throw 1 of 2
1:20.0,,,97-111,1,G. Antetokounmpo makes flagrant free throw 2 of 2
1:00.0,,,97-111,,J. Parker misses 2-pt shot from 16 ft
1:00.0,Defensive rebound by T. Jones,,97-111,,
0:45.0,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine),2,99-111,,
0:36.0,Personal foul by Z. LaVine (drawn by K. Middleton),,99-111,,
0:36.0,,,99-112,1,K. Middleton makes free throw 1 of 2
0:36.0,,,99-113,1,K. Middleton makes free throw 2 of 2
0:36.0,Turnover by D. Rudez (bad pass),,99-113,,
0:21.0,,,99-115,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
0:21.0,,,99-115,,Shooting foul by G. Dieng (drawn by J. Parker)
0:21.0,,,99-116,1,J. Parker makes free throw 1 of 1
0:13.0,D. Rudez misses 3-pt shot from 25 ft,,99-116,,
0:08.0,Offensive rebound by G. Dieng,,99-116,,
0:08.0,G. Dieng makes 2-pt shot at rim,2,101-116,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
