time,LA Clippers,pts.away,score,pts.home,Atlanta
3:21.0,,,77-75,2,J. Teague makes 2-pt shot from 1 ft
3:16.0,,,77-75,,Personal take foul by A. Horford (drawn by D. Jordan)
3:16.0,D. Jordan makes free throw 1 of 2,1,78-75,,
3:16.0,D. Jordan makes free throw 2 of 2,1,79-75,,
2:59.0,,,79-77,2,J. Teague makes 2-pt shot at rim
2:32.0,J. Crawford misses 2-pt shot from 15 ft,,79-77,,
2:32.0,,,79-77,,Defensive rebound by Team
2:32.0,LA Clippers full timeout,,79-77,,
2:15.0,,,79-79,2,K. Bazemore makes 2-pt shot from 1 ft (assist by A. Horford)
1:53.0,C. Paul makes 2-pt shot from 18 ft,2,81-79,,
1:43.0,,,81-79,,A. Horford misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by L. Mbah a Moute,,81-79,,
1:18.0,C. Paul misses 3-pt shot from 26 ft,,81-79,,
1:17.0,,,81-79,,Defensive rebound by A. Horford
0:54.0,,,81-79,,Turnover by J. Teague (lost ball; steal by L. Mbah a Moute)
0:54.0,LA Clippers full timeout,,81-79,,
0:54.0,,,81-79,,T. Sefolosha enters the game for K. Korver
0:54.0,W. Johnson enters the game for L. Mbah a Moute,,81-79,,
0:41.0,J. Redick misses 3-pt shot from 24 ft,,81-79,,
0:38.0,,,81-79,,Defensive rebound by J. Teague
0:33.0,,,81-79,,Atlanta full timeout
0:33.0,L. Mbah a Moute enters the game for W. Johnson,,81-79,,
0:33.0,,,81-79,,K. Korver enters the game for T. Sefolosha
0:33.0,A. Rivers enters the game for J. Crawford,,81-79,,
0:25.0,,,81-82,3,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford)
0:25.0,LA Clippers full timeout,,81-82,,
0:25.0,J. Crawford enters the game for L. Mbah a Moute,,81-82,,
0:25.0,W. Johnson enters the game for A. Rivers,,81-82,,
0:25.0,,,81-82,,T. Sefolosha enters the game for K. Korver
0:15.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,83-82,,
0:15.0,,,83-82,,Atlanta full timeout
0:15.0,,,83-82,,K. Korver enters the game for T. Sefolosha
0:15.0,L. Mbah a Moute enters the game for W. Johnson,,83-82,,
0:15.0,A. Rivers enters the game for J. Crawford,,83-82,,
0:09.0,,,83-82,,P. Millsap misses 2-pt shot from 4 ft
0:09.0,Defensive rebound by D. Jordan,,83-82,,
0:09.0,LA Clippers full timeout,,83-82,,
0:09.0,J. Crawford enters the game for L. Mbah a Moute,,83-82,,
0:09.0,W. Johnson enters the game for D. Jordan,,83-82,,
0:09.0,P. Pierce enters the game for A. Rivers,,83-82,,
0:09.0,,,83-82,,T. Sefolosha enters the game for K. Korver
0:08.0,,,83-82,,Personal take foul by T. Sefolosha (drawn by J. Crawford)
0:08.0,J. Crawford makes free throw 1 of 2,1,84-82,,
0:08.0,L. Mbah a Moute enters the game for W. Johnson,,84-82,,
0:08.0,D. Jordan enters the game for P. Pierce,,84-82,,
0:08.0,A. Rivers enters the game for J. Redick,,84-82,,
0:08.0,J. Crawford makes free throw 2 of 2,1,85-82,,
0:08.0,,,85-82,,Atlanta full timeout
0:08.0,,,85-82,,K. Korver enters the game for T. Sefolosha
0:08.0,,,85-82,,M. Scott enters the game for K. Bazemore
0:08.0,J. Redick enters the game for J. Crawford,,85-82,,
0:07.0,Personal take foul by J. Redick (drawn by A. Horford),,85-82,,
0:07.0,,,85-82,,A. Horford misses free throw 1 of 2
0:07.0,,,85-82,,Offensive rebound by Team
0:07.0,J. Crawford enters the game for L. Mbah a Moute,,85-82,,
0:07.0,W. Johnson enters the game for D. Jordan,,85-82,,
0:07.0,P. Pierce enters the game for A. Rivers,,85-82,,
0:07.0,,,85-83,1,A. Horford makes free throw 2 of 2
0:06.0,Turnover by P. Pierce (bad pass),,85-83,,
0:06.0,L. Mbah a Moute enters the game for P. Pierce,,85-83,,
0:06.0,A. Rivers enters the game for W. Johnson,,85-83,,
0:06.0,D. Jordan enters the game for J. Crawford,,85-83,,
0:01.0,,,85-83,,P. Millsap misses 2-pt shot at rim
0:01.0,Defensive rebound by D. Jordan,,85-83,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
