time,Chicago,pts.away,score,pts.home,Portland
4:17.0,,,80-79,,Flagrant foul type 1 by M. Plumlee (drawn by J. Butler)
4:17.0,Technical foul by J. Butler,,80-79,,
4:17.0,,,80-80,1,D. Lillard makes technical free throw
4:17.0,J. Butler makes flagrant free throw 1 of 2,1,81-80,,
4:17.0,J. Butler makes flagrant free throw 2 of 2,1,82-80,,
4:07.0,P. Gasol misses 2-pt shot from 15 ft,,82-80,,
4:06.0,Offensive rebound by J. Butler,,82-80,,
4:06.0,J. Butler misses 2-pt shot at rim,,82-80,,
4:04.0,,,82-80,,Defensive rebound by D. Lillard
4:01.0,,,82-80,,Shooting foul by K. Hinrich (drawn by C. McCollum)
4:01.0,,,82-81,1,C. McCollum makes free throw 1 of 2
4:01.0,,,82-82,1,C. McCollum makes free throw 2 of 2
3:48.0,Shooting foul by M. Plumlee (drawn by N. Mirotic),,82-82,,
3:48.0,N. Mirotic misses free throw 1 of 2,,82-82,,
3:48.0,Offensive rebound by Team,,82-82,,
3:48.0,N. Mirotic makes free throw 2 of 2,1,83-82,,
3:35.0,,,83-82,,D. Lillard misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by N. Mirotic,,83-82,,
3:22.0,Shooting foul by E. Davis (drawn by P. Gasol),,83-82,,
3:22.0,P. Gasol makes free throw 1 of 2,1,84-82,,
3:22.0,P. Gasol makes free throw 2 of 2,1,85-82,,
3:01.0,,,85-82,,C. McCollum misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by P. Gasol,,85-82,,
2:59.0,,,85-82,,Portland full timeout
2:48.0,D. Rose misses 2-pt shot from 6 ft,,85-82,,
2:48.0,,,85-82,,Defensive rebound by Team
2:25.0,,,85-82,,D. Lillard misses 3-pt shot from 28 ft
2:24.0,Defensive rebound by P. Gasol,,85-82,,
2:10.0,P. Gasol misses 2-pt shot from 15 ft,,85-82,,
2:09.0,,,85-82,,Defensive rebound by M. Plumlee
2:01.0,,,85-82,,D. Lillard misses 2-pt shot from 2 ft
2:00.0,Defensive rebound by N. Mirotic,,85-82,,
1:45.0,P. Gasol makes 2-pt shot from 3 ft,2,87-82,,
1:36.0,,,87-82,,D. Lillard misses 2-pt shot from 3 ft
1:36.0,,,87-82,,Offensive rebound by E. Davis
1:36.0,,,87-82,,Shooting foul by K. Hinrich (drawn by E. Davis)
1:36.0,,,87-82,,E. Davis misses free throw 1 of 2
1:36.0,,,87-82,,Offensive rebound by Team
1:36.0,,,87-83,1,E. Davis makes free throw 2 of 2
1:18.0,D. Rose misses 2-pt shot from 3 ft (block by E. Davis),,87-83,,
1:16.0,,,87-83,,Defensive rebound by M. Plumlee
1:14.0,,,87-85,2,M. Plumlee makes 2-pt shot at rim
1:14.0,Chicago full timeout,,87-85,,
0:54.0,J. Butler misses 2-pt shot from 15 ft,,87-85,,
0:53.0,,,87-85,,Defensive rebound by M. Plumlee
0:46.0,,,87-85,,Turnover by D. Lillard (lost ball; steal by J. Butler)
0:25.0,P. Gasol misses 2-pt shot from 2 ft (block by M. Plumlee),,87-85,,
0:24.0,,,87-85,,Defensive rebound by D. Lillard
0:21.0,,,87-85,,Shooting foul by D. Rose (drawn by D. Lillard)
0:21.0,,,87-86,1,D. Lillard makes free throw 1 of 2
0:21.0,,,87-86,,D. Lillard misses free throw 2 of 2
0:20.0,Defensive rebound by P. Gasol,,87-86,,
0:16.0,,,87-86,,Personal take foul by D. Lillard (drawn by J. Butler)
0:16.0,J. Butler makes free throw 1 of 2,1,88-86,,
0:16.0,J. Noah enters the game for N. Mirotic,,88-86,,
0:16.0,T. Gibson enters the game for P. Gasol,,88-86,,
0:16.0,J. Butler makes free throw 2 of 2,1,89-86,,
0:16.0,,,89-86,,Portland full timeout
0:13.0,,,89-88,2,C. McCollum makes 2-pt shot from 2 ft (assist by A. Crabbe)
0:13.0,Chicago full timeout,,89-88,,
0:13.0,N. Mirotic enters the game for J. Noah,,89-88,,
0:13.0,P. Gasol enters the game for T. Gibson,,89-88,,
0:11.0,,,89-88,,Personal take foul by A. Crabbe (drawn by J. Butler)
0:11.0,J. Butler makes free throw 1 of 2,1,90-88,,
0:11.0,T. Gibson enters the game for P. Gasol,,90-88,,
0:11.0,J. Noah enters the game for N. Mirotic,,90-88,,
0:11.0,J. Butler makes free throw 2 of 2,1,91-88,,
0:11.0,,,91-88,,Portland full timeout
0:11.0,,,91-88,,M. Harkless enters the game for E. Davis
0:02.0,,,91-88,,C. McCollum misses 3-pt shot from 26 ft (block by J. Noah)
0:02.0,Defensive rebound by T. Gibson,,91-88,,
0:02.0,,,91-88,,Personal take foul by D. Lillard (drawn by T. Gibson)
0:02.0,T. Gibson makes free throw 1 of 2,1,92-88,,
0:02.0,T. Gibson makes free throw 2 of 2,1,93-88,,
0:02.0,,,93-88,,Portland full timeout
0:00.0,,,93-88,,D. Lillard misses 3-pt shot from 36 ft
0:00.0,,,93-88,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
