time,Chicago,pts.away,score,pts.home,Charlotte
3:19.0,Violation by J. Butler (kicked ball),,63-86,,
3:19.0,T. Gibson enters the game for P. Gasol,,63-86,,
3:09.0,,,63-86,,K. Walker misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by D. McDermott,,63-86,,
2:59.0,A. Brooks makes 3-pt shot from 25 ft,3,66-86,,
2:48.0,,,66-88,2,K. Walker makes 2-pt shot from 14 ft
2:36.0,A. Brooks makes 2-pt shot from 2 ft,2,68-88,,
2:21.0,,,68-88,,Turnover by S. Hawes (bad pass; steal by J. Butler)
2:17.0,J. Butler makes 2-pt shot at rim,2,70-88,,
1:59.0,,,70-90,2,N. Batum makes 2-pt shot from 6 ft
1:46.0,J. Noah misses 2-pt shot from 2 ft,,70-90,,
1:45.0,,,70-90,,Defensive rebound by J. Lamb
1:41.0,,,70-92,2,J. Lamb makes 2-pt shot from 1 ft
1:41.0,,,70-92,,Shooting foul by A. Brooks (drawn by J. Lamb)
1:41.0,,,70-92,,J. Lin enters the game for K. Walker
1:41.0,,,70-92,,J. Lamb misses free throw 1 of 1
1:39.0,Defensive rebound by T. Gibson,,70-92,,
1:28.0,D. McDermott makes 3-pt shot from 24 ft (assist by A. Brooks),3,73-92,,
1:01.0,,,73-92,,Turnover by C. Zeller (step out of bounds)
1:00.0,D. McDermott misses 2-pt shot at rim,,73-92,,
0:58.0,Offensive rebound by T. Gibson,,73-92,,
0:58.0,T. Gibson makes 2-pt shot at rim,2,75-92,,
0:43.0,,,75-95,3,N. Batum makes 3-pt shot from 24 ft
0:37.0,Offensive foul by J. Noah,,75-95,,
0:37.0,Turnover by J. Noah (offensive foul),,75-95,,
0:31.0,,,75-97,2,J. Lin makes 2-pt shot from 1 ft
0:11.0,J. Butler makes 2-pt shot from 18 ft,2,77-97,,
0:04.0,,,77-100,3,J. Lin makes 3-pt shot from 25 ft
0:00.0,J. Butler misses 3-pt shot from 47 ft,,77-100,,
0:00.0,Offensive rebound by Team,,77-100,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:33.0,,,77-100,,J. Lin misses 2-pt shot from 21 ft
11:32.0,,,77-100,,Offensive rebound by C. Zeller
11:28.0,,,77-103,3,J. Lamb makes 3-pt shot from 25 ft (assist by C. Zeller)
11:14.0,A. Brooks misses 3-pt shot from 25 ft,,77-103,,
11:12.0,,,77-103,,Defensive rebound by S. Hawes
11:01.0,,,77-103,,Shooting foul by J. Noah (drawn by C. Zeller)
11:01.0,,,77-104,1,C. Zeller makes free throw 1 of 2
11:01.0,,,77-105,1,C. Zeller makes free throw 2 of 2
10:46.0,D. McDermott misses 3-pt shot from 26 ft,,77-105,,
10:44.0,,,77-105,,Defensive rebound by J. Lin
10:39.0,Personal foul by D. McDermott (drawn by J. Lin),,77-105,,
10:39.0,N. Mirotic enters the game for J. Noah,,77-105,,
10:29.0,,,77-107,2,J. Lin makes 2-pt shot from 1 ft (assist by S. Hawes)
10:29.0,,,77-107,,Shooting foul by A. Brooks (drawn by J. Lin)
10:29.0,,,77-108,1,J. Lin makes free throw 1 of 1
10:13.0,N. Mirotic misses 2-pt shot from 21 ft,,77-108,,
10:12.0,,,77-108,,Defensive rebound by J. Lin
10:04.0,,,77-108,,C. Zeller misses 2-pt shot from 1 ft
10:02.0,Defensive rebound by N. Mirotic,,77-108,,
9:53.0,N. Mirotic misses 3-pt shot from 25 ft,,77-108,,
9:52.0,,,77-108,,Defensive rebound by J. Lamb
9:44.0,,,77-110,2,S. Hawes makes 2-pt shot from 5 ft (assist by J. Lamb)
9:44.0,Chicago full timeout,,77-110,,
9:44.0,B. Portis enters the game for N. Mirotic,,77-110,,
9:44.0,,,77-110,,F. Kaminsky enters the game for C. Zeller
9:35.0,T. Gibson makes 2-pt shot at rim (assist by A. Brooks),2,79-110,,
9:17.0,Personal foul by A. Brooks (drawn by J. Lin),,79-110,,
9:13.0,,,79-110,,Turnover by J. Lin (lost ball; steal by A. Brooks)
9:04.0,B. Portis makes 2-pt shot from 19 ft (assist by A. Brooks),2,81-110,,
8:45.0,,,81-110,,J. Lamb misses 3-pt shot from 23 ft
8:44.0,,,81-110,,Offensive rebound by F. Kaminsky
8:38.0,,,81-113,3,S. Hawes makes 3-pt shot from 27 ft (assist by J. Lin)
8:21.0,,,81-113,,Personal foul by J. Lin (drawn by A. Brooks)
8:11.0,Offensive foul by E. Moore,,81-113,,
8:11.0,Turnover by E. Moore (offensive foul),,81-113,,
7:51.0,,,81-113,,J. Lin misses 2-pt shot from 17 ft
7:50.0,Defensive rebound by D. McDermott,,81-113,,
