time,Houston,pts.away,score,pts.home,Phoenix
2:11.0,,,45-39,,Shooting foul by T. Ariza (drawn by D. Booker)
2:11.0,,,45-40,1,D. Booker makes free throw 1 of 2
2:11.0,,,45-41,1,D. Booker makes free throw 2 of 2
2:09.0,,,45-41,,Personal take foul by K. Humphries
2:09.0,D. Howard makes free throw 1 of 2,1,46-41,,
2:09.0,D. Howard makes free throw 2 of 2,1,47-41,,
1:53.0,,,47-41,,Turnover by M. Teletovic (lost ball; steal by D. Howard)
1:44.0,T. Ariza makes 3-pt shot from 22 ft (assist by P. Beverley),3,50-41,,
1:23.0,,,50-41,,D. Booker misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by D. Howard,,50-41,,
1:00.0,P. Beverley makes 3-pt shot from 25 ft,3,53-41,,
0:43.0,,,53-41,,A. Goodwin misses 3-pt shot from 22 ft
0:40.0,Defensive rebound by J. Harden,,53-41,,
0:35.0,Shooting foul by M. Teletovic (drawn by J. Harden),,53-41,,
0:35.0,J. Harden makes free throw 1 of 3,1,54-41,,
0:35.0,J. Harden makes free throw 2 of 3,1,55-41,,
0:35.0,J. Harden makes free throw 3 of 3,1,56-41,,
0:29.0,Personal foul by T. Ariza,,56-41,,
0:29.0,,,56-42,1,K. Humphries makes free throw 1 of 2
0:29.0,C. Brewer enters the game for T. Ariza,,56-42,,
0:29.0,,,56-43,1,K. Humphries makes free throw 2 of 2
0:07.0,Turnover by J. Harden (lost ball; steal by P. Tucker),,56-43,,
0:05.0,,,56-45,2,D. Booker makes 2-pt shot at rim (assist by A. Goodwin)
0:04.0,Houston full timeout,,56-45,,
0:00.0,J. Harden misses 3-pt shot from 25 ft,,56-45,,
0:00.0,Offensive rebound by Team,,56-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Shooting foul by A. Goodwin (drawn by P. Beverley),,56-45,,
11:52.0,P. Beverley makes 2-pt shot from 1 ft,2,58-45,,
11:52.0,P. Beverley misses free throw 1 of 1,,58-45,,
11:52.0,Offensive rebound by Team,,58-45,,
11:49.0,,,58-45,,Loose ball foul by J. Leuer
11:39.0,Turnover by T. Ariza (bad pass),,58-45,,
11:24.0,,,58-45,,D. Booker misses 2-pt shot from 12 ft (block by J. Harden)
11:23.0,,,58-45,,Offensive rebound by Team
