time,Oklahoma City,pts.away,score,pts.home,Milwaukee
7:07.0,,,93-84,,J. Parker misses 2-pt shot from 6 ft
7:05.0,Defensive rebound by R. Westbrook,,93-84,,
6:55.0,Turnover by R. Westbrook (bad pass; steal by J. Parker),,93-84,,
6:51.0,,,93-84,,Shooting foul by R. Westbrook (drawn by G. Antetokounmpo)
6:51.0,,,93-85,1,G. Antetokounmpo makes free throw 1 of 2
6:51.0,,,93-85,,O. Mayo enters the game for J. Parker
6:51.0,,,93-86,1,G. Antetokounmpo makes free throw 2 of 2
6:40.0,Shooting foul by K. Middleton (drawn by K. Durant),,93-86,,
6:40.0,K. Durant makes free throw 1 of 2,1,94-86,,
6:40.0,K. Durant makes free throw 2 of 2,1,95-86,,
6:25.0,,,95-86,,J. Bayless misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by D. Waiters,,95-86,,
6:04.0,R. Westbrook misses 2-pt shot from 19 ft,,95-86,,
6:03.0,,,95-86,,Defensive rebound by G. Monroe
5:54.0,,,95-86,,K. Middleton misses 3-pt shot from 23 ft
5:52.0,Defensive rebound by K. Durant,,95-86,,
5:38.0,,,95-86,,Milwaukee full timeout
5:31.0,S. Adams misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,95-86,,
5:29.0,Offensive rebound by S. Adams,,95-86,,
5:26.0,Turnover by S. Adams (bad pass; steal by O. Mayo),,95-86,,
5:11.0,,,95-86,,G. Antetokounmpo misses 2-pt shot from 20 ft
5:10.0,Defensive rebound by R. Westbrook,,95-86,,
4:51.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,97-86,,
4:28.0,,,97-86,,Turnover by K. Middleton (bad pass; steal by K. Durant)
4:24.0,Turnover by K. Durant (bad pass; steal by O. Mayo),,97-86,,
4:19.0,,,97-86,,G. Antetokounmpo misses 2-pt shot from 7 ft
4:16.0,Defensive rebound by Team,,97-86,,
4:03.0,D. Waiters misses 3-pt shot from 24 ft,,97-86,,
4:02.0,,,97-86,,Defensive rebound by J. Bayless
3:50.0,,,97-86,,G. Monroe misses 2-pt shot from 3 ft
3:49.0,Defensive rebound by S. Adams,,97-86,,
3:29.0,Shooting foul by O. Mayo (drawn by K. Durant),,97-86,,
3:29.0,K. Durant makes free throw 1 of 3,1,98-86,,
3:29.0,K. Durant makes free throw 2 of 3,1,99-86,,
3:29.0,K. Durant makes free throw 3 of 3,1,100-86,,
3:13.0,Personal foul by S. Ibaka (drawn by G. Monroe),,100-86,,
3:13.0,,,100-86,,Milwaukee full timeout
3:13.0,,,100-86,,J. Parker enters the game for J. Bayless
3:00.0,,,100-86,,Turnover by G. Antetokounmpo (lost ball; steal by D. Waiters)
2:54.0,Turnover by D. Waiters (bad pass; steal by O. Mayo),,100-86,,
2:48.0,,,100-88,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
2:33.0,Turnover by R. Westbrook (bad pass; steal by K. Middleton),,100-88,,
2:28.0,,,100-90,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
2:28.0,Oklahoma City full timeout,,100-90,,
2:28.0,E. Kanter enters the game for S. Adams,,100-90,,
2:04.0,D. Waiters misses 2-pt shot from 5 ft,,100-90,,
2:03.0,Offensive rebound by K. Durant,,100-90,,
1:42.0,S. Ibaka misses 3-pt shot from 23 ft,,100-90,,
1:41.0,,,100-90,,Defensive rebound by K. Middleton
1:38.0,Personal foul by K. Durant (drawn by K. Middleton),,100-90,,
1:38.0,,,100-90,,J. Bayless enters the game for O. Mayo
1:38.0,S. Adams enters the game for E. Kanter,,100-90,,
1:21.0,,,100-90,,J. Parker misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by R. Westbrook,,100-90,,
1:06.0,Turnover by K. Durant (bad pass; steal by K. Middleton),,100-90,,
1:04.0,Shooting block foul by D. Waiters (drawn by G. Antetokounmpo),,100-90,,
1:04.0,,,100-91,1,G. Antetokounmpo makes free throw 1 of 2
1:04.0,,,100-92,1,G. Antetokounmpo makes free throw 2 of 2
0:51.0,,,100-92,,Personal foul by K. Middleton (drawn by K. Durant)
0:39.0,S. Adams misses 2-pt shot from 9 ft,,100-92,,
0:36.0,Offensive rebound by S. Ibaka,,100-92,,
0:33.0,K. Durant misses 3-pt shot from 25 ft,,100-92,,
0:28.0,,,100-92,,Defensive rebound by G. Antetokounmpo
0:22.0,,,100-94,2,J. Parker makes 2-pt shot from 3 ft (assist by G. Antetokounmpo)
0:17.0,,,100-94,,Personal take foul by J. Bayless (drawn by R. Westbrook)
0:17.0,R. Westbrook misses free throw 1 of 2,,100-94,,
0:17.0,Offensive rebound by Team,,100-94,,
0:17.0,R. Westbrook makes free throw 2 of 2,1,101-94,,
0:17.0,,,101-94,,Milwaukee full timeout
0:17.0,A. Roberson enters the game for S. Adams,,101-94,,
0:13.0,Personal foul by D. Waiters (drawn by G. Antetokounmpo),,101-94,,
0:13.0,,,101-94,,G. Antetokounmpo misses free throw 1 of 2
0:13.0,,,101-94,,Offensive rebound by Team
0:13.0,S. Adams enters the game for A. Roberson,,101-94,,
0:13.0,,,101-95,1,G. Antetokounmpo makes free throw 2 of 2
0:13.0,Oklahoma City full timeout,,101-95,,
0:13.0,A. Morrow enters the game for S. Adams,,101-95,,
0:10.0,,,101-95,,Personal take foul by J. Bayless (drawn by R. Westbrook)
0:10.0,R. Westbrook makes free throw 1 of 2,1,102-95,,
0:10.0,A. Roberson enters the game for A. Morrow,,102-95,,
0:10.0,R. Westbrook makes free throw 2 of 2,1,103-95,,
0:05.0,Personal foul by D. Waiters (drawn by J. Bayless),,103-95,,
0:05.0,,,103-96,1,J. Bayless makes free throw 1 of 2
0:05.0,,,103-96,,J. Bayless misses free throw 2 of 2
0:04.0,Defensive rebound by K. Durant,,103-96,,
0:04.0,,,103-96,,Personal take foul by J. Parker (drawn by K. Durant)
0:04.0,K. Durant makes free throw 1 of 2,1,104-96,,
0:04.0,K. Durant misses free throw 2 of 2,,104-96,,
0:04.0,,,104-96,,Defensive rebound by G. Monroe
0:00.0,End of 4th quarter,,,,End of 4th quarter
