time,Brooklyn,pts.away,score,pts.home,LA Lakers
2:43.0,Brooklyn full timeout,,90-95,,
2:43.0,S. Kilpatrick enters the game for B. Lopez,,90-95,,
2:43.0,,,90-95,,B. Bass enters the game for R. Hibbert
2:30.0,,,90-95,,J. Randle misses 2-pt shot from 3 ft
2:30.0,Defensive rebound by Team,,90-95,,
2:18.0,Shooting foul by B. Bass (drawn by T. Young),,90-95,,
2:18.0,T. Young makes free throw 1 of 2,1,91-95,,
2:18.0,T. Young makes free throw 2 of 2,1,92-95,,
1:55.0,,,92-95,,J. Clarkson misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by T. Young,,92-95,,
1:50.0,T. Young makes 2-pt shot at rim (assist by S. Kilpatrick),2,94-95,,
1:28.0,,,94-97,2,J. Clarkson makes 2-pt shot at rim
1:14.0,T. Young misses 2-pt shot from 10 ft,,94-97,,
1:11.0,,,94-97,,Defensive rebound by D. Russell
0:53.0,,,94-100,3,D. Russell makes 3-pt shot from 24 ft
0:53.0,Brooklyn full timeout,,94-100,,
0:48.0,W. Ellington makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,97-100,,
0:31.0,,,97-103,3,D. Russell makes 3-pt shot from 26 ft
0:31.0,Brooklyn full timeout,,97-103,,
0:25.0,D. Sloan makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,99-103,,
0:25.0,,,99-103,,LA Lakers full timeout
0:23.0,Personal take foul by D. Sloan (drawn by B. Bass),,99-103,,
0:23.0,,,99-104,1,B. Bass makes free throw 1 of 2
0:23.0,,,99-104,,B. Bass misses free throw 2 of 2
0:22.0,Defensive rebound by B. Bogdanovic,,99-104,,
0:14.0,D. Sloan misses 2-pt shot from 2 ft (block by B. Bass),,99-104,,
0:14.0,,,99-104,,Defensive rebound by J. Randle
0:14.0,Personal take foul by T. Young (drawn by J. Randle),,99-104,,
0:14.0,,,99-104,,J. Randle misses free throw 1 of 2
0:14.0,,,99-104,,Offensive rebound by Team
0:14.0,,,99-105,1,J. Randle makes free throw 2 of 2
0:07.0,S. Kilpatrick misses 3-pt shot from 25 ft,,99-105,,
0:07.0,Offensive rebound by Team,,99-105,,
0:02.0,D. Sloan misses 2-pt shot from 20 ft,,99-105,,
0:02.0,Offensive rebound by T. Young,,99-105,,
0:02.0,T. Young makes 2-pt shot from 1 ft,2,101-105,,
0:01.0,Personal take foul by D. Sloan (drawn by D. Russell),,101-105,,
0:01.0,,,101-106,1,D. Russell makes free throw 1 of 2
0:01.0,,,101-107,1,D. Russell makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
