time,Dallas,pts.away,score,pts.home,Brooklyn
1:05.0,,,105-105,,B. Lopez misses 2-pt shot from 9 ft
1:03.0,Defensive rebound by C. Parsons,,105-105,,
0:47.0,W. Matthews misses 3-pt shot from 23 ft,,105-105,,
0:46.0,,,105-105,,Defensive rebound by B. Lopez
0:32.0,,,105-105,,S. Larkin misses 2-pt shot from 9 ft
0:31.0,Defensive rebound by D. Nowitzki,,105-105,,
0:12.0,J. Barea makes 2-pt shot from 7 ft,2,107-105,,
0:12.0,Shooting foul by B. Lopez (drawn by J. Barea),,107-105,,
0:12.0,J. Barea makes free throw 1 of 1,1,108-105,,
0:12.0,,,108-105,,Brooklyn full timeout
0:12.0,,,108-105,,B. Bogdanovic enters the game for S. Larkin
0:12.0,R. Felton enters the game for D. Nowitzki,,108-105,,
0:06.0,,,108-108,3,T. Young makes 3-pt shot from 25 ft
0:06.0,Dallas full timeout,,108-108,,
0:06.0,D. Nowitzki enters the game for R. Felton,,108-108,,
0:06.0,C. Villanueva enters the game for Z. Pachulia,,108-108,,
0:06.0,,,108-108,,S. Larkin enters the game for B. Lopez
0:01.0,J. Barea misses 2-pt shot from 7 ft (block by T. Young),,108-108,,
0:00.0,Offensive rebound by Team,,108-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:34.0,J. Barea misses 2-pt shot from 13 ft,,108-108,,
4:32.0,,,108-108,,Defensive rebound by J. Johnson
4:04.0,,,108-108,,J. Johnson misses 2-pt shot from 20 ft
4:02.0,,,108-108,,Offensive rebound by T. Young
4:01.0,,,108-110,2,T. Young makes 2-pt shot from 2 ft
3:50.0,W. Matthews makes 3-pt shot from 25 ft (assist by J. Barea),3,111-110,,
3:26.0,,,111-113,3,J. Jack makes 3-pt shot from 22 ft (assist by S. Larkin)
2:58.0,W. Matthews makes 3-pt shot from 22 ft (assist by D. Nowitzki),3,114-113,,
2:38.0,,,114-113,,J. Johnson misses 3-pt shot from 22 ft
2:37.0,Defensive rebound by J. McGee,,114-113,,
2:27.0,W. Matthews misses 2-pt shot from 1 ft (block by B. Lopez),,114-113,,
2:25.0,,,114-113,,Defensive rebound by S. Larkin
2:21.0,,,114-116,3,J. Jack makes 3-pt shot from 22 ft (assist by J. Johnson)
2:05.0,J. Barea makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,117-116,,
1:39.0,,,117-116,,B. Lopez misses 2-pt shot from 14 ft
1:38.0,Defensive rebound by D. Nowitzki,,117-116,,
1:24.0,D. Nowitzki misses 3-pt shot from 23 ft,,117-116,,
1:23.0,,,117-116,,Defensive rebound by B. Lopez
1:15.0,,,117-116,,J. Jack misses 2-pt shot from 11 ft
1:14.0,Defensive rebound by C. Parsons,,117-116,,
1:13.0,Dallas full timeout,,117-116,,
1:13.0,C. Villanueva enters the game for J. McGee,,117-116,,
0:58.0,Turnover by J. Barea (bad pass; steal by T. Young),,117-116,,
0:42.0,,,117-118,2,B. Lopez makes 2-pt shot from 7 ft (assist by S. Larkin)
0:19.0,D. Nowitzki makes 2-pt shot from 1 ft,2,119-118,,
0:19.0,,,119-118,,Brooklyn full timeout
0:19.0,R. Felton enters the game for W. Matthews,,119-118,,
0:19.0,D. Powell enters the game for D. Nowitzki,,119-118,,
0:19.0,Z. Pachulia enters the game for J. Barea,,119-118,,
0:10.0,Personal foul by Z. Pachulia (drawn by B. Lopez),,119-118,,
0:10.0,,,119-118,,Brooklyn full timeout
0:10.0,W. Matthews enters the game for C. Villanueva,,119-118,,
0:04.0,,,119-118,,J. Jack misses 2-pt shot from 17 ft
0:02.0,Defensive rebound by R. Felton,,119-118,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
