time,Washington,pts.away,score,pts.home,New Orleans
0:11.0,,,105-106,,I. Smith enters the game for A. Gee
0:11.0,G. Temple enters the game for G. Neal,,105-106,,
0:07.0,,,105-106,,Turnover by J. Holiday (bad pass; steal by J. Dudley)
0:06.0,M. Gortat enters the game for R. Sessions,,105-106,,
0:06.0,,,105-106,,A. Gee enters the game for I. Smith
0:06.0,Jump ball: J. Dudley vs. J. Holiday (T. Evans gains possession),,,,Jump ball: J. Dudley vs. J. Holiday (T. Evans gains possession)
0:06.0,Turnover by J. Dudley (bad pass; steal by J. Holiday),,105-106,,
0:05.0,Personal take foul by O. Porter (drawn by T. Evans),,105-106,,
0:05.0,,,105-106,,T. Evans misses free throw 1 of 2
0:05.0,,,105-106,,Offensive rebound by Team
0:05.0,,,105-107,1,T. Evans makes free throw 2 of 2
0:05.0,Washington full timeout,,105-107,,
0:05.0,G. Neal enters the game for G. Temple,,105-107,,
0:05.0,,,105-107,,D. Cunningham enters the game for E. Gordon
0:00.0,G. Neal misses 2-pt shot from 18 ft,,105-107,,
0:00.0,Offensive rebound by Team,,105-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
