time,Washington,pts.away,score,pts.home,Detroit
0:09.0,,,97-94,1,R. Jackson makes free throw 1 of 2
0:09.0,K. Humphries enters the game for G. Temple,,97-94,,
0:09.0,,,97-95,1,R. Jackson makes free throw 2 of 2
0:09.0,Washington full timeout,,97-95,,
0:09.0,,,97-95,,S. Johnson enters the game for E. Ilyasova
0:09.0,G. Neal enters the game for K. Humphries,,97-95,,
0:09.0,Turnover by Team (5 sec inbounds),,97-95,,
0:09.0,,,97-95,,Detroit full timeout
0:09.0,G. Temple enters the game for G. Neal,,97-95,,
0:09.0,,,97-95,,E. Ilyasova enters the game for S. Johnson
0:01.0,,,97-95,,M. Morris misses 3-pt shot from 26 ft
0:00.0,,,97-95,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
