time,Detroit,pts.away,score,pts.home,New Orleans
1:16.0,B. Jennings misses 3-pt shot from 30 ft,,94-110,,
1:14.0,Offensive rebound by E. Ilyasova,,94-110,,
1:11.0,E. Ilyasova misses 2-pt shot from 17 ft,,94-110,,
1:10.0,Offensive rebound by A. Drummond,,94-110,,
1:10.0,A. Drummond misses 2-pt shot from 1 ft,,94-110,,
1:09.0,Offensive rebound by A. Drummond,,94-110,,
1:09.0,A. Drummond makes 2-pt shot from 1 ft,2,96-110,,
0:52.0,,,96-113,3,A. Davis makes 3-pt shot from 24 ft (assist by T. Evans)
0:46.0,S. Johnson misses 3-pt shot from 25 ft,,96-113,,
0:44.0,,,96-113,,Defensive rebound by N. Cole
0:30.0,Personal take foul by S. Johnson (drawn by T. Evans),,96-113,,
0:30.0,,,96-114,1,T. Evans makes free throw 1 of 2
0:30.0,,,96-114,,L. Babbitt enters the game for A. Davis
0:30.0,,,96-114,,B. Dejean-Jones enters the game for N. Cole
0:30.0,,,96-115,1,T. Evans makes free throw 2 of 2
0:21.0,B. Jennings makes 3-pt shot from 24 ft,3,99-115,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
