time,Detroit,pts.away,score,pts.home,Utah
8:49.0,,,52-44,,Defensive rebound by J. Ingles
8:34.0,,,52-44,,G. Hayward misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by E. Ilyasova,,52-44,,
8:33.0,,,52-44,,Loose ball foul by R. Gobert (drawn by E. Ilyasova)
8:18.0,R. Jackson makes 2-pt shot from 1 ft,2,54-44,,
7:56.0,,,54-44,,Turnover by T. Lyles (lost ball; steal by A. Drummond)
7:52.0,Turnover by R. Jackson (lost ball),,54-44,,
7:52.0,,,54-44,,D. Favors enters the game for T. Lyles
7:46.0,,,54-46,2,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hayward)
7:29.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,54-46,,
7:28.0,,,54-46,,Defensive rebound by J. Ingles
7:17.0,,,54-48,2,R. Gobert makes 2-pt shot from 8 ft (assist by J. Ingles)
6:57.0,Shooting foul by J. Ingles (drawn by K. Caldwell-Pope),,54-48,,
6:57.0,K. Caldwell-Pope makes free throw 1 of 2,1,55-48,,
6:57.0,K. Caldwell-Pope makes free throw 2 of 2,1,56-48,,
6:44.0,,,56-48,,G. Hayward misses 2-pt shot from 2 ft
6:43.0,Defensive rebound by E. Ilyasova,,56-48,,
6:29.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by M. Morris),3,59-48,,
6:11.0,,,59-48,,Offensive foul by D. Favors
6:11.0,,,59-48,,Turnover by D. Favors (offensive foul)
6:11.0,,,59-48,,T. Burke enters the game for R. Hood
5:50.0,R. Jackson makes 2-pt shot from 14 ft,2,61-48,,
5:35.0,,,61-48,,D. Favors misses 2-pt shot from 17 ft
5:33.0,Defensive rebound by A. Drummond,,61-48,,
5:23.0,E. Ilyasova misses 3-pt shot from 26 ft,,61-48,,
5:23.0,,,61-48,,Defensive rebound by Team
5:23.0,Loose ball foul by A. Drummond (drawn by R. Gobert),,61-48,,
5:23.0,Violation by Team (delay of game),,61-48,,
5:09.0,,,61-48,,T. Burke misses 2-pt shot from 12 ft
5:09.0,,,61-48,,Offensive rebound by D. Favors
5:01.0,,,61-50,2,D. Favors makes 2-pt shot at rim (assist by J. Ingles)
4:44.0,R. Jackson makes 2-pt shot from 5 ft,2,63-50,,
4:31.0,,,63-50,,Turnover by J. Ingles (bad pass; steal by M. Morris)
4:25.0,M. Morris misses 3-pt shot from 24 ft,,63-50,,
4:23.0,,,63-50,,Defensive rebound by Team
4:08.0,,,63-52,2,D. Favors makes 2-pt shot from 2 ft (assist by T. Burke)
4:08.0,,,63-52,,Shooting foul by E. Ilyasova (drawn by D. Favors)
4:08.0,,,63-52,,T. Booker enters the game for R. Gobert
4:08.0,A. Tolliver enters the game for E. Ilyasova,,63-52,,
4:08.0,,,63-53,1,D. Favors makes free throw 1 of 1
4:00.0,R. Jackson makes 2-pt shot from 2 ft,2,65-53,,
4:00.0,Shooting foul by T. Burke (drawn by R. Jackson),,65-53,,
4:00.0,S. Johnson enters the game for M. Morris,,65-53,,
4:00.0,R. Jackson misses free throw 1 of 1,,65-53,,
3:59.0,,,65-53,,Defensive rebound by D. Favors
3:45.0,,,65-55,2,D. Favors makes 2-pt shot from 15 ft (assist by T. Burke)
3:25.0,A. Drummond misses 2-pt shot from 9 ft,,65-55,,
3:24.0,,,65-55,,Defensive rebound by G. Hayward
3:02.0,,,65-55,,G. Hayward misses 3-pt shot from 23 ft
3:02.0,Defensive rebound by A. Drummond,,65-55,,
2:40.0,Turnover by K. Caldwell-Pope (bad pass; steal by J. Ingles),,65-55,,
2:37.0,,,65-55,,Shooting foul by S. Johnson (drawn by G. Hayward)
2:37.0,,,65-55,,Utah full timeout
2:37.0,,,65-55,,C. Johnson enters the game for J. Ingles
2:37.0,B. Jennings enters the game for R. Jackson,,65-55,,
2:37.0,,,65-56,1,G. Hayward makes free throw 1 of 2
2:37.0,,,65-57,1,G. Hayward makes free throw 2 of 2
2:20.0,A. Drummond makes 2-pt shot from 2 ft (assist by B. Jennings),2,67-57,,
2:02.0,,,67-57,,D. Favors misses 2-pt shot from 14 ft
2:01.0,,,67-57,,Offensive rebound by T. Booker
1:59.0,,,67-59,2,T. Booker makes 2-pt shot at rim
1:47.0,Turnover by A. Tolliver (dbl dribble),,67-59,,
1:47.0,,,67-59,,R. Gobert enters the game for D. Favors
1:36.0,,,67-59,,G. Hayward misses 3-pt shot from 23 ft
1:35.0,Defensive rebound by Team,,67-59,,
1:20.0,Turnover by K. Caldwell-Pope (bad pass),,67-59,,
1:08.0,,,67-59,,T. Burke misses 2-pt shot from 18 ft
1:08.0,Defensive rebound by B. Jennings,,67-59,,
1:02.0,,,67-59,,Flagrant foul type 1 by C. Johnson (drawn by A. Drummond)
1:02.0,A. Drummond misses flagrant free throw 1 of 2,,67-59,,
1:02.0,Offensive rebound by Team,,67-59,,
1:02.0,,,67-59,,R. Hood enters the game for G. Hayward
1:02.0,A. Drummond misses flagrant free throw 2 of 2,,67-59,,
1:02.0,Offensive rebound by Team,,67-59,,
0:59.0,,,67-59,,Personal foul by C. Johnson (drawn by A. Drummond)
0:59.0,A. Drummond misses free throw 1 of 2,,67-59,,
0:59.0,Offensive rebound by Team,,67-59,,
0:59.0,A. Drummond misses free throw 2 of 2,,67-59,,
0:59.0,Offensive rebound by A. Tolliver,,67-59,,
0:55.0,,,67-59,,Personal take foul by C. Johnson (drawn by A. Drummond)
0:55.0,A. Drummond makes free throw 1 of 2,1,68-59,,
0:55.0,A. Drummond misses free throw 2 of 2,,68-59,,
0:55.0,,,68-59,,Defensive rebound by R. Gobert
0:33.0,,,68-59,,T. Burke misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by K. Caldwell-Pope,,68-59,,
0:28.0,,,68-59,,Personal foul by T. Burke (drawn by B. Jennings)
0:28.0,B. Jennings misses free throw 1 of 2,,68-59,,
0:28.0,Offensive rebound by Team,,68-59,,
0:28.0,A. Baynes enters the game for A. Drummond,,68-59,,
0:28.0,B. Jennings makes free throw 2 of 2,1,69-59,,
0:03.0,,,69-59,,C. Johnson misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by A. Tolliver,,69-59,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,A. Tolliver makes 3-pt shot from 24 ft (assist by B. Jennings),3,72-59,,
11:28.0,,,72-62,3,R. Hood makes 3-pt shot from 23 ft (assist by J. Ingles)
11:03.0,A. Tolliver makes 3-pt shot from 24 ft (assist by A. Baynes),3,75-62,,
10:48.0,Personal foul by S. Johnson (drawn by R. Hood),,75-62,,
10:48.0,,,75-62,,D. Favors enters the game for T. Booker
10:48.0,,,75-62,,J. Withey enters the game for R. Gobert
10:39.0,,,75-65,3,R. Hood makes 3-pt shot from 24 ft
10:25.0,Shooting foul by D. Favors (drawn by A. Baynes),,75-65,,
10:25.0,A. Baynes makes free throw 1 of 2,1,76-65,,
10:25.0,A. Baynes misses free throw 2 of 2,,76-65,,
10:25.0,,,76-65,,Defensive rebound by J. Withey
10:07.0,,,76-67,2,R. Hood makes 2-pt shot from 18 ft
9:49.0,,,76-67,,Def 3 sec tech foul by D. Favors
9:49.0,B. Jennings misses technical free throw,,76-67,,
9:49.0,Offensive rebound by Team,,76-67,,
9:36.0,M. Morris misses 3-pt shot from 24 ft,,76-67,,
9:33.0,,,76-67,,Defensive rebound by J. Ingles
9:15.0,,,76-70,3,R. Hood makes 3-pt shot from 24 ft
8:56.0,B. Jennings misses 2-pt shot from 3 ft,,76-70,,
8:56.0,,,76-70,,Defensive rebound by J. Ingles
8:49.0,,,76-70,,J. Ingles misses 3-pt shot from 24 ft
8:48.0,Defensive rebound by A. Baynes,,76-70,,
8:34.0,S. Johnson makes 3-pt shot from 24 ft (assist by B. Jennings),3,79-70,,
8:27.0,Personal foul by S. Johnson (drawn by R. Hood),,79-70,,
8:27.0,,,79-70,,Utah full timeout
8:27.0,K. Caldwell-Pope enters the game for S. Johnson,,79-70,,
8:27.0,,,79-70,,G. Hayward enters the game for J. Ingles
8:12.0,,,79-70,,R. Hood misses 3-pt shot from 23 ft
8:11.0,Defensive rebound by A. Baynes,,79-70,,
7:52.0,K. Caldwell-Pope makes 2-pt shot from 2 ft,2,81-70,,
7:33.0,,,81-72,2,G. Hayward makes 2-pt shot from 11 ft
7:15.0,A. Tolliver makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,84-72,,
6:57.0,,,84-74,2,G. Hayward makes 2-pt shot from 14 ft
6:37.0,B. Jennings misses 3-pt shot from 24 ft,,84-74,,
6:36.0,,,84-74,,Defensive rebound by C. Johnson
6:13.0,,,84-76,2,D. Favors makes 2-pt shot from 13 ft (assist by R. Hood)
6:04.0,Detroit full timeout,,84-76,,
6:04.0,A. Drummond enters the game for A. Baynes,,84-76,,
6:04.0,R. Jackson enters the game for B. Jennings,,84-76,,
6:04.0,,,84-76,,R. Gobert enters the game for J. Withey
6:04.0,,,84-76,,T. Lyles enters the game for D. Favors
6:04.0,,,84-76,,J. Ingles enters the game for R. Hood
5:56.0,R. Jackson misses 2-pt shot from 17 ft,,84-76,,
5:56.0,,,84-76,,Defensive rebound by G. Hayward
5:43.0,,,84-76,,Turnover by G. Hayward (lost ball; steal by R. Jackson)
5:38.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by R. Jackson),2,86-76,,
5:24.0,,,86-79,3,C. Johnson makes 3-pt shot from 24 ft (assist by G. Hayward)
5:04.0,Shooting foul by C. Johnson (drawn by A. Drummond),,86-79,,
5:04.0,A. Drummond misses free throw 1 of 2,,86-79,,
