time,Utah,pts.away,score,pts.home,Toronto
0:27.0,,,94-103,1,D. DeRozan makes free throw 1 of 2
0:27.0,J. Ingles enters the game for G. Hayward,,94-103,,
0:27.0,R. Neto enters the game for D. Favors,,94-103,,
0:27.0,,,94-103,,T. Ross enters the game for J. Valanciunas
0:27.0,,,94-104,1,D. DeRozan makes free throw 2 of 2
0:20.0,T. Burke misses 2-pt shot from 3 ft,,94-104,,
0:20.0,Offensive rebound by T. Lyles,,94-104,,
0:18.0,T. Lyles misses 2-pt shot at rim,,94-104,,
0:17.0,,,94-104,,Defensive rebound by K. Lowry
0:00.0,End of 4th quarter,,,,End of 4th quarter
