time,Phoenix,pts.away,score,pts.home,Chicago
4:29.0,Shooting foul by J. Butler (drawn by B. Knight),,88-90,,
4:29.0,B. Knight makes free throw 1 of 1,1,89-90,,
4:18.0,,,89-90,,Turnover by D. McDermott (bad pass; steal by T. Warren)
4:15.0,T. Warren misses 2-pt shot from 1 ft (block by J. Butler),,89-90,,
4:15.0,Offensive rebound by Team,,89-90,,
4:08.0,Turnover by M. Teletovic (bad pass; steal by P. Gasol),,89-90,,
4:01.0,Personal foul by B. Knight (drawn by J. Butler),,89-90,,
4:01.0,A. Len enters the game for J. Leuer,,89-90,,
3:56.0,,,89-92,2,D. Rose makes 2-pt shot from 2 ft
3:43.0,B. Knight misses 3-pt shot from 24 ft,,89-92,,
3:41.0,Offensive rebound by B. Knight,,89-92,,
3:41.0,B. Knight misses 2-pt shot from 3 ft (block by P. Gasol),,89-92,,
3:41.0,Offensive rebound by Team,,89-92,,
3:41.0,,,89-92,,Personal foul by D. Rose (drawn by B. Knight)
3:41.0,B. Knight misses free throw 1 of 2,,89-92,,
3:41.0,Offensive rebound by Team,,89-92,,
3:41.0,B. Knight makes free throw 2 of 2,1,90-92,,
3:28.0,,,90-94,2,D. Rose makes 2-pt shot from 9 ft
3:10.0,E. Bledsoe misses 2-pt shot from 12 ft,,90-94,,
3:09.0,Offensive rebound by E. Bledsoe,,90-94,,
3:07.0,M. Teletovic misses 3-pt shot from 22 ft,,90-94,,
3:07.0,Offensive rebound by Team,,90-94,,
3:07.0,D. Booker enters the game for T. Warren,,90-94,,
3:07.0,,,90-94,,Inbound foul by N. Mirotic
3:07.0,M. Teletovic makes free throw 1 of 2,1,91-94,,
3:07.0,M. Teletovic makes free throw 2 of 2,1,92-94,,
2:57.0,,,92-94,,Shooting foul by A. Len (drawn by P. Gasol)
2:57.0,J. Leuer enters the game for A. Len,,92-94,,
2:57.0,,,92-95,1,P. Gasol makes free throw 1 of 2
2:57.0,,,92-95,,E. Moore enters the game for D. McDermott
2:57.0,,,92-96,1,P. Gasol makes free throw 2 of 2
2:40.0,Shooting foul by J. Butler (drawn by B. Knight),,92-96,,
2:40.0,B. Knight makes free throw 1 of 2,1,93-96,,
2:40.0,B. Knight makes free throw 2 of 2,1,94-96,,
2:23.0,,,94-98,2,P. Gasol makes 2-pt shot from 16 ft (assist by D. Rose)
2:12.0,B. Knight makes 2-pt shot from 7 ft,2,96-98,,
1:51.0,,,96-101,3,J. Butler makes 3-pt shot from 24 ft (assist by N. Mirotic)
1:47.0,Phoenix full timeout,,96-101,,
1:47.0,,,96-101,,T. Gibson enters the game for N. Mirotic
1:39.0,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,99-101,,
1:21.0,,,99-101,,Turnover by P. Gasol (bad pass; steal by E. Bledsoe)
1:17.0,E. Bledsoe makes 2-pt shot from 1 ft,2,101-101,,
1:17.0,,,101-101,,Chicago full timeout
1:17.0,,,101-101,,N. Mirotic enters the game for T. Gibson
1:17.0,,,101-101,,D. McDermott enters the game for E. Moore
0:59.0,,,101-101,,Turnover by N. Mirotic (lost ball; steal by E. Bledsoe)
0:59.0,Phoenix full timeout,,101-101,,
0:59.0,,,101-101,,J. Noah enters the game for N. Mirotic
0:59.0,,,101-101,,T. Gibson enters the game for P. Gasol
0:59.0,,,101-101,,E. Moore enters the game for D. McDermott
0:44.0,E. Bledsoe misses 2-pt shot from 1 ft,,101-101,,
0:43.0,,,101-101,,Defensive rebound by J. Noah
0:42.0,Jump ball: E. Bledsoe vs. J. Noah (T. Gibson gains possession),,,,Jump ball: E. Bledsoe vs. J. Noah (T. Gibson gains possession)
0:39.0,,,101-101,,Chicago full timeout
0:39.0,,,101-101,,D. McDermott enters the game for J. Noah
0:39.0,,,101-101,,P. Gasol enters the game for T. Gibson
0:39.0,,,101-101,,N. Mirotic enters the game for E. Moore
0:27.0,,,101-101,,D. Rose misses 2-pt shot from 9 ft
0:25.0,Defensive rebound by M. Teletovic,,101-101,,
0:03.0,J. Leuer misses 3-pt shot from 23 ft,,101-101,,
0:00.0,Offensive rebound by M. Teletovic,,101-101,,
0:00.0,M. Teletovic makes 2-pt shot from 6 ft,2,103-101,,
0:00.0,,,103-101,,Chicago full timeout
0:00.0,C. Jefferson enters the game for M. Teletovic,,103-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
