time,Indiana,pts.away,score,pts.home,Phoenix
4:14.0,Offensive rebound by L. Allen,,86-73,,
4:01.0,M. Turner misses 2-pt shot from 21 ft,,86-73,,
3:59.0,,,86-73,,Defensive rebound by B. Knight
3:52.0,,,86-73,,T. Chandler misses 2-pt shot at rim
3:48.0,,,86-73,,Offensive rebound by B. Knight
3:48.0,,,86-73,,Offensive foul by B. Knight
3:48.0,,,86-73,,Turnover by B. Knight (offensive foul)
3:48.0,,,86-73,,A. Len enters the game for T. Chandler
3:40.0,L. Allen misses 2-pt shot from 19 ft,,86-73,,
3:38.0,,,86-73,,Defensive rebound by B. Knight
3:32.0,,,86-75,2,B. Knight makes 2-pt shot from 2 ft
3:30.0,Indiana full timeout,,86-75,,
3:14.0,M. Ellis misses 2-pt shot from 19 ft,,86-75,,
3:12.0,,,86-75,,Defensive rebound by A. Len
3:01.0,,,86-75,,B. Knight misses 3-pt shot from 23 ft
2:59.0,,,86-75,,Offensive rebound by A. Len
2:57.0,,,86-78,3,D. Booker makes 3-pt shot from 24 ft (assist by A. Len)
2:32.0,M. Ellis makes 2-pt shot from 17 ft,2,88-78,,
2:14.0,,,88-80,2,B. Knight makes 2-pt shot at rim (assist by P. Tucker)
2:01.0,L. Allen makes 2-pt shot from 6 ft (assist by P. George),2,90-80,,
1:51.0,,,90-80,,Shooting foul by C. Miles (drawn by A. Goodwin)
1:51.0,,,90-81,1,A. Goodwin makes free throw 1 of 2
1:51.0,,,90-82,1,A. Goodwin makes free throw 2 of 2
1:44.0,M. Ellis misses 2-pt shot at rim,,90-82,,
1:41.0,,,90-82,,Defensive rebound by A. Len
1:37.0,,,90-82,,A. Goodwin misses 2-pt shot from 2 ft (block by M. Turner)
1:37.0,Defensive rebound by Team,,90-82,,
1:37.0,Jump ball: A. Len vs. M. Turner (L. Allen gains possession),,,,Jump ball: A. Len vs. M. Turner (L. Allen gains possession)
1:12.0,C. Miles misses 3-pt shot from 29 ft,,90-82,,
1:09.0,,,90-82,,Defensive rebound by A. Len
1:04.0,,,90-82,,P. Tucker misses 3-pt shot from 22 ft
1:01.0,,,90-82,,Offensive rebound by A. Len
0:56.0,,,90-85,3,D. Booker makes 3-pt shot from 24 ft
0:56.0,Indiana full timeout,,90-85,,
0:40.0,M. Ellis makes 2-pt shot from 19 ft,2,92-85,,
0:39.0,,,92-85,,Phoenix full timeout
0:39.0,S. Hill enters the game for C. Miles,,92-85,,
0:33.0,,,92-85,,D. Booker misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by P. George,,92-85,,
0:31.0,,,92-85,,Personal take foul by A. Goodwin (drawn by P. George)
0:31.0,P. George makes free throw 1 of 2,1,93-85,,
0:31.0,P. George misses free throw 2 of 2,,93-85,,
0:31.0,,,93-85,,Defensive rebound by A. Goodwin
0:31.0,,,93-85,,Phoenix full timeout
0:25.0,,,93-85,,A. Len misses 3-pt shot from 26 ft
0:23.0,,,93-85,,Offensive rebound by Team
0:18.0,,,93-87,2,B. Knight makes 2-pt shot at rim (assist by P. Tucker)
0:16.0,,,93-87,,Personal take foul by A. Goodwin (drawn by P. George)
0:16.0,P. George makes free throw 1 of 2,1,94-87,,
0:16.0,P. George makes free throw 2 of 2,1,95-87,,
0:11.0,,,95-87,,Shooting foul by S. Hill (drawn by D. Booker)
0:11.0,,,95-88,1,D. Booker makes free throw 1 of 2
0:11.0,,,95-89,1,D. Booker makes free throw 2 of 2
0:11.0,Indiana full timeout,,95-89,,
0:10.0,Turnover by L. Allen (bad pass),,95-89,,
0:04.0,,,95-92,3,B. Knight makes 3-pt shot from 23 ft
0:03.0,,,95-92,,Personal foul by A. Goodwin (drawn by M. Ellis)
0:03.0,M. Ellis makes free throw 1 of 2,1,96-92,,
0:03.0,,,96-92,,T. Chandler enters the game for A. Goodwin
0:03.0,M. Ellis makes free throw 2 of 2,1,97-92,,
0:03.0,,,97-92,,Phoenix full timeout
0:03.0,,,97-92,,A. Goodwin enters the game for T. Chandler
0:03.0,C. Miles enters the game for L. Allen,,97-92,,
0:01.0,,,97-94,2,A. Len makes 2-pt shot from 2 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
