time,Indiana,pts.away,score,pts.home,Houston
1:45.0,,,93-90,1,J. Harden makes free throw 2 of 2
1:28.0,Turnover by R. Stuckey (lost ball; steal by D. Howard),,93-90,,
1:19.0,,,93-90,,P. Beverley misses 2-pt shot from 1 ft (block by P. George)
1:19.0,,,93-90,,Offensive rebound by Team
1:04.0,,,93-90,,Turnover by J. Harden (bad pass; steal by R. Stuckey)
0:55.0,P. George misses 3-pt shot from 23 ft,,93-90,,
0:55.0,,,93-90,,Defensive rebound by D. Howard
0:44.0,,,93-90,,J. Harden misses 3-pt shot from 26 ft
0:42.0,Defensive rebound by G. Hill,,93-90,,
0:42.0,,,93-90,,Personal foul by P. Beverley (drawn by G. Hill)
0:42.0,Indiana full timeout,,93-90,,
0:42.0,,,93-90,,C. Brewer enters the game for M. Thornton
0:23.0,Turnover by M. Ellis (lost ball),,93-90,,
0:23.0,,,93-90,,Houston full timeout
0:23.0,,,93-90,,M. Thornton enters the game for C. Brewer
0:17.0,,,93-93,3,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley)
0:17.0,Indiana full timeout,,93-93,,
0:17.0,,,93-93,,C. Brewer enters the game for M. Thornton
0:00.0,M. Ellis misses 2-pt shot from 20 ft,,93-93,,
0:00.0,Offensive rebound by Team,,93-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:35.0,,,93-93,,Turnover by P. Beverley (lost ball; steal by P. George)
4:16.0,G. Hill makes 2-pt shot from 2 ft (assist by M. Ellis),2,95-93,,
3:55.0,,,95-93,,Turnover by T. Ariza (bad pass; steal by I. Mahinmi)
3:50.0,R. Stuckey makes 2-pt shot from 2 ft,2,97-93,,
3:39.0,Personal foul by G. Hill (drawn by J. Harden),,97-93,,
3:32.0,,,97-93,,J. Harden misses 3-pt shot from 25 ft
3:31.0,Defensive rebound by P. George,,97-93,,
3:17.0,P. George makes 2-pt shot from 1 ft (assist by M. Ellis),2,99-93,,
3:17.0,,,99-93,,Houston full timeout
3:06.0,,,99-93,,Shooting foul by I. Mahinmi (drawn by D. Howard)
3:06.0,,,99-93,,D. Howard misses free throw 1 of 2
3:06.0,,,99-93,,Offensive rebound by Team
3:06.0,,,99-93,,C. Brewer enters the game for M. Thornton
3:06.0,,,99-94,1,D. Howard makes free throw 2 of 2
3:02.0,,,99-94,,Personal foul by C. Brewer (drawn by G. Hill)
2:42.0,P. George misses 2-pt shot from 12 ft,,99-94,,
2:41.0,,,99-94,,Defensive rebound by D. Howard
2:33.0,,,99-94,,T. Ariza misses 3-pt shot from 25 ft
2:32.0,,,99-94,,Offensive rebound by P. Beverley
2:23.0,,,99-97,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
2:22.0,Indiana full timeout,,99-97,,
2:07.0,Turnover by M. Ellis (bad pass),,99-97,,
1:47.0,,,99-99,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden)
1:35.0,M. Ellis makes 2-pt shot from 2 ft,2,101-99,,
1:13.0,,,101-102,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
0:59.0,M. Ellis makes 2-pt shot from 6 ft (assist by G. Hill),2,103-102,,
0:41.0,,,103-105,3,C. Brewer makes 3-pt shot from 23 ft (assist by P. Beverley)
0:41.0,Indiana full timeout,,103-105,,
0:37.0,M. Ellis misses 2-pt shot from 7 ft,,103-105,,
0:36.0,,,103-105,,Defensive rebound by J. Harden
0:13.0,,,103-105,,Turnover by J. Harden (lost ball)
0:13.0,,,103-105,,Loose ball foul by J. Harden (drawn by G. Hill)
0:13.0,Indiana full timeout,,103-105,,
0:13.0,C. Miles enters the game for R. Stuckey,,103-105,,
0:08.0,M. Ellis misses 2-pt shot from 6 ft,,103-105,,
0:06.0,,,103-105,,Defensive rebound by D. Howard
0:02.0,,,103-107,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
0:00.0,End of 1st overtime,,,,End of 1st overtime
