time,Utah,pts.away,score,pts.home,Charlotte
1:56.0,,,101-98,,N. Batum misses 3-pt shot from 24 ft
1:56.0,,,101-98,,Offensive rebound by Team
1:56.0,Loose ball foul by T. Booker (drawn by M. Williams),,101-98,,
1:56.0,,,101-99,1,M. Williams makes free throw 1 of 2
1:56.0,,,101-100,1,M. Williams makes free throw 2 of 2
1:40.0,Turnover by G. Hayward (lost ball; steal by K. Walker),,101-100,,
1:40.0,Personal foul by R. Gobert (drawn by K. Walker),,101-100,,
1:40.0,,,101-101,1,K. Walker makes free throw 1 of 2
1:40.0,,,101-102,1,K. Walker makes free throw 2 of 2
1:20.0,R. Gobert misses 2-pt shot from 1 ft,,101-102,,
1:18.0,Offensive rebound by T. Booker,,101-102,,
1:14.0,T. Booker misses 2-pt shot from 2 ft,,101-102,,
1:12.0,,,101-102,,Defensive rebound by K. Walker
1:00.0,,,101-104,2,K. Walker makes 2-pt shot at rim
1:00.0,Utah full timeout,,101-104,,
1:00.0,J. Ingles enters the game for T. Booker,,101-104,,
0:59.0,,,101-104,,Personal foul by C. Zeller (drawn by R. Gobert)
0:51.0,T. Burke misses 3-pt shot from 23 ft,,101-104,,
0:50.0,Offensive rebound by R. Gobert,,101-104,,
0:40.0,T. Burke makes 2-pt shot from 13 ft,2,103-104,,
0:26.0,,,103-106,2,K. Walker makes 2-pt shot from 17 ft
0:26.0,Utah full timeout,,103-106,,
0:25.0,Turnover by G. Hayward (step out of bounds),,103-106,,
0:25.0,,,103-106,,Charlotte full timeout
0:25.0,C. Johnson enters the game for T. Burke,,103-106,,
0:25.0,T. Booker enters the game for J. Ingles,,103-106,,
0:25.0,,,103-106,,F. Kaminsky enters the game for C. Zeller
0:23.0,Personal take foul by T. Booker (drawn by K. Walker),,103-106,,
0:23.0,,,103-107,1,K. Walker makes free throw 1 of 2
0:23.0,,,103-107,,C. Zeller enters the game for F. Kaminsky
0:23.0,T. Burke enters the game for T. Booker,,103-107,,
0:23.0,J. Ingles enters the game for C. Johnson,,103-107,,
0:23.0,,,103-108,1,K. Walker makes free throw 2 of 2
0:16.0,J. Ingles makes 3-pt shot from 25 ft (assist by G. Hayward),3,106-108,,
0:16.0,,,106-108,,Charlotte full timeout
0:16.0,C. Johnson enters the game for T. Burke,,106-108,,
0:16.0,T. Booker enters the game for J. Ingles,,106-108,,
0:16.0,,,106-108,,F. Kaminsky enters the game for C. Zeller
0:13.0,,,106-108,,Turnover by F. Kaminsky (bad pass; steal by G. Hayward)
0:12.0,Utah full timeout,,106-108,,
0:12.0,,,106-108,,C. Zeller enters the game for F. Kaminsky
0:12.0,T. Burke enters the game for T. Booker,,106-108,,
0:12.0,J. Ingles enters the game for C. Johnson,,106-108,,
0:07.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,108-108,,
0:01.0,,,108-108,,K. Walker misses 2-pt shot from 17 ft
0:00.0,,,108-108,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
5:00.0,Jump ball: R. Gobert vs. C. Zeller (K. Walker gains possession),,,,Jump ball: R. Gobert vs. C. Zeller (K. Walker gains possession)
4:45.0,,,108-108,,Turnover by N. Batum (bad pass)
4:35.0,T. Burke misses 2-pt shot from 20 ft,,108-108,,
4:34.0,,,108-108,,Defensive rebound by C. Zeller
4:12.0,,,108-111,3,M. Williams makes 3-pt shot from 25 ft (assist by J. Lin)
3:52.0,T. Burke makes 2-pt shot from 7 ft (assist by R. Hood),2,110-111,,
3:46.0,,,110-111,,N. Batum misses 2-pt shot from 4 ft (block by G. Hayward)
3:46.0,,,110-111,,Offensive rebound by Team
3:31.0,,,110-111,,K. Walker misses 2-pt shot from 6 ft
3:29.0,,,110-111,,Offensive rebound by K. Walker
3:29.0,,,110-113,2,K. Walker makes 2-pt shot at rim
3:12.0,T. Booker misses 2-pt shot from 4 ft (block by C. Zeller),,110-113,,
3:10.0,,,110-113,,Defensive rebound by N. Batum
3:02.0,,,110-113,,K. Walker misses 2-pt shot from 2 ft
3:02.0,,,110-113,,Offensive rebound by Team
2:53.0,,,110-116,3,K. Walker makes 3-pt shot from 25 ft
2:34.0,G. Hayward misses 2-pt shot from 1 ft,,110-116,,
2:33.0,Offensive rebound by R. Hood,,110-116,,
2:28.0,R. Hood misses 2-pt shot from 12 ft,,110-116,,
2:27.0,,,110-116,,Defensive rebound by M. Williams
2:05.0,,,110-116,,K. Walker misses 3-pt shot from 25 ft
2:04.0,Defensive rebound by R. Hood,,110-116,,
1:48.0,T. Burke makes 2-pt shot from 16 ft (assist by R. Gobert),2,112-116,,
1:29.0,,,112-116,,Offensive foul by M. Williams
1:29.0,,,112-116,,Turnover by M. Williams (offensive foul)
1:20.0,,,112-116,,Shooting block foul by C. Zeller (drawn by G. Hayward)
1:20.0,G. Hayward makes free throw 1 of 2,1,113-116,,
1:20.0,G. Hayward makes free throw 2 of 2,1,114-116,,
0:58.0,,,114-116,,K. Walker misses 2-pt shot from 18 ft
0:55.0,,,114-116,,Offensive rebound by C. Zeller
0:37.0,,,114-116,,Shooting foul by R. Gobert (drawn by C. Zeller)
0:37.0,,,114-117,1,C. Zeller makes free throw 1 of 2
0:37.0,,,114-118,1,C. Zeller makes free throw 2 of 2
0:31.0,T. Burke makes 3-pt shot from 23 ft (assist by G. Hayward),3,117-118,,
0:11.0,,,117-118,,Shooting foul by T. Booker (drawn by C. Zeller)
0:11.0,,,117-119,1,C. Zeller makes free throw 1 of 2
0:11.0,,,117-120,1,C. Zeller makes free throw 2 of 2
0:11.0,Utah full timeout,,117-120,,
0:11.0,J. Ingles enters the game for T. Booker,,117-120,,
0:05.0,T. Burke misses 3-pt shot from 28 ft,,117-120,,
0:04.0,,,117-120,,Defensive rebound by K. Walker
0:04.0,Personal take foul by J. Ingles (drawn by K. Walker),,117-120,,
0:04.0,,,117-121,1,K. Walker makes free throw 1 of 2
0:04.0,,,117-122,1,K. Walker makes free throw 2 of 2
0:04.0,Utah full timeout,,117-122,,
0:04.0,T. Booker enters the game for R. Gobert,,117-122,,
0:02.0,Shooting foul by K. Walker (drawn by T. Burke),,117-122,,
0:02.0,T. Burke makes free throw 1 of 3,1,118-122,,
0:02.0,T. Burke misses free throw 2 of 3,,118-122,,
0:02.0,Offensive rebound by Team,,118-122,,
0:02.0,T. Burke makes free throw 3 of 3,1,119-122,,
0:02.0,,,119-122,,Charlotte full timeout
0:02.0,,,119-122,,F. Kaminsky enters the game for C. Zeller
0:02.0,C. Johnson enters the game for T. Burke,,119-122,,
0:02.0,R. Gobert enters the game for J. Ingles,,119-122,,
0:02.0,,,119-122,,Charlotte full timeout
0:01.0,Personal take foul by R. Hood (drawn by K. Walker),,119-122,,
0:01.0,,,119-123,1,K. Walker makes free throw 1 of 2
0:01.0,,,119-123,,C. Zeller enters the game for F. Kaminsky
0:01.0,,,119-124,1,K. Walker makes free throw 2 of 2
0:00.0,End of 2nd overtime,,,,End of 2nd overtime
