time,Memphis,pts.away,score,pts.home,Denver
1:25.0,Turnover by C. Lee (bad pass; steal by W. Barton),,96-96,,
1:09.0,,,96-96,,W. Barton misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by Z. Randolph,,96-96,,
0:53.0,,,96-96,,Personal foul by J. Lauvergne (drawn by M. Gasol)
0:53.0,M. Gasol makes free throw 1 of 2,1,97-96,,
0:53.0,M. Gasol misses free throw 2 of 2,,97-96,,
0:53.0,,,97-96,,Defensive rebound by J. Lauvergne
0:53.0,,,97-96,,Denver full timeout
0:41.0,,,97-98,2,W. Barton makes 2-pt shot from 1 ft (assist by J. Lauvergne)
0:26.0,M. Barnes misses 3-pt shot from 24 ft,,97-98,,
0:25.0,Offensive rebound by M. Conley,,97-98,,
0:23.0,Memphis full timeout,,97-98,,
0:12.0,Shooting foul by J. Lauvergne (drawn by M. Gasol),,97-98,,
0:12.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,99-98,,
0:12.0,J. Green enters the game for Z. Randolph,,99-98,,
0:12.0,,,99-98,,N. Jokic enters the game for J. Lauvergne
0:12.0,M. Gasol makes free throw 1 of 1,1,100-98,,
0:12.0,,,100-98,,Denver full timeout
0:04.0,,,100-98,,D. Gallinari misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by M. Conley,,100-98,,
0:01.0,,,100-98,,Personal take foul by E. Mudiay (drawn by M. Conley)
0:01.0,M. Conley makes free throw 1 of 2,1,101-98,,
0:01.0,M. Conley makes free throw 2 of 2,1,102-98,,
0:01.0,,,102-98,,Denver full timeout
0:01.0,,,102-98,,M. Miller enters the game for D. Arthur
0:00.0,,,102-101,3,E. Mudiay makes 3-pt shot from 26 ft (assist by M. Miller)
0:00.0,End of 4th quarter,,,,End of 4th quarter
