time,Dallas,pts.away,score,pts.home,Orlando
2:11.0,R. Felton misses 2-pt shot from 15 ft,,97-96,,
2:10.0,,,97-96,,Defensive rebound by A. Gordon
2:04.0,,,97-96,,E. Payton misses 2-pt shot from 1 ft
2:04.0,Defensive rebound by Team,,97-96,,
1:49.0,Shooting foul by V. Oladipo (drawn by D. Williams),,97-96,,
1:49.0,D. Williams makes free throw 1 of 2,1,98-96,,
1:49.0,D. Williams misses free throw 2 of 2,,98-96,,
1:48.0,,,98-96,,Defensive rebound by A. Gordon
1:48.0,,,98-96,,Orlando full timeout
1:48.0,,,98-96,,M. Hezonja enters the game for V. Oladipo
1:32.0,,,98-96,,N. Vucevic misses 2-pt shot from 16 ft
1:30.0,Defensive rebound by D. Williams,,98-96,,
1:09.0,Z. Pachulia misses 2-pt shot from 3 ft,,98-96,,
1:07.0,Offensive rebound by Team,,98-96,,
1:07.0,Turnover by Z. Pachulia (traveling),,98-96,,
0:54.0,,,98-96,,E. Fournier misses 3-pt shot from 26 ft
0:53.0,Defensive rebound by Z. Pachulia,,98-96,,
0:33.0,R. Felton misses 2-pt shot from 11 ft,,98-96,,
0:31.0,,,98-96,,Defensive rebound by M. Hezonja
0:12.0,,,98-98,2,E. Fournier makes 2-pt shot from 2 ft
0:12.0,Dallas full timeout,,98-98,,
0:12.0,,,98-98,,V. Oladipo enters the game for M. Hezonja
0:12.0,W. Matthews enters the game for R. Felton,,98-98,,
0:01.0,D. Nowitzki misses 2-pt shot from 16 ft,,98-98,,
0:00.0,,,98-98,,Defensive rebound by N. Vucevic
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:59.0,Jump ball: Z. Pachulia vs. N. Vucevic,,,,Jump ball: Z. Pachulia vs. N. Vucevic
4:59.0,,,98-98,,Violation by Team (jump ball)
4:46.0,D. Williams misses 2-pt shot from 9 ft,,98-98,,
4:45.0,,,98-98,,Defensive rebound by A. Gordon
4:32.0,,,98-98,,E. Fournier misses 3-pt shot from 25 ft
4:31.0,Defensive rebound by Team,,98-98,,
4:20.0,Shooting foul by N. Vucevic (drawn by Z. Pachulia),,98-98,,
4:20.0,Z. Pachulia makes free throw 1 of 2,1,99-98,,
4:20.0,Z. Pachulia misses free throw 2 of 2,,99-98,,
4:19.0,,,99-98,,Defensive rebound by A. Gordon
4:06.0,,,99-101,3,E. Fournier makes 3-pt shot from 24 ft (assist by B. Jennings)
3:52.0,D. Nowitzki misses 3-pt shot from 25 ft,,99-101,,
3:51.0,,,99-101,,Defensive rebound by B. Jennings
3:40.0,,,99-101,,B. Jennings misses 3-pt shot from 22 ft
3:39.0,,,99-101,,Offensive rebound by A. Gordon
3:37.0,,,99-101,,A. Gordon misses 2-pt shot from 1 ft
3:35.0,,,99-101,,Offensive rebound by N. Vucevic
3:35.0,,,99-101,,N. Vucevic misses 2-pt shot at rim
3:34.0,Defensive rebound by Z. Pachulia,,99-101,,
3:34.0,,,99-101,,Personal foul by A. Gordon (drawn by Z. Pachulia)
3:12.0,Turnover by C. Parsons (bad pass; steal by A. Gordon),,99-101,,
2:58.0,,,99-101,,N. Vucevic misses 2-pt shot from 2 ft (block by C. Parsons)
2:56.0,Defensive rebound by W. Matthews,,99-101,,
2:49.0,,,99-101,,Personal foul by E. Fournier (drawn by D. Williams)
2:36.0,W. Matthews misses 2-pt shot from 1 ft,,99-101,,
2:34.0,,,99-101,,Defensive rebound by E. Fournier
2:17.0,,,99-101,,V. Oladipo misses 2-pt shot from 1 ft
2:16.0,,,99-101,,Offensive rebound by A. Gordon
2:16.0,,,99-101,,A. Gordon misses 2-pt shot from 1 ft
2:14.0,,,99-101,,Offensive rebound by V. Oladipo
2:11.0,,,99-101,,B. Jennings misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by C. Parsons,,99-101,,
2:00.0,C. Parsons makes 2-pt shot from 19 ft,2,101-101,,
2:00.0,,,101-101,,Orlando full timeout
1:44.0,,,101-104,3,V. Oladipo makes 3-pt shot from 25 ft (assist by B. Jennings)
1:20.0,W. Matthews misses 3-pt shot from 22 ft,,101-104,,
1:19.0,,,101-104,,Defensive rebound by V. Oladipo
1:05.0,,,101-106,2,V. Oladipo makes 2-pt shot from 2 ft
1:05.0,Dallas full timeout,,101-106,,
1:01.0,D. Williams misses 2-pt shot from 2 ft (block by N. Vucevic),,101-106,,
1:00.0,,,101-106,,Defensive rebound by V. Oladipo
0:47.0,Personal foul by D. Nowitzki (drawn by A. Gordon),,101-106,,
0:36.0,,,101-106,,N. Vucevic misses 2-pt shot from 12 ft
0:35.0,,,101-106,,Offensive rebound by A. Gordon
0:23.0,,,101-106,,Turnover by V. Oladipo (bad pass; steal by C. Parsons)
0:17.0,Turnover by C. Parsons (bad pass; steal by A. Gordon),,101-106,,
0:13.0,,,101-108,2,A. Gordon makes 2-pt shot at rim (assist by E. Fournier)
0:13.0,Dallas full timeout,,101-108,,
0:09.0,D. Williams makes 3-pt shot from 28 ft (assist by Z. Pachulia),3,104-108,,
0:09.0,,,104-108,,Orlando full timeout
0:09.0,C. Villanueva enters the game for C. Parsons,,104-108,,
0:09.0,D. Powell enters the game for D. Nowitzki,,104-108,,
0:09.0,R. Felton enters the game for Z. Pachulia,,104-108,,
0:07.0,Personal take foul by W. Matthews (drawn by B. Jennings),,104-108,,
0:07.0,,,104-109,1,B. Jennings makes free throw 1 of 2
0:07.0,,,104-110,1,B. Jennings makes free throw 2 of 2
0:07.0,Dallas full timeout,,104-110,,
0:03.0,C. Villanueva misses 3-pt shot from 26 ft,,104-110,,
0:02.0,,,104-110,,Defensive rebound by E. Fournier
0:00.0,End of 1st overtime,,,,End of 1st overtime
