time,San Antonio,pts.away,score,pts.home,Detroit
5:50.0,Defensive rebound by B. Diaw,,94-82,,
5:32.0,Offensive foul by T. Parker,,94-82,,
5:32.0,Turnover by T. Parker (offensive foul),,94-82,,
5:32.0,Official timeout,,94-82,,
5:32.0,,,94-82,,R. Jackson enters the game for A. Drummond
5:32.0,,,94-82,,A. Baynes enters the game for B. Jennings
5:19.0,,,94-85,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by R. Jackson)
5:02.0,Turnover by B. Diaw (step out of bounds),,94-85,,
4:51.0,K. Leonard enters the game for M. Ginobili,,94-85,,
4:42.0,,,94-88,3,A. Tolliver makes 3-pt shot from 24 ft (assist by R. Jackson)
4:23.0,L. Aldridge makes 2-pt shot from 14 ft (assist by D. Green),2,96-88,,
4:06.0,,,96-88,,Shooting foul by L. Aldridge (drawn by A. Baynes)
4:06.0,,,96-88,,A. Baynes misses free throw 1 of 2
4:06.0,,,96-88,,Offensive rebound by Team
4:06.0,M. Ginobili enters the game for D. Green,,96-88,,
4:06.0,T. Duncan enters the game for B. Diaw,,96-88,,
4:06.0,,,96-89,1,A. Baynes makes free throw 2 of 2
3:43.0,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker),2,98-89,,
3:30.0,,,98-91,2,R. Jackson makes 2-pt shot from 16 ft
3:05.0,T. Parker misses 2-pt shot from 18 ft,,98-91,,
3:04.0,Offensive rebound by L. Aldridge,,98-91,,
2:50.0,Shooting foul by A. Baynes (drawn by T. Parker),,98-91,,
2:50.0,,,98-91,,Detroit full timeout
2:50.0,T. Parker makes free throw 1 of 2,1,99-91,,
2:50.0,T. Parker makes free throw 2 of 2,1,100-91,,
2:37.0,,,100-93,2,A. Tolliver makes 2-pt shot at rim (assist by R. Jackson)
2:18.0,T. Parker makes 3-pt shot from 25 ft (assist by M. Ginobili),3,103-93,,
2:05.0,,,103-93,,R. Jackson misses 3-pt shot from 27 ft
2:05.0,,,103-93,,Offensive rebound by A. Baynes
2:04.0,Personal foul by M. Ginobili (drawn by A. Baynes),,103-93,,
2:04.0,,,103-94,1,A. Baynes makes free throw 1 of 2
2:04.0,,,103-95,1,A. Baynes makes free throw 2 of 2
1:54.0,T. Parker misses 2-pt shot from 3 ft,,103-95,,
1:52.0,Offensive rebound by T. Parker,,103-95,,
1:41.0,,,103-95,,Violation by A. Baynes (def goaltending)
1:41.0,T. Duncan makes 2-pt shot at rim (assist by T. Parker),2,105-95,,
1:31.0,Personal foul by K. Leonard (drawn by K. Caldwell-Pope),,105-95,,
1:31.0,,,105-96,1,K. Caldwell-Pope makes free throw 1 of 2
1:31.0,D. Green enters the game for K. Leonard,,105-96,,
1:31.0,,,105-97,1,K. Caldwell-Pope makes free throw 2 of 2
1:14.0,M. Ginobili misses 3-pt shot from 24 ft,,105-97,,
1:13.0,,,105-97,,Defensive rebound by A. Baynes
1:01.0,,,105-97,,S. Johnson misses 2-pt shot from 11 ft
1:01.0,Defensive rebound by Team,,105-97,,
1:01.0,,,105-97,,Loose ball foul by A. Baynes (drawn by T. Duncan)
1:01.0,T. Duncan misses free throw 1 of 2,,105-97,,
1:01.0,Offensive rebound by Team,,105-97,,
1:01.0,T. Duncan makes free throw 2 of 2,1,106-97,,
0:48.0,,,106-97,,A. Tolliver misses 3-pt shot from 23 ft
0:48.0,,,106-97,,Offensive rebound by A. Baynes
0:48.0,,,106-99,2,A. Baynes makes 2-pt shot from 1 ft
0:48.0,San Antonio full timeout,,106-99,,
0:42.0,,,106-99,,Personal foul by K. Caldwell-Pope (drawn by M. Ginobili)
0:42.0,M. Ginobili misses free throw 1 of 2,,106-99,,
0:42.0,Offensive rebound by Team,,106-99,,
0:42.0,B. Diaw enters the game for T. Duncan,,106-99,,
0:42.0,K. Leonard enters the game for L. Aldridge,,106-99,,
0:42.0,M. Ginobili makes free throw 2 of 2,1,107-99,,
0:42.0,,,107-99,,Detroit full timeout
0:42.0,,,107-99,,B. Jennings enters the game for S. Johnson
0:37.0,,,107-99,,B. Jennings misses 3-pt shot from 27 ft
0:36.0,Defensive rebound by Team,,107-99,,
0:36.0,,,107-99,,S. Johnson enters the game for A. Baynes
0:36.0,,,107-99,,Personal foul by S. Johnson (drawn by K. Leonard)
0:36.0,K. Leonard misses free throw 1 of 2,,107-99,,
0:36.0,Offensive rebound by Team,,107-99,,
0:36.0,,,107-99,,A. Baynes enters the game for B. Jennings
0:36.0,K. Leonard makes free throw 2 of 2,1,108-99,,
0:36.0,,,108-99,,Detroit full timeout
0:36.0,,,108-99,,B. Jennings enters the game for S. Johnson
0:31.0,,,108-99,,R. Jackson misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by T. Parker,,108-99,,
0:25.0,,,108-99,,Personal foul by K. Caldwell-Pope (drawn by K. Leonard)
0:25.0,K. Leonard misses free throw 1 of 2,,108-99,,
0:25.0,Offensive rebound by Team,,108-99,,
0:25.0,,,108-99,,S. Johnson enters the game for B. Jennings
0:25.0,P. Mills enters the game for T. Parker,,108-99,,
0:25.0,K. Anderson enters the game for M. Ginobili,,108-99,,
0:25.0,J. Simmons enters the game for D. Green,,108-99,,
0:25.0,K. Leonard makes free throw 2 of 2,1,109-99,,
0:16.0,,,109-99,,R. Jackson misses 3-pt shot from 26 ft
0:15.0,Defensive rebound by K. Anderson,,109-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
