time,Houston,pts.away,score,pts.home,Brooklyn
1:01.0,,,102-107,2,J. Johnson makes 2-pt shot from 13 ft
1:01.0,,,102-107,,Shooting foul by C. Brewer (drawn by J. Johnson)
1:01.0,,,102-108,1,J. Johnson makes free throw 1 of 1
1:01.0,Houston full timeout,,102-108,,
1:01.0,J. Terry enters the game for P. Beverley,,102-108,,
0:42.0,Shooting foul by B. Lopez (drawn by J. Terry),,102-108,,
0:42.0,J. Terry makes free throw 1 of 2,1,103-108,,
0:42.0,J. Terry makes free throw 2 of 2,1,104-108,,
0:42.0,,,104-108,,Brooklyn full timeout
0:42.0,P. Beverley enters the game for J. Terry,,104-108,,
0:38.0,,,104-108,,Turnover by J. Johnson (lost ball; steal by M. Thornton)
0:36.0,Shooting foul by M. Brown (drawn by J. Harden),,104-108,,
0:36.0,J. Harden misses free throw 1 of 2,,104-108,,
0:36.0,Offensive rebound by Team,,104-108,,
0:36.0,J. Harden makes free throw 2 of 2,1,105-108,,
0:11.0,,,105-108,,B. Bogdanovic misses 3-pt shot from 23 ft
0:09.0,,,105-108,,Offensive rebound by B. Lopez
0:08.0,Personal foul by C. Brewer (drawn by J. Jack),,105-108,,
0:08.0,,,105-109,1,J. Jack makes free throw 1 of 2
0:08.0,,,105-110,1,J. Jack makes free throw 2 of 2
0:02.0,J. Harden misses 3-pt shot from 24 ft,,105-110,,
0:01.0,Offensive rebound by C. Brewer,,105-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
