time,Oklahoma City,pts.away,score,pts.home,Toronto
5:28.0,K. Durant makes 2-pt shot from 19 ft (assist by R. Westbrook),2,110-91,,
5:10.0,,,110-91,,C. Joseph misses 3-pt shot from 26 ft
5:09.0,Defensive rebound by R. Westbrook,,110-91,,
4:51.0,,,110-91,,N. Powell enters the game for K. Lowry
4:45.0,D. Waiters misses 2-pt shot from 17 ft,,110-91,,
4:45.0,,,110-91,,Defensive rebound by J. Valanciunas
4:28.0,,,110-91,,J. Valanciunas misses 2-pt shot from 1 ft
4:26.0,Defensive rebound by R. Westbrook,,110-91,,
4:21.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,112-91,,
4:04.0,,,112-91,,D. DeRozan misses 2-pt shot from 22 ft
4:04.0,,,112-91,,Offensive rebound by Team
4:04.0,Loose ball foul by S. Adams,,112-91,,
3:55.0,,,112-91,,J. Valanciunas misses 2-pt shot from 4 ft
3:54.0,Defensive rebound by S. Adams,,112-91,,
3:41.0,Shooting foul by J. Valanciunas (drawn by K. Durant),,112-91,,
3:41.0,K. Durant makes free throw 1 of 2,1,113-91,,
3:41.0,,,113-91,,J. Thompson enters the game for J. Valanciunas
3:41.0,K. Durant makes free throw 2 of 2,1,114-91,,
3:29.0,,,114-91,,N. Powell misses 3-pt shot from 26 ft
3:29.0,Defensive rebound by S. Ibaka,,114-91,,
3:15.0,S. Ibaka misses 2-pt shot from 17 ft,,114-91,,
3:15.0,Offensive rebound by Team,,114-91,,
3:15.0,,,114-91,,Loose ball foul by J. Thompson
3:15.0,R. Foye enters the game for K. Durant,,114-91,,
3:15.0,E. Kanter enters the game for S. Adams,,114-91,,
3:15.0,A. Morrow enters the game for R. Westbrook,,114-91,,
3:15.0,,,114-91,,D. Wright enters the game for D. DeRozan
3:15.0,,,114-91,,L. Nogueira enters the game for P. Patterson
3:04.0,D. Waiters makes 2-pt shot from 2 ft,2,116-91,,
2:49.0,,,116-91,,C. Joseph misses 3-pt shot from 26 ft
2:49.0,Defensive rebound by R. Foye,,116-91,,
2:44.0,Turnover by D. Waiters (traveling),,116-91,,
2:44.0,,,116-91,,Toronto full timeout
2:44.0,C. Payne enters the game for S. Ibaka,,116-91,,
2:44.0,K. Singler enters the game for D. Waiters,,116-91,,
2:28.0,,,116-91,,L. Nogueira misses 2-pt shot from 15 ft
2:27.0,Defensive rebound by E. Kanter,,116-91,,
2:16.0,A. Morrow misses 3-pt shot from 27 ft,,116-91,,
2:16.0,,,116-91,,Defensive rebound by Team
1:58.0,,,116-91,,C. Joseph misses 2-pt shot from 11 ft
1:58.0,Defensive rebound by E. Kanter,,116-91,,
1:45.0,E. Kanter misses 2-pt shot from 3 ft (block by J. Thompson),,116-91,,
1:43.0,,,116-91,,Defensive rebound by C. Joseph
1:39.0,,,116-93,2,D. Wright makes 2-pt shot from 3 ft (assist by C. Joseph)
1:39.0,,,116-93,,Shooting foul by A. Morrow (drawn by D. Wright)
1:39.0,,,116-93,,D. Wright misses free throw 1 of 1
1:36.0,Defensive rebound by E. Kanter,,116-93,,
1:19.0,E. Kanter makes 2-pt shot from 2 ft (assist by A. Morrow),2,118-93,,
1:19.0,Shooting foul by J. Thompson (drawn by E. Kanter),,118-93,,
1:19.0,E. Kanter makes free throw 1 of 1,1,119-93,,
1:06.0,,,119-93,,Shooting foul by C. Payne (drawn by D. Wright)
1:06.0,,,119-94,1,D. Wright makes free throw 1 of 2
1:06.0,,,119-95,1,D. Wright makes free throw 2 of 2
0:52.0,A. Morrow misses 2-pt shot from 19 ft,,119-95,,
0:51.0,,,119-95,,Defensive rebound by L. Nogueira
0:44.0,,,119-95,,N. Powell misses 2-pt shot from 2 ft
0:43.0,,,119-95,,Offensive rebound by J. Thompson
0:43.0,,,119-97,2,J. Thompson makes 2-pt shot at rim
0:25.0,Offensive foul by E. Kanter,,119-97,,
0:25.0,Turnover by E. Kanter (offensive foul),,119-97,,
0:05.0,,,119-100,3,N. Powell makes 3-pt shot from 25 ft (assist by C. Joseph)
0:00.0,End of 4th quarter,,,,End of 4th quarter
