time,Minnesota,pts.away,score,pts.home,Denver
1:50.0,R. Rubio makes 2-pt shot from 18 ft,2,96-95,,
1:37.0,,,96-97,2,W. Barton makes 2-pt shot from 1 ft (assist by D. Gallinari)
1:22.0,R. Rubio misses 2-pt shot from 17 ft,,96-97,,
1:22.0,,,96-97,,Defensive rebound by W. Barton
1:06.0,Personal foul by A. Wiggins (drawn by D. Gallinari),,96-97,,
0:57.0,,,96-97,,Shooting foul by R. Rubio (drawn by K. Faried)
0:57.0,,,96-97,,K. Faried misses free throw 1 of 2
0:57.0,,,96-97,,Offensive rebound by Team
0:57.0,G. Dieng enters the game for R. Rubio,,96-97,,
0:57.0,,,96-97,,K. Faried misses free throw 2 of 2
0:53.0,,,96-97,,Offensive rebound by J. Nelson
0:53.0,,,96-97,,Turnover by J. Nelson (bad pass; steal by A. Wiggins)
0:50.0,,,96-97,,Shooting block foul by K. Faried (drawn by A. Wiggins)
0:50.0,A. Wiggins makes free throw 1 of 2,1,97-97,,
0:50.0,R. Rubio enters the game for Z. LaVine,,97-97,,
0:50.0,T. Prince enters the game for G. Dieng,,97-97,,
0:50.0,A. Wiggins makes free throw 2 of 2,1,98-97,,
0:50.0,,,98-97,,Denver full timeout
0:43.0,,,98-97,,Shooting foul by K. Towns (drawn by K. Faried)
0:43.0,,,98-97,,K. Faried misses free throw 1 of 2
0:43.0,,,98-97,,Offensive rebound by Team
0:43.0,G. Dieng enters the game for R. Rubio,,98-97,,
0:43.0,,,98-98,1,K. Faried makes free throw 2 of 2
0:43.0,Minnesota full timeout,,98-98,,
0:43.0,Z. LaVine enters the game for T. Prince,,98-98,,
0:43.0,R. Rubio enters the game for G. Dieng,,98-98,,
0:36.0,Shooting foul by J. Nelson (drawn by A. Wiggins),,98-98,,
0:36.0,A. Wiggins misses free throw 1 of 2,,98-98,,
0:36.0,Offensive rebound by Team,,98-98,,
0:36.0,T. Prince enters the game for Z. LaVine,,98-98,,
0:36.0,A. Wiggins makes free throw 2 of 2,1,99-98,,
0:36.0,,,99-98,,Denver full timeout
0:29.0,,,99-98,,Shooting foul by R. Rubio (drawn by J. Nelson)
0:29.0,G. Dieng enters the game for R. Rubio,,99-98,,
0:29.0,,,99-99,1,J. Nelson makes free throw 1 of 2
0:29.0,,,99-100,1,J. Nelson makes free throw 2 of 2
0:29.0,Minnesota full timeout,,99-100,,
0:29.0,Z. LaVine enters the game for G. Dieng,,99-100,,
0:23.0,Shooting foul by W. Barton (drawn by A. Wiggins),,99-100,,
0:23.0,A. Wiggins makes free throw 1 of 2,1,100-100,,
0:23.0,A. Wiggins misses free throw 2 of 2,,100-100,,
0:22.0,,,100-100,,Defensive rebound by K. Faried
0:22.0,,,100-100,,Denver full timeout
0:22.0,G. Dieng enters the game for K. Towns,,100-100,,
0:01.0,,,100-100,,J. Nelson misses 3-pt shot from 27 ft
0:00.0,,,100-100,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:32.0,,,100-100,,J. Nelson misses 2-pt shot from 9 ft
4:32.0,Defensive rebound by A. Wiggins,,100-100,,
4:14.0,K. Martin misses 2-pt shot from 8 ft,,100-100,,
4:13.0,Offensive rebound by K. Martin,,100-100,,
4:09.0,K. Martin misses 2-pt shot from 7 ft,,100-100,,
4:08.0,,,100-100,,Defensive rebound by K. Faried
3:46.0,,,100-100,,W. Barton misses 2-pt shot from 19 ft
3:45.0,Defensive rebound by K. Towns,,100-100,,
3:33.0,A. Wiggins misses 2-pt shot at rim,,100-100,,
3:32.0,Offensive rebound by K. Towns,,100-100,,
3:26.0,K. Towns misses 2-pt shot from 7 ft,,100-100,,
3:26.0,,,100-100,,Defensive rebound by K. Faried
3:16.0,,,100-102,2,W. Barton makes 2-pt shot from 3 ft
3:02.0,Z. LaVine misses 3-pt shot from 25 ft,,100-102,,
3:02.0,,,100-102,,Defensive rebound by W. Barton
2:50.0,,,100-102,,Turnover by W. Barton (bad pass; steal by K. Towns)
2:47.0,,,100-102,,Shooting block foul by J. Nelson (drawn by Z. LaVine)
2:47.0,,,100-102,,Denver full timeout
2:47.0,Z. LaVine makes free throw 1 of 2,1,101-102,,
2:47.0,Z. LaVine makes free throw 2 of 2,1,102-102,,
2:29.0,,,102-104,2,D. Gallinari makes 2-pt shot from 21 ft
2:07.0,Turnover by K. Towns (lost ball; steal by K. Faried),,102-104,,
1:53.0,,,102-104,,J. Nelson misses 3-pt shot from 26 ft
1:52.0,Defensive rebound by Z. LaVine,,102-104,,
1:47.0,Minnesota full timeout,,102-104,,
1:36.0,K. Towns makes 2-pt shot from 3 ft (assist by Z. LaVine),2,104-104,,
1:25.0,,,104-107,3,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Nelson)
1:13.0,K. Towns makes 2-pt shot from 6 ft (assist by A. Wiggins),2,106-107,,
0:54.0,,,106-107,,G. Harris misses 3-pt shot from 23 ft
0:52.0,Defensive rebound by A. Wiggins,,106-107,,
0:43.0,Minnesota full timeout,,106-107,,
0:37.0,A. Wiggins misses 2-pt shot from 16 ft,,106-107,,
0:37.0,,,106-107,,Defensive rebound by K. Faried
0:36.0,,,106-107,,Denver full timeout
0:20.0,Personal foul by K. Martin (drawn by D. Gallinari),,106-107,,
0:20.0,,,106-107,,N. Jokic enters the game for K. Faried
0:07.0,,,106-109,2,D. Gallinari makes 2-pt shot from 19 ft (assist by W. Barton)
0:07.0,Minnesota full timeout,,106-109,,
0:07.0,,,106-109,,K. Faried enters the game for N. Jokic
0:04.0,K. Towns misses 3-pt shot from 26 ft,,106-109,,
0:03.0,,,106-109,,Defensive rebound by D. Gallinari
0:03.0,Personal foul by A. Wiggins (drawn by D. Gallinari),,106-109,,
0:03.0,,,106-110,1,D. Gallinari makes free throw 1 of 2
0:03.0,,,106-111,1,D. Gallinari makes free throw 2 of 2
0:00.0,K. Martin makes 2-pt shot from 1 ft (assist by T. Prince),2,108-111,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
