time,New York,pts.away,score,pts.home,Dallas
1:01.0,C. Anthony makes 2-pt shot from 14 ft,2,88-88,,
1:01.0,Shooting foul by W. Matthews (drawn by C. Anthony),,88-88,,
1:01.0,C. Anthony makes free throw 1 of 1,1,89-88,,
0:50.0,,,89-90,2,J. Barea makes 2-pt shot from 1 ft (assist by D. Nowitzki)
0:50.0,New York full timeout,,89-90,,
0:50.0,,,89-90,,Z. Pachulia enters the game for D. Nowitzki
0:27.0,C. Anthony misses 2-pt shot from 20 ft,,89-90,,
0:26.0,Offensive rebound by D. Williams,,89-90,,
0:19.0,C. Anthony misses 3-pt shot from 24 ft,,89-90,,
0:18.0,Offensive rebound by D. Williams,,89-90,,
0:17.0,New York full timeout,,89-90,,
0:17.0,,,89-90,,D. Harris enters the game for J. Barea
0:10.0,Turnover by C. Anthony (lost ball),,89-90,,
0:10.0,,,89-90,,D. Nowitzki enters the game for J. Anderson
0:10.0,,,89-90,,J. Barea enters the game for Z. Pachulia
0:10.0,J. Grant enters the game for R. Lopez,,89-90,,
0:10.0,Violation by Team (jump ball),,89-90,,
0:10.0,L. Galloway enters the game for C. Anthony,,89-90,,
0:10.0,,,89-90,,Dallas full timeout
0:10.0,C. Anthony enters the game for D. Williams,,89-90,,
0:09.0,Personal foul by J. Grant,,89-90,,
0:09.0,,,89-90,,R. Felton misses free throw 1 of 2
0:09.0,,,89-90,,Offensive rebound by Team
0:09.0,,,89-90,,J. Anderson enters the game for D. Nowitzki
0:09.0,,,89-91,1,R. Felton makes free throw 2 of 2
0:01.0,L. Galloway misses 3-pt shot from 29 ft,,89-91,,
0:00.0,Offensive rebound by Team,,89-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
