time,Phoenix,pts.away,score,pts.home,San Antonio
1:45.0,A. Goodwin makes free throw 1 of 2,1,74-109,,
1:45.0,A. Goodwin makes free throw 2 of 2,1,75-109,,
1:33.0,,,75-111,2,R. McCallum makes 2-pt shot from 18 ft
1:24.0,C. Jefferson makes 2-pt shot from 14 ft (assist by B. Cotton),2,77-111,,
1:11.0,,,77-111,,Turnover by J. Simmons (bad pass; steal by B. Cotton)
1:06.0,B. Cotton misses 2-pt shot from 1 ft,,77-111,,
1:05.0,Offensive rebound by A. Goodwin,,77-111,,
1:04.0,A. Goodwin makes 2-pt shot from 1 ft,2,79-111,,
0:49.0,,,79-111,,R. McCallum misses 2-pt shot from 16 ft
0:48.0,Defensive rebound by S. Weems,,79-111,,
0:37.0,A. Goodwin misses 2-pt shot from 19 ft,,79-111,,
0:36.0,,,79-111,,Defensive rebound by J. Simmons
0:18.0,,,79-111,,Shooting foul by C. Jefferson (drawn by J. Simmons)
0:18.0,,,79-111,,J. Simmons misses free throw 1 of 2
0:18.0,,,79-111,,Offensive rebound by Team
0:18.0,,,79-112,1,J. Simmons makes free throw 2 of 2
0:06.0,A. Len misses 2-pt shot from 16 ft,,79-112,,
0:05.0,,,79-112,,Defensive rebound by B. Marjanovic
0:00.0,End of 4th quarter,,,,End of 4th quarter
