time,Miami,pts.away,score,pts.home,Charlotte
2:38.0,Personal foul by H. Whiteside,,36-42,,
2:38.0,,,36-42,,Charlotte full timeout
2:38.0,U. Haslem enters the game for H. Whiteside,,36-42,,
2:38.0,,,36-42,,C. Zeller enters the game for F. Kaminsky
2:38.0,,,36-42,,C. Lee enters the game for J. Lin
2:25.0,,,36-44,2,K. Walker makes 2-pt shot from 5 ft
2:09.0,,,36-44,,Personal foul by C. Lee
2:09.0,D. Wade misses free throw 1 of 2,,36-44,,
2:09.0,Offensive rebound by Team,,36-44,,
2:09.0,D. Wade makes free throw 2 of 2,1,37-44,,
1:52.0,,,37-46,2,C. Lee makes 2-pt shot from 20 ft (assist by A. Jefferson)
1:41.0,Turnover by U. Haslem (offensive foul),,37-46,,
1:41.0,Offensive foul by U. Haslem,,37-46,,
1:27.0,,,37-48,2,K. Walker makes 2-pt shot from 19 ft
1:10.0,G. Dragic makes 2-pt shot from 17 ft (assist by D. Wade),2,39-48,,
0:49.0,,,39-48,,K. Walker misses 2-pt shot from 17 ft
0:47.0,Defensive rebound by D. Wade,,39-48,,
0:35.0,J. Winslow misses 3-pt shot from 23 ft,,39-48,,
0:33.0,Offensive rebound by D. Wade,,39-48,,
0:26.0,D. Wade misses 2-pt shot from 16 ft,,39-48,,
0:25.0,,,39-48,,Defensive rebound by C. Zeller
0:02.0,,,39-48,,A. Jefferson misses 2-pt shot from 10 ft
0:01.0,Defensive rebound by J. Johnson,,39-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Violation by H. Whiteside (def goaltending),,39-48,,
11:46.0,,,39-50,2,F. Kaminsky makes 2-pt shot from 3 ft
11:34.0,Turnover by D. Wade (lost ball; steal by K. Walker),,39-50,,
11:30.0,,,39-50,,Shooting foul by G. Dragic (drawn by C. Lee)
11:30.0,,,39-51,1,C. Lee makes free throw 1 of 2
11:30.0,,,39-52,1,C. Lee makes free throw 2 of 2
11:23.0,Offensive foul by G. Dragic,,39-52,,
11:23.0,Turnover by H. Whiteside (offensive foul),,39-52,,
11:08.0,,,39-52,,K. Walker misses 2-pt shot from 1 ft (block by H. Whiteside)
11:07.0,,,39-52,,Offensive rebound by K. Walker
11:04.0,,,39-52,,A. Jefferson misses 2-pt shot from 15 ft
11:03.0,Defensive rebound by D. Wade,,39-52,,
10:55.0,L. Deng misses 3-pt shot from 25 ft,,39-52,,
10:54.0,,,39-52,,Defensive rebound by M. Williams
10:35.0,,,39-55,3,K. Walker makes 3-pt shot from 26 ft (assist by A. Jefferson)
10:16.0,L. Deng misses 2-pt shot from 1 ft,,39-55,,
10:16.0,Offensive rebound by Team,,39-55,,
10:08.0,Turnover by G. Dragic (bad pass),,39-55,,
9:52.0,,,39-55,,M. Williams misses 2-pt shot from 3 ft (block by H. Whiteside)
9:50.0,Defensive rebound by H. Whiteside,,39-55,,
9:41.0,Turnover by G. Dragic (lost ball; steal by K. Walker),,39-55,,
9:41.0,Personal foul by G. Dragic,,39-55,,
9:27.0,,,39-57,2,A. Jefferson makes 2-pt shot from 2 ft
9:27.0,Miami full timeout,,39-57,,
9:06.0,Shooting foul by A. Jefferson (drawn by L. Deng),,39-57,,
9:06.0,L. Deng makes free throw 1 of 2,1,40-57,,
9:06.0,L. Deng makes free throw 2 of 2,1,41-57,,
8:52.0,,,41-57,,A. Jefferson misses 2-pt shot from 2 ft
8:51.0,Defensive rebound by L. Deng,,41-57,,
8:40.0,G. Dragic makes 3-pt shot from 25 ft,3,44-57,,
8:28.0,,,44-57,,Shooting foul by G. Dragic (drawn by K. Walker)
8:28.0,,,44-57,,K. Walker misses free throw 1 of 2
8:28.0,,,44-57,,Offensive rebound by Team
8:28.0,J. Richardson enters the game for G. Dragic,,44-57,,
8:28.0,,,44-58,1,K. Walker makes free throw 2 of 2
8:15.0,J. Johnson makes 2-pt shot from 2 ft (assist by D. Wade),2,46-58,,
8:01.0,,,46-58,,M. Williams misses 2-pt shot from 23 ft
8:00.0,Defensive rebound by H. Whiteside,,46-58,,
7:49.0,L. Deng makes 3-pt shot from 26 ft (assist by D. Wade),3,49-58,,
7:49.0,,,49-58,,Charlotte full timeout
7:22.0,,,49-58,,K. Walker misses 2-pt shot from 3 ft
7:21.0,Defensive rebound by D. Wade,,49-58,,
7:13.0,D. Wade makes 2-pt shot from 8 ft,2,51-58,,
6:58.0,,,51-58,,Turnover by A. Jefferson (traveling)
6:35.0,J. Johnson makes 3-pt shot from 27 ft,3,54-58,,
6:06.0,,,54-58,,K. Walker misses 2-pt shot from 19 ft (block by J. Richardson)
6:04.0,Defensive rebound by H. Whiteside,,54-58,,
5:55.0,H. Whiteside makes 2-pt shot from 3 ft (assist by D. Wade),2,56-58,,
5:55.0,,,56-58,,Charlotte full timeout
5:55.0,J. Winslow enters the game for J. Johnson,,56-58,,
5:55.0,,,56-58,,J. Lin enters the game for A. Jefferson
5:55.0,,,56-58,,C. Zeller enters the game for C. Lee
5:35.0,,,56-58,,J. Lin misses 3-pt shot from 27 ft
5:30.0,,,56-58,,Offensive rebound by Team
5:30.0,Jump ball: F. Kaminsky vs. J. Winslow (J. Lin gains possession),,,,Jump ball: F. Kaminsky vs. J. Winslow (J. Lin gains possession)
5:21.0,Personal foul by H. Whiteside,,56-58,,
5:03.0,,,56-60,2,K. Walker makes 2-pt shot from 3 ft
4:36.0,J. Winslow misses 3-pt shot from 24 ft,,56-60,,
4:36.0,Offensive rebound by H. Whiteside,,56-60,,
4:36.0,Offensive charge foul by H. Whiteside,,56-60,,
4:36.0,Turnover by H. Whiteside (offensive foul),,56-60,,
4:36.0,A. Stoudemire enters the game for H. Whiteside,,56-60,,
4:21.0,,,56-60,,F. Kaminsky misses 2-pt shot from 2 ft
4:20.0,Defensive rebound by D. Wade,,56-60,,
4:12.0,J. Winslow misses 3-pt shot from 24 ft,,56-60,,
4:09.0,Offensive rebound by J. Richardson,,56-60,,
3:53.0,J. Richardson makes 3-pt shot from 27 ft (assist by D. Wade),3,59-60,,
3:36.0,,,59-62,2,K. Walker makes 2-pt shot from 1 ft
3:24.0,Shooting foul by J. Lin (drawn by D. Wade),,59-62,,
3:24.0,D. Wade makes free throw 1 of 2,1,60-62,,
3:24.0,,,60-62,,C. Lee enters the game for K. Walker
3:24.0,D. Wade makes free throw 2 of 2,1,61-62,,
3:09.0,,,61-62,,Turnover by J. Lin (lost ball; steal by J. Winslow)
3:01.0,D. Wade misses 2-pt shot from 17 ft,,61-62,,
3:00.0,,,61-62,,Defensive rebound by M. Williams
2:44.0,,,61-62,,F. Kaminsky misses 3-pt shot from 25 ft
2:44.0,,,61-62,,Offensive rebound by Team
2:44.0,Loose ball foul by A. Stoudemire,,61-62,,
2:44.0,,,61-63,1,C. Zeller makes free throw 1 of 2
2:44.0,J. Johnson enters the game for D. Wade,,61-63,,
2:44.0,,,61-64,1,C. Zeller makes free throw 2 of 2
2:20.0,J. Johnson misses 2-pt shot from 20 ft,,61-64,,
2:19.0,,,61-64,,Defensive rebound by M. Williams
2:09.0,,,61-66,2,C. Zeller makes 2-pt shot from 6 ft (assist by M. Williams)
1:57.0,,,61-66,,Violation by F. Kaminsky (kicked ball)
1:57.0,,,61-66,,S. Hawes enters the game for F. Kaminsky
1:50.0,J. Richardson misses 2-pt shot from 2 ft (block by M. Williams),,61-66,,
1:50.0,Offensive rebound by Team,,61-66,,
1:43.0,Turnover by J. Johnson (lost ball),,61-66,,
1:17.0,,,61-66,,S. Hawes misses 2-pt shot from 14 ft
1:14.0,,,61-66,,Offensive rebound by S. Hawes
1:13.0,,,61-66,,C. Lee misses 2-pt shot from 1 ft
1:13.0,Defensive rebound by Team,,61-66,,
1:13.0,,,61-66,,Loose ball foul by C. Zeller
1:00.0,L. Deng misses 3-pt shot from 24 ft,,61-66,,
0:59.0,,,61-66,,Defensive rebound by S. Hawes
0:48.0,,,61-68,2,J. Lin makes 2-pt shot from 1 ft (assist by S. Hawes)
0:48.0,,,61-68,,Shooting foul by J. Richardson (drawn by J. Lin)
0:48.0,,,61-69,1,J. Lin makes free throw 1 of 1
0:32.0,J. Johnson misses 2-pt shot from 11 ft,,61-69,,
0:30.0,Offensive rebound by J. Johnson,,61-69,,
0:27.0,Turnover by L. Deng (lost ball),,61-69,,
0:12.0,,,61-69,,Offensive foul by C. Zeller
0:12.0,,,61-69,,Turnover by C. Zeller (offensive foul)
0:12.0,D. Wright enters the game for J. Winslow,,61-69,,
0:12.0,,,61-69,,K. Walker enters the game for C. Zeller
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Winslow makes 3-pt shot from 24 ft (assist by J. Johnson),3,64-69,,
11:25.0,,,64-71,2,J. Lin makes 2-pt shot from 2 ft
11:25.0,,,64-71,,Shooting foul by G. Dragic (drawn by J. Lin)
11:25.0,G. Green enters the game for G. Dragic,,64-71,,
11:25.0,,,64-72,1,J. Lin makes free throw 1 of 1
11:05.0,J. Winslow makes 2-pt shot from 1 ft,2,66-72,,
10:45.0,,,66-75,3,J. Lin makes 3-pt shot from 25 ft
10:27.0,Shooting foul by C. Zeller (drawn by J. Winslow),,66-75,,
10:27.0,J. Winslow makes free throw 1 of 2,1,67-75,,
10:27.0,,,67-75,,F. Kaminsky enters the game for C. Zeller
10:27.0,J. Winslow misses free throw 2 of 2,,67-75,,
10:26.0,,,67-75,,Defensive rebound by S. Hawes
10:14.0,,,67-75,,Shooting foul by U. Haslem (drawn by J. Lin)
10:14.0,,,67-76,1,J. Lin makes free throw 1 of 2
10:14.0,,,67-76,,J. Lin misses free throw 2 of 2
10:13.0,Defensive rebound by U. Haslem,,67-76,,
9:57.0,G. Green makes 2-pt shot from 17 ft (assist by J. Richardson),2,69-76,,
9:39.0,,,69-76,,Turnover by Team (back court)
9:24.0,J. Richardson misses 2-pt shot from 4 ft (block by S. Hawes),,69-76,,
9:22.0,Offensive rebound by J. Richardson,,69-76,,
9:17.0,G. Green misses 3-pt shot from 26 ft,,69-76,,
9:15.0,Offensive rebound by U. Haslem,,69-76,,
9:02.0,J. Johnson misses 3-pt shot from 24 ft,,69-76,,
9:01.0,,,69-76,,Defensive rebound by K. Walker
8:53.0,,,69-76,,K. Walker misses 3-pt shot from 28 ft
8:51.0,Defensive rebound by U. Haslem,,69-76,,
8:34.0,J. Richardson misses 3-pt shot from 26 ft,,69-76,,
8:33.0,,,69-76,,Defensive rebound by S. Hawes
8:16.0,,,69-76,,K. Walker misses 2-pt shot from 18 ft
8:15.0,Defensive rebound by J. Richardson,,69-76,,
8:06.0,U. Haslem misses 2-pt shot from 12 ft,,69-76,,
8:04.0,,,69-76,,Defensive rebound by S. Hawes
7:42.0,,,69-76,,J. Lin misses 2-pt shot from 12 ft
7:42.0,Defensive rebound by Team,,69-76,,
7:42.0,,,69-76,,Loose ball foul by S. Hawes
7:42.0,Official timeout,,69-76,,
7:42.0,D. Wade enters the game for J. Johnson,,69-76,,
7:42.0,,,69-76,,M. Williams enters the game for C. Lee
7:24.0,J. Winslow makes 2-pt shot from 2 ft (assist by D. Wade),2,71-76,,
7:05.0,,,71-76,,Shooting foul by J. Winslow (drawn by F. Kaminsky)
7:05.0,,,71-76,,F. Kaminsky misses free throw 1 of 2
7:05.0,,,71-76,,Offensive rebound by Team
7:05.0,,,71-76,,A. Jefferson enters the game for S. Hawes
7:05.0,,,71-76,,F. Kaminsky misses free throw 2 of 2
7:04.0,Defensive rebound by G. Green,,71-76,,
6:53.0,Turnover by D. Wade (lost ball; steal by M. Williams),,71-76,,
6:47.0,,,71-76,,K. Walker misses 2-pt shot from 2 ft (block by D. Wade)
6:45.0,Defensive rebound by G. Green,,71-76,,
6:38.0,Shooting foul by A. Jefferson (drawn by U. Haslem),,71-76,,
6:38.0,U. Haslem misses free throw 1 of 2,,71-76,,
6:38.0,Offensive rebound by Team,,71-76,,
6:38.0,U. Haslem makes free throw 2 of 2,1,72-76,,
6:18.0,,,72-76,,F. Kaminsky misses 2-pt shot from 2 ft
6:17.0,Defensive rebound by U. Haslem,,72-76,,
6:07.0,G. Green makes 3-pt shot from 25 ft (assist by D. Wade),3,75-76,,
6:07.0,,,75-76,,Charlotte full timeout
6:07.0,,,75-76,,C. Lee enters the game for F. Kaminsky
5:55.0,,,75-78,2,K. Walker makes 2-pt shot from 18 ft
5:34.0,G. Green misses 2-pt shot from 13 ft,,75-78,,
5:33.0,,,75-78,,Defensive rebound by A. Jefferson
5:25.0,,,75-78,,Shooting foul by D. Wade (drawn by K. Walker)
5:25.0,,,75-79,1,K. Walker makes free throw 1 of 2
5:25.0,,,75-80,1,K. Walker makes free throw 2 of 2
5:19.0,Offensive charge foul by D. Wade,,75-80,,
5:19.0,Turnover by D. Wade (offensive foul),,75-80,,
4:58.0,,,75-83,3,K. Walker makes 3-pt shot from 26 ft (assist by A. Jefferson)
4:58.0,Miami full timeout,,75-83,,
4:58.0,J. Johnson enters the game for J. Winslow,,75-83,,
4:58.0,L. Deng enters the game for G. Green,,75-83,,
4:38.0,L. Deng misses 3-pt shot from 23 ft,,75-83,,
4:38.0,,,75-83,,Defensive rebound by Team
4:22.0,,,75-83,,Offensive charge foul by J. Lin
4:22.0,,,75-83,,Turnover by J. Lin (offensive foul)
4:08.0,J. Johnson makes 2-pt shot from 3 ft,2,77-83,,
3:49.0,,,77-85,2,K. Walker makes 2-pt shot from 9 ft
