time,New York,pts.away,score,pts.home,Denver
4:16.0,C. Anthony makes 2-pt shot from 2 ft,2,87-95,,
3:54.0,,,87-95,,Turnover by D. Augustin (bad pass)
3:54.0,,,87-95,,K. Faried enters the game for N. Jokic
3:54.0,,,87-95,,E. Mudiay enters the game for W. Barton
3:39.0,L. Galloway misses 2-pt shot from 21 ft,,87-95,,
3:36.0,,,87-95,,Defensive rebound by Team
3:13.0,,,87-97,2,D. Augustin makes 2-pt shot from 2 ft
2:56.0,A. Afflalo misses 2-pt shot from 3 ft,,87-97,,
2:55.0,,,87-97,,Defensive rebound by D. Augustin
2:39.0,,,87-99,2,D. Augustin makes 2-pt shot from 15 ft
2:39.0,,,87-99,,Shooting foul by L. Galloway (drawn by D. Augustin)
2:39.0,New York full timeout,,87-99,,
2:39.0,D. Williams enters the game for A. Afflalo,,87-99,,
2:39.0,,,87-100,1,D. Augustin makes free throw 1 of 1
2:33.0,,,87-100,,Personal foul by D. Arthur
2:33.0,C. Anthony makes free throw 1 of 2,1,88-100,,
2:33.0,C. Anthony makes free throw 2 of 2,1,89-100,,
2:09.0,,,89-102,2,K. Faried makes 2-pt shot from 4 ft
1:53.0,D. Williams makes 3-pt shot from 23 ft (assist by J. Calderon),3,92-102,,
1:37.0,,,92-102,,E. Mudiay misses 2-pt shot from 1 ft
1:37.0,Defensive rebound by C. Anthony,,92-102,,
1:31.0,C. Anthony makes 2-pt shot from 2 ft,2,94-102,,
1:31.0,,,94-102,,Denver full timeout
1:10.0,,,94-105,3,D. Arthur makes 3-pt shot from 25 ft (assist by D. Augustin)
0:59.0,Turnover by L. Galloway (lost ball),,94-105,,
0:59.0,K. Seraphin enters the game for C. Anthony,,94-105,,
0:59.0,J. Grant enters the game for J. Calderon,,94-105,,
0:59.0,New York full timeout,,94-105,,
0:53.0,,,94-105,,Denver full timeout
0:41.0,,,94-107,2,E. Mudiay makes 2-pt shot at rim (assist by D. Augustin)
0:28.0,K. O'Quinn misses 2-pt shot from 17 ft,,94-107,,
0:28.0,,,94-107,,Defensive rebound by E. Mudiay
0:09.0,,,94-107,,D. Augustin misses 3-pt shot from 24 ft
0:08.0,,,94-107,,Offensive rebound by K. Faried
0:07.0,,,94-107,,Shooting foul by K. O'Quinn (drawn by K. Faried)
0:07.0,,,94-109,2,K. Faried makes 2-pt shot at rim
0:07.0,,,94-110,1,K. Faried makes free throw 1 of 1
0:02.0,J. Grant misses 3-pt shot from 25 ft,,94-110,,
0:00.0,Offensive rebound by Team,,94-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
