time,LA Lakers,pts.away,score,pts.home,Boston
4:34.0,,,100-93,,E. Turner misses free throw 1 of 2
4:34.0,,,100-93,,Offensive rebound by Team
4:34.0,J. Clarkson enters the game for D. Russell,,100-93,,
4:34.0,,,100-94,1,E. Turner makes free throw 2 of 2
4:11.0,K. Bryant misses 3-pt shot from 25 ft,,100-94,,
4:09.0,,,100-94,,Defensive rebound by I. Thomas
4:08.0,Personal foul by K. Bryant (drawn by I. Thomas),,100-94,,
4:08.0,,,100-95,1,I. Thomas makes free throw 1 of 2
4:08.0,N. Young enters the game for J. Randle,,100-95,,
4:08.0,,,100-96,1,I. Thomas makes free throw 2 of 2
3:55.0,K. Bryant misses 2-pt shot from 18 ft,,100-96,,
3:53.0,,,100-96,,Defensive rebound by D. Lee
3:37.0,,,100-96,,E. Turner misses 2-pt shot from 2 ft
3:36.0,,,100-96,,Offensive rebound by A. Bradley
3:36.0,,,100-98,2,A. Bradley makes 2-pt shot at rim
3:21.0,J. Clarkson makes 2-pt shot from 18 ft,2,102-98,,
3:21.0,Shooting foul by I. Thomas (drawn by J. Clarkson),,102-98,,
3:21.0,J. Clarkson misses free throw 1 of 1,,102-98,,
3:21.0,,,102-98,,Defensive rebound by D. Lee
2:58.0,,,102-100,2,I. Thomas makes 2-pt shot at rim (assist by E. Turner)
2:30.0,J. Clarkson makes 2-pt shot from 8 ft,2,104-100,,
2:26.0,,,104-100,,Boston full timeout
2:20.0,,,104-100,,J. Crowder misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by N. Young,,104-100,,
2:01.0,Turnover by J. Clarkson (bad pass; steal by A. Bradley),,104-100,,
1:58.0,,,104-102,2,A. Bradley makes 2-pt shot at rim
1:40.0,K. Bryant makes 3-pt shot from 28 ft (assist by B. Bass),3,107-102,,
1:40.0,,,107-102,,Boston full timeout
1:34.0,,,107-102,,A. Bradley misses 3-pt shot from 26 ft
1:31.0,Defensive rebound by K. Bryant,,107-102,,
1:13.0,Shooting foul by I. Thomas (drawn by B. Bass),,107-102,,
1:13.0,B. Bass makes free throw 1 of 2,1,108-102,,
1:13.0,,,108-102,,K. Olynyk enters the game for D. Lee
1:13.0,B. Bass makes free throw 2 of 2,1,109-102,,
1:05.0,,,109-102,,Turnover by I. Thomas (lost ball; steal by J. Clarkson)
0:42.0,J. Clarkson misses 2-pt shot from 18 ft,,109-102,,
0:41.0,Offensive rebound by Team,,109-102,,
0:41.0,Jump ball: B. Bass vs. K. Olynyk (L. Williams gains possession),,,,Jump ball: B. Bass vs. K. Olynyk (L. Williams gains possession)
0:33.0,LA Lakers full timeout,,109-102,,
0:33.0,,,109-102,,M. Smart enters the game for I. Thomas
0:26.0,,,109-102,,Personal take foul by J. Crowder (drawn by K. Bryant)
0:26.0,K. Bryant misses free throw 1 of 2,,109-102,,
0:26.0,Offensive rebound by Team,,109-102,,
0:26.0,,,109-102,,J. Sullinger enters the game for K. Olynyk
0:26.0,K. Bryant makes free throw 2 of 2,1,110-102,,
0:26.0,,,110-102,,Boston full timeout
0:26.0,,,110-102,,D. Lee enters the game for J. Sullinger
0:26.0,,,110-102,,I. Thomas enters the game for M. Smart
0:24.0,,,110-102,,Shooting foul by B. Bass (drawn by I. Thomas)
0:24.0,,,110-103,1,I. Thomas makes free throw 1 of 2
0:24.0,,,110-103,,M. Smart enters the game for D. Lee
0:24.0,,,110-104,1,I. Thomas makes free throw 2 of 2
0:24.0,LA Lakers full timeout,,110-104,,
0:24.0,,,110-104,,K. Olynyk enters the game for I. Thomas
0:23.0,,,110-104,,Personal take foul by E. Turner (drawn by B. Bass)
0:23.0,B. Bass makes free throw 1 of 2,1,111-104,,
0:23.0,B. Bass makes free throw 2 of 2,1,112-104,,
0:23.0,,,112-104,,Boston full timeout
0:23.0,,,112-104,,I. Thomas enters the game for M. Smart
0:19.0,,,112-104,,A. Bradley misses 3-pt shot from 25 ft
0:18.0,,,112-104,,Offensive rebound by A. Bradley
0:15.0,,,112-104,,A. Bradley misses 3-pt shot from 26 ft
0:15.0,Defensive rebound by B. Bass,,112-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
