time,Philadelphia,pts.away,score,pts.home,Orlando
1:30.0,,,96-85,,N. Vucevic misses 2-pt shot at rim (block by J. Grant)
1:27.0,,,96-85,,Offensive rebound by E. Fournier
1:25.0,,,96-85,,E. Fournier misses 2-pt shot from 17 ft
1:23.0,,,96-85,,Offensive rebound by A. Gordon
1:19.0,,,96-85,,T. Harris misses 2-pt shot from 4 ft
1:18.0,Defensive rebound by H. Thompson,,96-85,,
1:00.0,I. Smith misses 2-pt shot from 14 ft,,96-85,,
0:59.0,,,96-85,,Defensive rebound by T. Harris
0:48.0,,,96-85,,E. Payton misses 3-pt shot from 26 ft
0:47.0,Defensive rebound by I. Canaan,,96-85,,
0:23.0,I. Canaan misses 2-pt shot from 15 ft,,96-85,,
0:21.0,,,96-85,,Defensive rebound by N. Vucevic
0:12.0,,,96-87,2,E. Payton makes 2-pt shot from 2 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
