time,LA Clippers,pts.away,score,pts.home,Chicago
1:24.0,Offensive charge foul by L. Mbah a Moute,,77-81,,
1:24.0,Turnover by L. Mbah a Moute (offensive foul),,77-81,,
1:03.0,,,77-81,,Turnover by A. Brooks (lost ball; steal by C. Paul)
0:59.0,C. Paul misses 2-pt shot from 1 ft,,77-81,,
0:59.0,,,77-81,,Defensive rebound by Team
0:45.0,,,77-83,2,D. Rose makes 2-pt shot from 6 ft
0:45.0,LA Clippers full timeout,,77-83,,
0:45.0,J. Redick enters the game for L. Mbah a Moute,,77-83,,
0:45.0,W. Johnson enters the game for J. Smith,,77-83,,
0:45.0,J. Crawford enters the game for L. Stephenson,,77-83,,
0:39.0,C. Paul misses 2-pt shot from 3 ft,,77-83,,
0:38.0,Offensive rebound by D. Jordan,,77-83,,
0:38.0,D. Jordan misses 2-pt shot from 1 ft,,77-83,,
0:36.0,Offensive rebound by W. Johnson,,77-83,,
0:30.0,W. Johnson makes 3-pt shot from 23 ft (assist by J. Redick),3,80-83,,
0:07.0,,,80-83,,J. Butler misses 2-pt shot from 7 ft
0:06.0,Defensive rebound by D. Jordan,,80-83,,
0:06.0,LA Clippers full timeout,,80-83,,
0:06.0,,,80-83,,K. Hinrich enters the game for A. Brooks
0:01.0,C. Paul misses 3-pt shot from 27 ft,,80-83,,
0:00.0,,,80-83,,Defensive rebound by J. Butler
0:00.0,End of 4th quarter,,,,End of 4th quarter
