time,Chicago,pts.away,score,pts.home,Utah
3:54.0,,,41-42,2,T. Lyles makes 2-pt shot from 17 ft (assist by R. Hood)
3:31.0,P. Gasol makes 2-pt shot from 13 ft,2,43-42,,
3:13.0,,,43-42,,T. Burke misses 3-pt shot from 23 ft
3:12.0,Defensive rebound by T. Gibson,,43-42,,
2:59.0,P. Gasol misses 2-pt shot from 21 ft,,43-42,,
2:58.0,,,43-42,,Defensive rebound by R. Gobert
2:42.0,,,43-42,,R. Hood misses 2-pt shot from 9 ft
2:41.0,Defensive rebound by T. Gibson,,43-42,,
2:29.0,D. Rose makes 2-pt shot from 15 ft (assist by J. Butler),2,45-42,,
2:11.0,,,45-42,,R. Hood misses 2-pt shot from 15 ft
2:10.0,Defensive rebound by J. Butler,,45-42,,
2:08.0,,,45-42,,Personal foul by R. Hood (drawn by J. Butler)
2:08.0,J. Butler makes free throw 1 of 2,1,46-42,,
2:08.0,E. Moore enters the game for D. McDermott,,46-42,,
2:08.0,,,46-42,,D. Favors enters the game for T. Lyles
2:08.0,,,46-42,,J. Ingles enters the game for R. Hood
2:08.0,J. Butler makes free throw 2 of 2,1,47-42,,
1:48.0,,,47-42,,R. Gobert misses 2-pt shot from 4 ft
1:48.0,Defensive rebound by J. Butler,,47-42,,
1:38.0,T. Gibson misses 2-pt shot from 14 ft,,47-42,,
1:37.0,Offensive rebound by T. Gibson,,47-42,,
1:35.0,T. Gibson makes 2-pt shot at rim,2,49-42,,
1:35.0,,,49-42,,Utah full timeout
1:20.0,,,49-42,,D. Favors misses 2-pt shot from 15 ft
1:19.0,Defensive rebound by P. Gasol,,49-42,,
1:05.0,,,49-42,,Personal foul by G. Hayward (drawn by J. Butler)
1:00.0,Turnover by D. Rose (bad pass; steal by G. Hayward),,49-42,,
0:57.0,,,49-42,,Shooting foul by D. Rose (drawn by G. Hayward)
0:57.0,,,49-43,1,G. Hayward makes free throw 1 of 2
0:57.0,,,49-44,1,G. Hayward makes free throw 2 of 2
