time,Orlando,pts.away,score,pts.home,Sacramento
4:35.0,M. Hezonja misses 2-pt shot from 4 ft,,69-66,,
4:35.0,,,69-66,,Defensive rebound by R. Rondo
4:30.0,,,69-68,2,R. Rondo makes 2-pt shot from 3 ft
4:19.0,D. Dedmon misses 2-pt shot from 19 ft,,69-68,,
4:18.0,,,69-68,,Defensive rebound by M. Belinelli
4:09.0,,,69-68,,D. Collison misses 3-pt shot from 24 ft
4:08.0,,,69-68,,Offensive rebound by K. Koufos
4:04.0,,,69-68,,O. Casspi misses 2-pt shot from 11 ft
4:03.0,Defensive rebound by D. Dedmon,,69-68,,
4:00.0,,,69-68,,Shooting block foul by K. Koufos (drawn by E. Ilyasova)
4:00.0,E. Ilyasova misses free throw 1 of 2,,69-68,,
4:00.0,Offensive rebound by Team,,69-68,,
4:00.0,,,69-68,,W. Cauley-Stein enters the game for D. Collison
4:00.0,,,69-68,,S. Curry enters the game for K. Koufos
4:00.0,E. Ilyasova makes free throw 2 of 2,1,70-68,,
3:47.0,,,70-68,,R. Rondo misses 3-pt shot from 26 ft
3:45.0,,,70-68,,Offensive rebound by W. Cauley-Stein
3:45.0,,,70-68,,W. Cauley-Stein misses 2-pt shot from 3 ft
3:43.0,,,70-68,,Offensive rebound by S. Curry
3:33.0,,,70-68,,O. Casspi misses 3-pt shot from 22 ft
3:32.0,Defensive rebound by E. Ilyasova,,70-68,,
3:21.0,C. Watson makes 2-pt shot from 8 ft,2,72-68,,
3:13.0,,,72-68,,W. Cauley-Stein misses 2-pt shot from 3 ft
3:13.0,Defensive rebound by E. Fournier,,72-68,,
3:06.0,E. Fournier misses 2-pt shot from 4 ft,,72-68,,
3:06.0,,,72-68,,Defensive rebound by S. Curry
2:55.0,,,72-68,,Shooting foul by D. Dedmon (drawn by W. Cauley-Stein)
2:55.0,J. Smith enters the game for D. Dedmon,,72-68,,
2:55.0,,,72-69,1,W. Cauley-Stein makes free throw 1 of 2
2:55.0,,,72-70,1,W. Cauley-Stein makes free throw 2 of 2
2:40.0,Shooting foul by R. Rondo (drawn by J. Smith),,72-70,,
2:40.0,J. Smith makes free throw 1 of 2,1,73-70,,
2:40.0,J. Smith makes free throw 2 of 2,1,74-70,,
2:28.0,,,74-70,,S. Curry misses 3-pt shot from 24 ft
2:27.0,Defensive rebound by C. Watson,,74-70,,
