time,Sacramento,pts.away,score,pts.home,Detroit
2:18.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,104-109,,
2:00.0,,,104-111,2,R. Jackson makes 2-pt shot from 5 ft
1:54.0,D. Cousins misses 3-pt shot from 27 ft,,104-111,,
1:54.0,,,104-111,,Defensive rebound by K. Caldwell-Pope
1:45.0,,,104-111,,Detroit full timeout
1:37.0,,,104-111,,T. Harris misses 2-pt shot from 1 ft (block by R. Gay)
1:36.0,Defensive rebound by R. Rondo,,104-111,,
1:27.0,R. Gay misses 2-pt shot from 2 ft (block by A. Baynes),,104-111,,
1:27.0,,,104-111,,Defensive rebound by A. Baynes
1:27.0,Personal foul by R. Rondo,,104-111,,
1:27.0,,,104-112,1,A. Baynes makes free throw 1 of 2
1:27.0,,,104-113,1,A. Baynes makes free throw 2 of 2
1:27.0,Sacramento full timeout,,104-113,,
1:18.0,J. Anderson misses 3-pt shot from 26 ft,,104-113,,
1:18.0,,,104-113,,Defensive rebound by A. Baynes
0:58.0,,,104-113,,M. Morris misses 3-pt shot from 24 ft
0:57.0,,,104-113,,Offensive rebound by A. Baynes
0:57.0,,,104-113,,A. Baynes misses 2-pt shot at rim
0:57.0,,,104-113,,Offensive rebound by A. Baynes
0:53.0,,,104-115,2,A. Baynes makes 2-pt shot at rim
0:45.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,106-115,,
0:19.0,,,106-115,,R. Jackson misses 3-pt shot from 27 ft
0:19.0,,,106-115,,Offensive rebound by Team
0:19.0,,,106-115,,Turnover by Team (shot clock)
0:18.0,J. Anderson makes 2-pt shot from 1 ft (assist by R. Rondo),2,108-115,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
