time,Charlotte,pts.away,score,pts.home,San Antonio
2:32.0,J. Lin makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,90-112,,
2:04.0,,,90-112,,K. Anderson misses 2-pt shot from 16 ft
2:04.0,Defensive rebound by J. Lin,,90-112,,
1:58.0,B. Roberts misses 3-pt shot from 24 ft,,90-112,,
1:56.0,,,90-112,,Defensive rebound by R. McCallum
1:38.0,,,90-112,,R. Butler misses 3-pt shot from 25 ft
1:38.0,Defensive rebound by Team,,90-112,,
1:38.0,,,90-112,,Loose ball foul by B. Marjanovic (drawn by F. Kaminsky)
1:38.0,Charlotte full timeout,,90-112,,
1:38.0,F. Kaminsky misses free throw 1 of 2,,90-112,,
1:38.0,Offensive rebound by Team,,90-112,,
1:38.0,F. Kaminsky makes free throw 2 of 2,1,91-112,,
1:27.0,,,91-112,,Turnover by R. Butler (bad pass)
1:20.0,,,91-112,,Shooting block foul by B. Marjanovic (drawn by F. Kaminsky)
1:20.0,F. Kaminsky makes free throw 1 of 2,1,92-112,,
1:20.0,F. Kaminsky makes free throw 2 of 2,1,93-112,,
0:59.0,,,93-112,,R. Butler misses 2-pt shot at rim
0:58.0,,,93-112,,Offensive rebound by K. Anderson
0:58.0,,,93-114,2,K. Anderson makes 2-pt shot from 1 ft
0:55.0,Shooting foul by B. Marjanovic (drawn by J. Lin),,93-114,,
0:55.0,J. Lin makes free throw 1 of 2,1,94-114,,
0:55.0,J. Lin misses free throw 2 of 2,,94-114,,
0:54.0,,,94-114,,Defensive rebound by R. Butler
0:30.0,,,94-114,,K. Anderson misses 2-pt shot from 8 ft
0:29.0,Defensive rebound by J. Lin,,94-114,,
0:19.0,F. Kaminsky misses 2-pt shot from 9 ft,,94-114,,
0:19.0,,,94-114,,Defensive rebound by D. West
0:00.0,End of 4th quarter,,,,End of 4th quarter
