time,Dallas,pts.away,score,pts.home,Atlanta
2:23.0,,,68-80,,P. Millsap misses 3-pt shot from 25 ft
2:20.0,,,68-80,,Offensive rebound by D. Schroder
2:15.0,,,68-82,2,M. Muscala makes 2-pt shot from 1 ft (assist by T. Sefolosha)
1:48.0,R. Felton makes 3-pt shot from 25 ft (assist by J. Barea),3,71-82,,
1:36.0,,,71-82,,Offensive foul by P. Millsap
1:36.0,,,71-82,,Turnover by P. Millsap (offensive foul)
1:36.0,,,71-82,,A. Horford enters the game for P. Millsap
1:31.0,Turnover by C. Parsons (traveling),,71-82,,
1:18.0,,,71-85,3,D. Schroder makes 3-pt shot from 24 ft (assist by T. Hardaway)
1:01.0,C. Villanueva misses 3-pt shot from 23 ft,,71-85,,
1:00.0,,,71-85,,Defensive rebound by T. Hardaway
0:53.0,,,71-85,,Turnover by T. Hardaway (lost ball; steal by R. Felton)
0:48.0,Turnover by C. Parsons (bad pass),,71-85,,
0:32.0,,,71-85,,D. Schroder misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by D. Nowitzki,,71-85,,
0:22.0,,,71-85,,Personal foul by M. Muscala
0:22.0,J. Barea makes free throw 1 of 2,1,72-85,,
0:22.0,,,72-85,,K. Korver enters the game for M. Muscala
0:22.0,Z. Pachulia enters the game for D. Nowitzki,,72-85,,
0:22.0,W. Matthews enters the game for C. Villanueva,,72-85,,
0:22.0,J. Barea makes free throw 2 of 2,1,73-85,,
0:11.0,Personal foul by J. Barea,,73-85,,
0:11.0,,,73-86,1,D. Schroder makes free throw 1 of 2
0:11.0,,,73-86,,K. Bazemore enters the game for K. Korver
0:11.0,D. Nowitzki enters the game for Z. Pachulia,,73-86,,
0:11.0,,,73-86,,D. Schroder misses free throw 2 of 2
0:09.0,Defensive rebound by C. Parsons,,73-86,,
0:00.0,W. Matthews misses 3-pt shot from 23 ft,,73-86,,
0:00.0,Offensive rebound by Team,,73-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Def 3 sec tech foul by C. Parsons,,73-86,,
11:49.0,,,73-86,,D. Schroder misses technical free throw
11:49.0,,,73-86,,Offensive rebound by Team
11:43.0,,,73-88,2,A. Horford makes 2-pt shot from 2 ft (assist by D. Schroder)
11:24.0,C. Parsons makes 2-pt shot at rim (assist by R. Felton),2,75-88,,
11:10.0,,,75-88,,T. Sefolosha misses 3-pt shot from 23 ft
11:07.0,Defensive rebound by R. Felton,,75-88,,
10:59.0,Shooting foul by D. Schroder (drawn by C. Parsons),,75-88,,
10:59.0,C. Parsons makes free throw 1 of 2,1,76-88,,
10:59.0,C. Parsons makes free throw 2 of 2,1,77-88,,
10:34.0,,,77-88,,T. Hardaway misses 3-pt shot from 23 ft
10:33.0,Defensive rebound by Team,,77-88,,
10:33.0,,,77-88,,Loose ball foul by A. Horford (drawn by D. Nowitzki)
10:33.0,,,77-88,,P. Millsap enters the game for M. Scott
10:21.0,R. Felton makes 2-pt shot from 2 ft,2,79-88,,
10:03.0,,,79-90,2,D. Schroder makes 2-pt shot from 2 ft (assist by P. Millsap)
9:36.0,R. Felton misses 3-pt shot from 25 ft,,79-90,,
9:35.0,,,79-90,,Defensive rebound by P. Millsap
9:15.0,,,79-93,3,A. Horford makes 3-pt shot from 22 ft (assist by P. Millsap)
9:13.0,Dallas full timeout,,79-93,,
9:13.0,,,79-93,,K. Bazemore enters the game for T. Sefolosha
9:01.0,D. Nowitzki misses 2-pt shot from 20 ft,,79-93,,
9:00.0,,,79-93,,Defensive rebound by T. Hardaway
8:49.0,,,79-93,,A. Horford misses 2-pt shot from 14 ft
8:48.0,,,79-93,,Offensive rebound by P. Millsap
8:37.0,Personal foul by R. Felton (drawn by P. Millsap),,79-93,,
8:37.0,Z. Pachulia enters the game for D. Nowitzki,,79-93,,
8:29.0,,,79-93,,Shooting foul by C. Parsons (drawn by D. Schroder)
8:29.0,,,79-94,1,D. Schroder makes free throw 1 of 2
8:29.0,,,79-95,1,D. Schroder makes free throw 2 of 2
8:17.0,Shooting foul by A. Horford (drawn by C. Parsons),,79-95,,
8:17.0,C. Parsons makes free throw 1 of 2,1,80-95,,
8:17.0,,,80-95,,J. Teague enters the game for D. Schroder
8:17.0,,,80-95,,M. Muscala enters the game for A. Horford
8:17.0,C. Parsons makes free throw 2 of 2,1,81-95,,
8:03.0,,,81-95,,P. Millsap misses 2-pt shot from 11 ft
8:00.0,Defensive rebound by C. Parsons,,81-95,,
7:54.0,C. Parsons makes 2-pt shot at rim,2,83-95,,
7:43.0,,,83-95,,K. Bazemore misses 3-pt shot from 24 ft
