time,Detroit,pts.away,score,pts.home,Denver
2:59.0,Official timeout,,94-93,,
2:52.0,,,94-95,2,D. Gallinari makes 2-pt shot at rim (assist by N. Jokic)
2:38.0,A. Baynes enters the game for A. Drummond,,94-95,,
2:33.0,R. Jackson misses 3-pt shot from 25 ft,,94-95,,
2:31.0,,,94-95,,Defensive rebound by D. Gallinari
2:17.0,,,94-97,2,N. Jokic makes 2-pt shot from 7 ft (assist by E. Mudiay)
2:02.0,R. Jackson makes 2-pt shot from 2 ft,2,96-97,,
1:50.0,Personal block foul by A. Baynes (drawn by D. Gallinari),,96-97,,
1:48.0,Personal foul by M. Morris (drawn by D. Gallinari),,96-97,,
1:48.0,,,96-98,1,D. Gallinari makes free throw 1 of 2
1:48.0,,,96-98,,D. Gallinari misses free throw 2 of 2
1:47.0,Defensive rebound by M. Morris,,96-98,,
1:28.0,M. Morris misses 3-pt shot from 25 ft,,96-98,,
1:27.0,Offensive rebound by Team,,96-98,,
1:27.0,,,96-98,,Personal foul by N. Jokic (drawn by A. Baynes)
1:16.0,R. Jackson makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,99-98,,
1:03.0,,,99-98,,Shooting foul by R. Jackson (drawn by E. Mudiay)
1:03.0,,,99-99,1,E. Mudiay makes free throw 1 of 2
1:03.0,,,99-100,1,E. Mudiay makes free throw 2 of 2
0:48.0,A. Baynes makes 2-pt shot from 3 ft (assist by R. Jackson),2,101-100,,
0:24.0,,,101-102,2,D. Gallinari makes 2-pt shot from 20 ft
0:24.0,Detroit full timeout,,101-102,,
0:17.0,R. Jackson misses 2-pt shot from 1 ft,,101-102,,
0:16.0,Offensive rebound by A. Baynes,,101-102,,
0:16.0,A. Baynes misses 2-pt shot from 1 ft,,101-102,,
0:15.0,,,101-102,,Defensive rebound by G. Harris
0:14.0,,,101-102,,E. Mudiay misses 2-pt shot at rim (block by K. Caldwell-Pope)
0:13.0,Defensive rebound by Team,,101-102,,
0:13.0,Detroit full timeout,,101-102,,
0:04.0,R. Jackson misses 2-pt shot from 1 ft,,101-102,,
0:03.0,,,101-102,,Defensive rebound by D. Arthur
0:00.0,Clear path foul by A. Tolliver,,101-102,,
0:00.0,,,101-103,1,E. Mudiay makes clear path free throw 1 of 2
0:00.0,,,101-104,1,E. Mudiay makes clear path free throw 2 of 2
0:00.0,,,101-104,,Denver full timeout
0:00.0,Technical foul by M. Morris,,101-104,,
0:00.0,,,101-104,,D. Gallinari misses technical free throw
0:00.0,Defensive rebound by Team,,101-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
