time,Atlanta,pts.away,score,pts.home,Phoenix
3:47.0,Personal foul by K. Bazemore (drawn by D. Booker),,81-87,,
3:47.0,T. Sefolosha enters the game for K. Korver,,81-87,,
3:40.0,,,81-89,2,P. Tucker makes 2-pt shot from 21 ft (assist by A. Len)
3:31.0,Shooting foul by D. Booker (drawn by K. Bazemore),,81-89,,
3:31.0,K. Bazemore misses free throw 1 of 2,,81-89,,
3:31.0,Offensive rebound by Team,,81-89,,
3:31.0,K. Korver enters the game for M. Scott,,81-89,,
3:31.0,K. Bazemore makes free throw 2 of 2,1,82-89,,
3:13.0,,,82-89,,Turnover by A. Goodwin (lost ball; steal by D. Schroder)
3:07.0,K. Korver makes 3-pt shot from 23 ft (assist by D. Schroder),3,85-89,,
2:57.0,,,85-89,,Phoenix full timeout
2:57.0,Official timeout,,85-89,,
2:45.0,,,85-91,2,A. Goodwin makes 2-pt shot at rim (assist by T. Chandler)
2:29.0,D. Schroder makes 3-pt shot from 24 ft (assist by A. Horford),3,88-91,,
1:57.0,,,88-93,2,A. Len makes 2-pt shot from 12 ft (assist by A. Goodwin)
1:42.0,D. Schroder misses 3-pt shot from 24 ft,,88-93,,
1:41.0,Offensive rebound by K. Bazemore,,88-93,,
1:40.0,Shooting foul by A. Len (drawn by K. Bazemore),,88-93,,
1:40.0,K. Bazemore makes free throw 1 of 2,1,89-93,,
1:40.0,K. Bazemore makes free throw 2 of 2,1,90-93,,
1:14.0,,,90-93,,P. Tucker misses 2-pt shot from 16 ft (block by K. Korver)
1:13.0,Defensive rebound by A. Horford,,90-93,,
1:10.0,K. Bazemore misses 2-pt shot at rim (block by A. Goodwin),,90-93,,
1:07.0,Offensive rebound by K. Korver,,90-93,,
1:04.0,Turnover by K. Korver (bad pass; steal by D. Booker),,90-93,,
1:02.0,,,90-93,,D. Booker misses 2-pt shot from 2 ft (block by A. Horford)
1:01.0,,,90-93,,Offensive rebound by T. Chandler
1:00.0,,,90-93,,A. Goodwin misses 2-pt shot from 1 ft
0:58.0,,,90-93,,Offensive rebound by T. Chandler
0:58.0,,,90-93,,T. Chandler misses 2-pt shot at rim
0:57.0,Defensive rebound by K. Korver,,90-93,,
0:47.0,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Schroder),3,93-93,,
0:38.0,,,93-93,,Phoenix full timeout
0:25.0,,,93-93,,A. Goodwin misses 2-pt shot from 10 ft
0:25.0,,,93-93,,Offensive rebound by T. Chandler
0:25.0,,,93-95,2,T. Chandler makes 2-pt shot at rim
0:25.0,Atlanta full timeout,,93-95,,
0:25.0,M. Scott enters the game for T. Sefolosha,,93-95,,
0:21.0,Shooting foul by D. Booker (drawn by K. Bazemore),,93-95,,
0:21.0,K. Bazemore makes 2-pt shot from 2 ft,2,95-95,,
0:21.0,,,95-95,,M. Teletovic enters the game for D. Booker
0:21.0,K. Bazemore misses free throw 1 of 1,,95-95,,
0:21.0,,,95-95,,Defensive rebound by P. Tucker
0:21.0,,,95-95,,Phoenix full timeout
0:21.0,T. Sefolosha enters the game for M. Scott,,95-95,,
0:00.0,,,95-98,3,A. Goodwin makes 3-pt shot from 24 ft
0:00.0,Atlanta full timeout,,95-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
