time,Golden State,pts.away,score,pts.home,Philadelphia
3:10.0,S. Curry misses 3-pt shot from 27 ft,,103-92,,
3:09.0,,,103-92,,Defensive rebound by R. Covington
2:57.0,,,103-92,,N. Noel misses 2-pt shot from 1 ft
2:56.0,Defensive rebound by Team,,103-92,,
2:47.0,Turnover by D. Green (bad pass; steal by I. Smith),,103-92,,
2:43.0,Personal foul by A. Bogut (drawn by I. Smith),,103-92,,
2:43.0,,,103-93,1,I. Smith makes free throw 1 of 2
2:43.0,,,103-93,,I. Smith misses free throw 2 of 2
2:41.0,Defensive rebound by D. Green,,103-93,,
2:29.0,K. Thompson misses 3-pt shot from 27 ft,,103-93,,
2:27.0,,,103-93,,Defensive rebound by R. Covington
2:21.0,,,103-93,,I. Canaan misses 3-pt shot from 26 ft
2:20.0,Defensive rebound by H. Barnes,,103-93,,
2:06.0,Turnover by K. Thompson (lost ball; steal by I. Canaan),,103-93,,
2:02.0,,,103-95,2,R. Covington makes 2-pt shot at rim (assist by I. Canaan)
1:45.0,Turnover by S. Curry (lost ball),,103-95,,
1:31.0,,,103-97,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
1:17.0,A. Bogut misses 2-pt shot from 1 ft,,103-97,,
1:15.0,,,103-97,,Defensive rebound by N. Noel
1:01.0,,,103-99,2,I. Smith makes 2-pt shot from 15 ft
1:01.0,Golden State full timeout,,103-99,,
1:01.0,S. Livingston enters the game for A. Bogut,,103-99,,
0:47.0,S. Curry makes 2-pt shot at rim,2,105-99,,
0:40.0,,,105-99,,Philadelphia full timeout
0:39.0,,,105-102,3,I. Canaan makes 3-pt shot from 22 ft (assist by I. Smith)
0:39.0,,,105-102,,Shooting foul by S. Curry (drawn by I. Canaan)
0:39.0,,,105-102,,J. Grant enters the game for H. Thompson
0:39.0,,,105-103,1,I. Canaan makes free throw 1 of 1
0:25.0,Turnover by H. Barnes (bad pass; steal by I. Canaan),,105-103,,
0:22.0,,,105-105,2,I. Smith makes 2-pt shot from 2 ft
0:22.0,Golden State full timeout,,105-105,,
0:01.0,H. Barnes makes 3-pt shot from 23 ft (assist by D. Green),3,108-105,,
0:00.0,,,108-105,,Philadelphia full timeout
0:00.0,,,108-105,,N. Stauskas enters the game for N. Noel
0:00.0,End of 4th quarter,,,,End of 4th quarter
