time,Philadelphia,pts.away,score,pts.home,Utah
6:40.0,R. Holmes enters the game for N. Noel,,82-80,,
6:40.0,,,82-80,,T. Booker enters the game for R. Hood
6:30.0,,,82-80,,T. Burke misses 3-pt shot from 24 ft
6:30.0,,,82-80,,Offensive rebound by Team
6:29.0,I. Smith enters the game for T. McConnell,,82-80,,
6:25.0,Personal foul by H. Thompson (drawn by G. Hayward),,82-80,,
6:15.0,,,82-82,2,G. Hayward makes 2-pt shot from 5 ft (assist by E. Millsap)
6:01.0,R. Covington misses 3-pt shot from 24 ft,,82-82,,
6:00.0,,,82-82,,Defensive rebound by E. Millsap
5:52.0,,,82-82,,Shooting foul by N. Stauskas (drawn by G. Hayward)
5:52.0,,,82-82,,Utah full timeout
5:52.0,J. Sampson enters the game for N. Stauskas,,82-82,,
5:52.0,,,82-83,1,G. Hayward makes free throw 1 of 2
5:52.0,,,82-84,1,G. Hayward makes free throw 2 of 2
5:31.0,I. Smith misses 3-pt shot from 25 ft (block by T. Burke),,82-84,,
5:30.0,,,82-84,,Defensive rebound by G. Hayward
5:24.0,,,82-84,,Turnover by G. Hayward (lost ball; steal by J. Sampson)
5:24.0,,,82-84,,Personal foul by G. Hayward (drawn by R. Covington)
5:16.0,I. Smith misses 2-pt shot from 21 ft,,82-84,,
5:16.0,Offensive rebound by Team,,82-84,,
5:16.0,,,82-84,,Loose ball foul by E. Millsap (drawn by R. Holmes)
5:16.0,,,82-84,,R. Hood enters the game for E. Millsap
5:02.0,I. Smith misses 2-pt shot from 16 ft,,82-84,,
5:02.0,,,82-84,,Defensive rebound by G. Hayward
4:41.0,,,82-84,,T. Burke misses 3-pt shot from 24 ft
4:40.0,,,82-84,,Offensive rebound by Team
4:40.0,Personal foul by H. Thompson (drawn by T. Lyles),,82-84,,
4:40.0,,,82-85,1,T. Lyles makes free throw 1 of 2
4:40.0,,,82-86,1,T. Lyles makes free throw 2 of 2
4:19.0,I. Smith misses 2-pt shot from 2 ft,,82-86,,
4:19.0,,,82-86,,Defensive rebound by T. Booker
4:00.0,,,82-86,,T. Burke misses 3-pt shot from 23 ft
3:59.0,Defensive rebound by R. Covington,,82-86,,
3:50.0,Offensive charge foul by R. Covington,,82-86,,
3:50.0,Turnover by R. Covington (offensive foul),,82-86,,
3:50.0,N. Noel enters the game for R. Holmes,,82-86,,
3:34.0,,,82-86,,T. Lyles misses 3-pt shot from 23 ft
3:34.0,Defensive rebound by J. Sampson,,82-86,,
3:21.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,84-86,,
3:00.0,,,84-89,3,T. Burke makes 3-pt shot from 24 ft (assist by G. Hayward)
3:00.0,Philadelphia full timeout,,84-89,,
3:00.0,N. Stauskas enters the game for J. Sampson,,84-89,,
2:43.0,N. Stauskas misses 3-pt shot from 23 ft,,84-89,,
2:43.0,,,84-89,,Defensive rebound by R. Hood
2:20.0,,,84-89,,G. Hayward misses 2-pt shot from 8 ft
2:19.0,,,84-89,,Offensive rebound by T. Lyles
2:19.0,,,84-89,,Turnover by Team (shot clock)
2:19.0,,,84-89,,Utah full timeout
2:07.0,R. Covington misses 3-pt shot from 25 ft,,84-89,,
2:07.0,Offensive rebound by N. Noel,,84-89,,
2:07.0,,,84-89,,Personal foul by T. Booker (drawn by N. Noel)
2:07.0,N. Noel makes free throw 1 of 2,1,85-89,,
2:07.0,N. Noel makes free throw 2 of 2,1,86-89,,
1:44.0,,,86-89,,R. Hood misses 2-pt shot from 15 ft
1:43.0,Defensive rebound by N. Noel,,86-89,,
1:34.0,R. Covington misses 2-pt shot from 5 ft (block by T. Booker),,86-89,,
1:34.0,Offensive rebound by Team,,86-89,,
1:22.0,I. Smith makes 3-pt shot from 24 ft,3,89-89,,
1:03.0,,,89-89,,R. Hood misses 3-pt shot from 24 ft
1:02.0,,,89-89,,Offensive rebound by G. Hayward
0:54.0,,,89-89,,T. Burke misses 2-pt shot from 21 ft
0:53.0,Defensive rebound by N. Stauskas,,89-89,,
0:49.0,Philadelphia full timeout,,89-89,,
0:49.0,,,89-89,,R. Neto enters the game for T. Burke
0:49.0,,,89-89,,E. Millsap enters the game for T. Lyles
0:38.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,91-89,,
0:38.0,,,91-89,,Utah full timeout
0:38.0,,,91-89,,J. Ingles enters the game for E. Millsap
0:38.0,,,91-89,,T. Burke enters the game for R. Neto
0:38.0,J. Grant enters the game for N. Stauskas,,91-89,,
0:38.0,J. Sampson enters the game for H. Thompson,,91-89,,
0:34.0,,,91-92,3,G. Hayward makes 3-pt shot from 24 ft
0:34.0,Philadelphia full timeout,,91-92,,
0:34.0,,,91-92,,R. Neto enters the game for T. Burke
0:34.0,,,91-92,,E. Millsap enters the game for J. Ingles
0:34.0,N. Stauskas enters the game for J. Sampson,,91-92,,
0:34.0,H. Thompson enters the game for J. Grant,,91-92,,
0:27.0,N. Stauskas misses 2-pt shot from 4 ft (block by R. Neto),,91-92,,
0:27.0,Offensive rebound by Team,,91-92,,
0:22.0,N. Stauskas misses 2-pt shot from 14 ft,,91-92,,
0:22.0,,,91-92,,Defensive rebound by T. Booker
0:21.0,Personal foul by N. Noel (drawn by T. Booker),,91-92,,
0:21.0,,,91-92,,T. Booker misses free throw 1 of 2
0:21.0,,,91-92,,Offensive rebound by Team
0:21.0,I. Canaan enters the game for N. Noel,,91-92,,
0:21.0,,,91-93,1,T. Booker makes free throw 2 of 2
0:02.0,I. Smith misses 2-pt shot from 10 ft,,91-93,,
0:01.0,,,91-93,,Defensive rebound by R. Hood
0:00.0,Personal foul by H. Thompson (drawn by R. Hood),,91-93,,
0:00.0,J. Grant enters the game for H. Thompson,,91-93,,
0:00.0,,,91-94,1,R. Hood makes free throw 1 of 2
0:00.0,,,91-95,1,R. Hood makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
