time,Milwaukee,pts.away,score,pts.home,LA Lakers
4:35.0,,,87-106,,Turnover by R. Sacre (offensive foul)
4:23.0,O. Mayo misses 2-pt shot from 14 ft,,87-106,,
4:22.0,Offensive rebound by M. Carter-Williams,,87-106,,
4:19.0,M. Carter-Williams makes 2-pt shot at rim,2,89-106,,
3:53.0,,,89-106,,J. Randle misses 3-pt shot from 24 ft
3:53.0,Defensive rebound by M. Plumlee,,89-106,,
3:44.0,T. Ennis enters the game for O. Mayo,,89-106,,
3:34.0,M. Plumlee makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,91-106,,
3:24.0,,,91-106,,Shooting foul by T. Ennis (drawn by L. Williams)
3:24.0,,,91-107,1,L. Williams makes free throw 1 of 3
3:24.0,,,91-108,1,L. Williams makes free throw 2 of 3
3:24.0,,,91-109,1,L. Williams makes free throw 3 of 3
2:58.0,G. Antetokounmpo makes 2-pt shot from 18 ft,2,93-109,,
2:43.0,,,93-111,2,D. Russell makes 2-pt shot at rim (assist by L. Williams)
2:27.0,J. Parker misses 2-pt shot from 18 ft,,93-111,,
2:26.0,,,93-111,,Defensive rebound by D. Russell
2:20.0,,,93-113,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
2:06.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,93-113,,
2:05.0,,,93-113,,Defensive rebound by R. Sacre
1:49.0,Personal foul by G. Antetokounmpo (drawn by R. Sacre),,93-113,,
1:49.0,Milwaukee full timeout,,93-113,,
1:49.0,,,93-113,,B. Bass enters the game for L. Williams
1:49.0,,,93-113,,M. Huertas enters the game for R. Sacre
1:49.0,C. Copeland enters the game for G. Antetokounmpo,,93-113,,
1:49.0,R. Vaughn enters the game for J. Parker,,93-113,,
1:49.0,D. Inglis enters the game for M. Carter-Williams,,93-113,,
1:36.0,,,93-113,,J. Randle misses 2-pt shot from 1 ft
1:36.0,Defensive rebound by Team,,93-113,,
1:36.0,,,93-113,,Loose ball foul by J. Randle (drawn by C. Copeland)
1:09.0,R. Vaughn misses 3-pt shot from 25 ft,,93-113,,
1:08.0,,,93-113,,Defensive rebound by B. Bass
1:02.0,,,93-113,,Turnover by M. Huertas (bad pass; steal by T. Ennis)
0:59.0,T. Ennis makes 2-pt shot from 1 ft (assist by R. Vaughn),2,95-113,,
0:39.0,,,95-113,,M. Huertas misses 3-pt shot from 25 ft
0:38.0,,,95-113,,Offensive rebound by B. Bass
0:34.0,,,95-113,,B. Bass misses 2-pt shot from 8 ft
0:33.0,Defensive rebound by T. Ennis,,95-113,,
0:22.0,Turnover by C. Copeland (bad pass; steal by D. Russell),,95-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
