time,Golden State,pts.away,score,pts.home,Washington
8:32.0,Defensive rebound by Team,,109-101,,
8:32.0,,,109-101,,Loose ball foul by M. Gortat (drawn by A. Iguodala)
8:12.0,S. Livingston makes 2-pt shot from 15 ft (assist by A. Bogut),2,111-101,,
7:59.0,,,111-103,2,J. Wall makes 2-pt shot from 1 ft
7:40.0,Turnover by A. Iguodala (lost ball; steal by M. Gortat),,111-103,,
7:37.0,,,111-103,,Turnover by M. Gortat (bad pass; steal by S. Livingston)
7:33.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Livingston),3,114-103,,
7:21.0,,,114-103,,G. Neal misses 2-pt shot from 21 ft
7:20.0,Defensive rebound by K. Thompson,,114-103,,
7:13.0,K. Thompson misses 3-pt shot from 26 ft,,114-103,,
7:11.0,,,114-103,,Defensive rebound by M. Gortat
7:04.0,,,114-103,,Shooting foul by A. Iguodala (drawn by M. Gortat)
7:04.0,,,114-103,,M. Gortat misses free throw 1 of 2
7:04.0,,,114-103,,Offensive rebound by Team
7:04.0,S. Curry enters the game for A. Iguodala,,114-103,,
7:04.0,D. Green enters the game for A. Bogut,,114-103,,
7:04.0,,,114-104,1,M. Gortat makes free throw 2 of 2
6:54.0,S. Livingston makes 2-pt shot from 1 ft (assist by D. Green),2,116-104,,
6:44.0,,,116-106,2,J. Wall makes 2-pt shot from 19 ft
6:22.0,S. Curry misses 3-pt shot from 26 ft,,116-106,,
6:21.0,,,116-106,,Defensive rebound by G. Temple
6:08.0,,,116-108,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
5:54.0,K. Thompson misses 3-pt shot from 27 ft,,116-108,,
5:53.0,,,116-108,,Defensive rebound by G. Neal
5:46.0,Personal foul by S. Livingston (drawn by G. Neal),,116-108,,
5:46.0,Official timeout,,116-108,,
5:46.0,,,116-108,,B. Beal enters the game for G. Neal
5:30.0,,,116-108,,Turnover by Team (shot clock)
5:17.0,Shooting foul by G. Temple (drawn by D. Green),,116-108,,
5:17.0,D. Green misses free throw 1 of 2,,116-108,,
5:17.0,Offensive rebound by Team,,116-108,,
5:17.0,D. Green makes free throw 2 of 2,1,117-108,,
5:02.0,,,117-108,,J. Wall misses 2-pt shot from 18 ft
5:00.0,Defensive rebound by S. Curry,,117-108,,
4:54.0,K. Thompson misses 3-pt shot from 27 ft,,117-108,,
4:52.0,,,117-108,,Defensive rebound by G. Temple
4:49.0,,,117-108,,Shooting foul by K. Thompson (drawn by J. Wall)
4:49.0,,,117-109,1,J. Wall makes free throw 1 of 2
4:49.0,,,117-109,,J. Wall misses free throw 2 of 2
4:49.0,Defensive rebound by S. Livingston,,117-109,,
4:35.0,Turnover by S. Livingston (bad pass; steal by G. Temple),,117-109,,
4:29.0,,,117-109,,O. Porter misses 2-pt shot from 1 ft
4:28.0,,,117-109,,Offensive rebound by G. Temple
4:25.0,,,117-109,,G. Temple misses 2-pt shot from 3 ft
4:24.0,Defensive rebound by S. Livingston,,117-109,,
4:22.0,S. Curry makes 3-pt shot from 28 ft (assist by S. Livingston),3,120-109,,
4:21.0,,,120-109,,Washington full timeout
4:21.0,A. Iguodala enters the game for S. Livingston,,120-109,,
4:10.0,,,120-111,2,B. Beal makes 2-pt shot at rim
3:46.0,Turnover by D. Green (lost ball; steal by G. Temple),,120-111,,
3:43.0,Personal foul by A. Iguodala (drawn by G. Temple),,120-111,,
3:43.0,,,120-112,1,G. Temple makes free throw 1 of 2
3:43.0,,,120-112,,N. Hilario enters the game for M. Gortat
3:43.0,,,120-113,1,G. Temple makes free throw 2 of 2
3:25.0,K. Thompson makes 3-pt shot from 32 ft (assist by A. Iguodala),3,123-113,,
3:14.0,,,123-113,,J. Wall misses 2-pt shot from 1 ft
3:12.0,Defensive rebound by Team,,123-113,,
2:53.0,S. Curry makes 2-pt shot at rim (assist by D. Green),2,125-113,,
2:43.0,,,125-115,2,J. Wall makes 2-pt shot from 1 ft (assist by G. Temple)
2:43.0,,,125-115,,Shooting foul by H. Barnes (drawn by J. Wall)
2:43.0,,,125-115,,J. Wall misses free throw 1 of 1
2:42.0,Defensive rebound by D. Green,,125-115,,
2:35.0,,,125-115,,Violation by B. Beal (def goaltending)
2:35.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,127-115,,
2:21.0,,,127-115,,N. Hilario misses 2-pt shot from 1 ft
2:20.0,Defensive rebound by Team,,127-115,,
2:08.0,D. Green makes 2-pt shot from 1 ft,2,129-115,,
1:52.0,,,129-115,,Shooting foul by D. Green (drawn by N. Hilario)
1:52.0,,,129-115,,N. Hilario misses free throw 1 of 2
1:52.0,,,129-115,,Offensive rebound by Team
1:52.0,,,129-116,1,N. Hilario makes free throw 2 of 2
1:37.0,Turnover by D. Green (lost ball; steal by O. Porter),,129-116,,
1:32.0,,,129-118,2,J. Wall makes 2-pt shot from 1 ft (assist by O. Porter)
1:19.0,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green),3,132-118,,
1:13.0,,,132-118,,O. Porter misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by K. Thompson,,132-118,,
0:54.0,H. Barnes misses 3-pt shot from 26 ft,,132-118,,
0:52.0,,,132-118,,Defensive rebound by N. Hilario
0:50.0,,,132-121,3,J. Wall makes 3-pt shot from 27 ft
0:35.0,,,132-121,,Personal take foul by N. Hilario (drawn by S. Curry)
0:35.0,,,132-121,,M. Gortat enters the game for N. Hilario
0:35.0,,,132-121,,J. Eddie enters the game for J. Wall
0:35.0,,,132-121,,R. Sessions enters the game for B. Beal
0:26.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,134-121,,
0:11.0,,,134-121,,Turnover by J. Eddie (lost ball; steal by D. Green)
0:00.0,End of 4th quarter,,,,End of 4th quarter
