time,LA Lakers,pts.away,score,pts.home,Philadelphia
3:46.0,,,88-96,,Philadelphia full timeout
3:46.0,,,88-96,,N. Noel enters the game for J. Grant
3:34.0,,,88-96,,H. Thompson misses 3-pt shot from 26 ft
3:32.0,Defensive rebound by R. Hibbert,,88-96,,
3:22.0,D. Russell misses 2-pt shot from 14 ft,,88-96,,
3:20.0,,,88-96,,Defensive rebound by R. Covington
3:00.0,,,88-96,,I. Canaan misses 3-pt shot from 26 ft
2:57.0,Defensive rebound by K. Bryant,,88-96,,
2:44.0,K. Bryant misses 3-pt shot from 25 ft,,88-96,,
2:42.0,,,88-96,,Defensive rebound by N. Noel
2:32.0,,,88-96,,R. Covington misses 3-pt shot from 27 ft
2:30.0,Defensive rebound by J. Clarkson,,88-96,,
2:28.0,,,88-96,,Personal foul by R. Covington (drawn by J. Clarkson)
2:28.0,Official timeout,,88-96,,
2:28.0,,,88-96,,T. McConnell enters the game for I. Canaan
2:15.0,K. Bryant misses 2-pt shot from 2 ft,,88-96,,
2:13.0,,,88-96,,Defensive rebound by T. McConnell
2:03.0,,,88-99,3,H. Thompson makes 3-pt shot from 24 ft (assist by R. Covington)
1:51.0,D. Russell makes 2-pt shot from 6 ft,2,90-99,,
1:36.0,,,90-101,2,J. Okafor makes 2-pt shot from 4 ft (assist by T. McConnell)
1:36.0,Shooting block foul by R. Hibbert (drawn by J. Okafor),,90-101,,
1:36.0,,,90-101,,J. Grant enters the game for H. Thompson
1:36.0,,,90-101,,J. Okafor misses free throw 1 of 1
1:35.0,Defensive rebound by D. Russell,,90-101,,
1:30.0,,,90-101,,Shooting block foul by R. Covington (drawn by K. Bryant)
1:30.0,K. Bryant misses free throw 1 of 3,,90-101,,
1:30.0,Offensive rebound by Team,,90-101,,
1:30.0,K. Bryant makes free throw 2 of 3,1,91-101,,
1:30.0,,,91-101,,H. Thompson enters the game for J. Grant
1:30.0,K. Bryant misses free throw 3 of 3,,91-101,,
1:28.0,Offensive rebound by R. Hibbert,,91-101,,
1:17.0,R. Hibbert misses 2-pt shot from 6 ft,,91-101,,
1:15.0,,,91-101,,Defensive rebound by H. Thompson
1:13.0,,,91-101,,Turnover by T. McConnell (bad pass; steal by K. Bryant)
1:09.0,,,91-101,,J. Grant enters the game for H. Thompson
1:09.0,Turnover by K. Bryant (lost ball; steal by T. McConnell),,91-101,,
1:09.0,Jump ball: K. Bryant vs. T. McConnell (R. Covington gains possession),,,,Jump ball: K. Bryant vs. T. McConnell (R. Covington gains possession)
1:05.0,,,91-103,2,J. Grant makes 2-pt shot at rim (assist by R. Covington)
0:57.0,D. Russell misses 3-pt shot from 25 ft,,91-103,,
0:55.0,Offensive rebound by J. Randle,,91-103,,
0:53.0,J. Randle misses 3-pt shot from 25 ft,,91-103,,
0:52.0,,,91-103,,Defensive rebound by R. Covington
0:32.0,,,91-103,,Turnover by R. Covington (traveling)
0:32.0,,,91-103,,J. Sampson enters the game for J. Okafor
0:24.0,K. Bryant misses 3-pt shot from 23 ft,,91-103,,
0:22.0,,,91-103,,Defensive rebound by T. McConnell
0:00.0,End of 4th quarter,,,,End of 4th quarter
