time,Minnesota,pts.away,score,pts.home,Utah
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,68-80,3,R. Neto makes 3-pt shot from 24 ft
11:10.0,A. Wiggins makes 2-pt shot from 12 ft,2,70-80,,
10:46.0,,,70-80,,T. Booker misses 2-pt shot from 17 ft
10:45.0,Defensive rebound by R. Rubio,,70-80,,
10:34.0,Turnover by G. Smith (lost ball),,70-80,,
10:34.0,,,70-80,,T. Lyles enters the game for T. Booker
10:34.0,Z. LaVine enters the game for A. Wiggins,,70-80,,
10:16.0,,,70-82,2,R. Hood makes 2-pt shot from 11 ft
10:07.0,Z. LaVine misses 2-pt shot from 1 ft (block by R. Gobert),,70-82,,
10:07.0,Offensive rebound by Team,,70-82,,
10:07.0,K. Towns enters the game for G. Smith,,70-82,,
10:07.0,Minnesota full timeout,,70-82,,
10:06.0,Turnover by K. Towns (step out of bounds),,70-82,,
9:57.0,Personal foul by R. Rubio,,70-82,,
9:56.0,Personal foul by K. Towns,,70-82,,
9:48.0,,,70-82,,T. Lyles misses 2-pt shot from 18 ft
9:47.0,,,70-82,,Offensive rebound by R. Neto
9:38.0,,,70-82,,R. Hood misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by N. Bjelica,,70-82,,
9:20.0,N. Bjelica misses 3-pt shot from 25 ft,,70-82,,
9:19.0,,,70-82,,Defensive rebound by R. Neto
8:56.0,,,70-82,,T. Lyles misses 2-pt shot from 7 ft
8:53.0,,,70-82,,Offensive rebound by R. Gobert
8:53.0,,,70-84,2,R. Gobert makes 2-pt shot from 1 ft
8:38.0,Z. LaVine makes 3-pt shot from 25 ft (assist by K. Towns),3,73-84,,
8:12.0,,,73-86,2,R. Hood makes 2-pt shot from 17 ft
7:58.0,N. Bjelica makes 2-pt shot from 2 ft (assist by R. Rubio),2,75-86,,
7:40.0,,,75-86,,Turnover by R. Neto (lost ball; steal by R. Rubio)
7:35.0,,,75-86,,Personal foul by J. Ingles
7:35.0,A. Wiggins enters the game for Z. LaVine,,75-86,,
7:35.0,,,75-86,,S. Mack enters the game for R. Neto
7:35.0,,,75-86,,J. Withey enters the game for R. Gobert
7:32.0,,,75-86,,G. Hayward enters the game for J. Ingles
7:19.0,K. Towns misses 2-pt shot from 10 ft,,75-86,,
7:19.0,,,75-86,,Defensive rebound by S. Mack
7:02.0,,,75-86,,Turnover by T. Lyles (lost ball; steal by R. Rubio)
6:58.0,R. Rubio makes 2-pt shot from 1 ft,2,77-86,,
6:58.0,,,77-86,,Utah full timeout
6:58.0,Z. LaVine enters the game for N. Bjelica,,77-86,,
6:46.0,,,77-88,2,G. Hayward makes 2-pt shot from 5 ft
6:32.0,Turnover by K. Towns (bad pass),,77-88,,
6:22.0,,,77-90,2,G. Hayward makes 2-pt shot at rim
6:06.0,Z. LaVine misses 3-pt shot from 24 ft,,77-90,,
6:06.0,,,77-90,,Defensive rebound by T. Lyles
5:49.0,,,77-90,,S. Mack misses 3-pt shot from 22 ft
5:49.0,Defensive rebound by K. Towns,,77-90,,
5:39.0,Shooting foul by J. Withey (drawn by K. Towns),,77-90,,
5:39.0,K. Towns makes free throw 1 of 2,1,78-90,,
5:39.0,,,78-90,,R. Gobert enters the game for J. Withey
5:39.0,Minnesota full timeout,,78-90,,
5:39.0,K. Towns makes free throw 2 of 2,1,79-90,,
5:31.0,,,79-90,,R. Hood misses 2-pt shot from 6 ft
5:30.0,Defensive rebound by K. Towns,,79-90,,
5:28.0,Turnover by K. Towns (lost ball; steal by R. Hood),,79-90,,
5:19.0,,,79-90,,G. Hayward misses 3-pt shot from 24 ft
5:19.0,Defensive rebound by R. Rubio,,79-90,,
5:03.0,A. Wiggins misses 3-pt shot from 24 ft,,79-90,,
5:02.0,,,79-90,,Defensive rebound by G. Hayward
4:51.0,Personal foul by Z. LaVine,,79-90,,
4:42.0,,,79-90,,S. Mack misses 3-pt shot from 23 ft
4:42.0,,,79-90,,Offensive rebound by T. Lyles
4:30.0,,,79-90,,Shooting foul by Z. LaVine (drawn by R. Hood)
4:30.0,,,79-91,1,R. Hood makes free throw 1 of 2
4:30.0,N. Bjelica enters the game for S. Muhammad,,79-91,,
