time,Chicago,pts.away,score,pts.home,Toronto
0:38.0,,,46-59,2,D. DeRozan makes 2-pt shot from 14 ft (assist by C. Joseph)
0:38.0,,,46-59,,Shooting foul by K. Hinrich (drawn by D. DeRozan)
0:38.0,,,46-60,1,D. DeRozan makes free throw 1 of 1
0:29.0,P. Gasol misses 2-pt shot from 1 ft,,46-60,,
0:28.0,Offensive rebound by Team,,46-60,,
0:28.0,,,46-60,,Loose ball foul by L. Scola (drawn by P. Gasol)
0:28.0,P. Gasol makes free throw 1 of 2,1,47-60,,
0:28.0,T. Snell enters the game for D. McDermott,,47-60,,
0:28.0,P. Gasol makes free throw 2 of 2,1,48-60,,
0:06.0,,,48-60,,Turnover by J. Valanciunas (offensive goaltending)
0:06.0,D. McDermott enters the game for E. Moore,,48-60,,
0:06.0,J. Butler enters the game for T. Snell,,48-60,,
0:00.0,J. Butler misses 2-pt shot from 20 ft,,48-60,,
0:00.0,Offensive rebound by Team,,48-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Butler makes 2-pt shot from 1 ft,2,50-60,,
11:22.0,,,50-60,,L. Scola misses 2-pt shot from 6 ft
11:21.0,,,50-60,,Offensive rebound by L. Scola
11:19.0,,,50-60,,L. Scola misses 2-pt shot from 3 ft (block by P. Gasol)
11:18.0,,,50-60,,Offensive rebound by L. Scola
11:08.0,,,50-60,,K. Lowry misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by T. Gibson,,50-60,,
10:46.0,P. Gasol misses 2-pt shot from 10 ft (block by J. Valanciunas),,50-60,,
10:46.0,Offensive rebound by Team,,50-60,,
10:43.0,P. Gasol misses 2-pt shot from 15 ft,,50-60,,
10:42.0,,,50-60,,Defensive rebound by J. Valanciunas
10:33.0,,,50-60,,Shooting foul by N. Mirotic (drawn by D. DeRozan)
10:33.0,,,50-61,1,D. DeRozan makes free throw 1 of 2
10:33.0,,,50-62,1,D. DeRozan makes free throw 2 of 2
10:21.0,P. Gasol makes 2-pt shot from 16 ft (assist by J. Butler),2,52-62,,
10:00.0,,,52-65,3,K. Lowry makes 3-pt shot from 24 ft (assist by L. Scola)
9:47.0,J. Butler makes 2-pt shot from 2 ft,2,54-65,,
9:31.0,,,54-67,2,L. Scola makes 2-pt shot from 2 ft
9:19.0,J. Butler makes 2-pt shot from 15 ft (assist by P. Gasol),2,56-67,,
8:52.0,,,56-67,,L. Scola misses 2-pt shot from 1 ft
8:52.0,Defensive rebound by P. Gasol,,56-67,,
8:44.0,K. Hinrich makes 2-pt shot from 18 ft,2,58-67,,
8:29.0,,,58-67,,D. Carroll misses 3-pt shot from 25 ft
8:28.0,,,58-67,,Offensive rebound by L. Scola
8:25.0,,,58-69,2,L. Scola makes 2-pt shot from 6 ft
8:25.0,,,58-69,,Shooting foul by J. Butler (drawn by L. Scola)
8:25.0,,,58-70,1,L. Scola makes free throw 1 of 1
8:13.0,Shooting foul by D. DeRozan (drawn by J. Butler),,58-70,,
8:13.0,J. Butler makes free throw 1 of 2,1,59-70,,
8:13.0,J. Butler makes free throw 2 of 2,1,60-70,,
8:02.0,,,60-73,3,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry)
7:41.0,J. Butler makes 2-pt shot from 13 ft,2,62-73,,
7:24.0,,,62-76,3,D. DeRozan makes 3-pt shot from 22 ft (assist by K. Lowry)
7:11.0,P. Gasol misses 2-pt shot from 18 ft,,62-76,,
7:11.0,,,62-76,,Defensive rebound by D. Carroll
7:03.0,,,62-76,,K. Lowry misses 2-pt shot from 23 ft
7:02.0,,,62-76,,Offensive rebound by J. Valanciunas
6:57.0,,,62-76,,J. Valanciunas misses 2-pt shot from 1 ft (block by J. Butler)
6:55.0,Defensive rebound by P. Gasol,,62-76,,
6:49.0,N. Mirotic misses 3-pt shot from 25 ft,,62-76,,
6:49.0,,,62-76,,Defensive rebound by D. DeRozan
6:39.0,,,62-76,,D. Carroll misses 2-pt shot from 7 ft
6:39.0,Defensive rebound by P. Gasol,,62-76,,
6:24.0,N. Mirotic misses 3-pt shot from 24 ft,,62-76,,
6:23.0,,,62-76,,Defensive rebound by J. Valanciunas
6:18.0,,,62-76,,Shooting foul by K. Hinrich (drawn by L. Scola)
6:18.0,,,62-76,,L. Scola misses free throw 1 of 2
6:18.0,,,62-76,,Offensive rebound by Team
6:18.0,T. Snell enters the game for N. Mirotic,,62-76,,
6:18.0,,,62-77,1,L. Scola makes free throw 2 of 2
6:06.0,J. Butler makes 2-pt shot from 6 ft,2,64-77,,
5:51.0,,,64-77,,D. Carroll misses 3-pt shot from 25 ft
5:50.0,Defensive rebound by P. Gasol,,64-77,,
5:35.0,T. Gibson makes 2-pt shot at rim (assist by K. Hinrich),2,66-77,,
5:27.0,,,66-77,,Toronto full timeout
5:27.0,,,66-77,,B. Biyombo enters the game for J. Valanciunas
5:27.0,B. Portis enters the game for T. Gibson,,66-77,,
5:17.0,,,66-77,,K. Lowry misses 2-pt shot from 8 ft
5:17.0,Defensive rebound by B. Portis,,66-77,,
5:06.0,Shooting foul by B. Biyombo (drawn by J. Butler),,66-77,,
5:06.0,J. Butler makes free throw 1 of 2,1,67-77,,
5:06.0,J. Butler makes free throw 2 of 2,1,68-77,,
4:41.0,,,68-79,2,K. Lowry makes 2-pt shot from 3 ft
4:26.0,T. Snell misses 3-pt shot from 24 ft,,68-79,,
4:26.0,Offensive rebound by Team,,68-79,,
4:26.0,,,68-79,,C. Joseph enters the game for D. Carroll
4:24.0,Shooting foul by B. Biyombo (drawn by P. Gasol),,68-79,,
4:24.0,P. Gasol makes free throw 1 of 2,1,69-79,,
4:24.0,A. Brooks enters the game for K. Hinrich,,69-79,,
4:24.0,,,69-79,,P. Patterson enters the game for L. Scola
4:24.0,P. Gasol makes free throw 2 of 2,1,70-79,,
4:13.0,,,70-79,,Turnover by K. Lowry (bad pass; steal by J. Butler)
4:08.0,J. Butler misses 2-pt shot from 2 ft,,70-79,,
4:08.0,,,70-79,,Defensive rebound by Team
4:08.0,Loose ball foul by B. Portis (drawn by P. Patterson),,70-79,,
3:45.0,,,70-79,,K. Lowry misses 3-pt shot from 24 ft
3:45.0,Defensive rebound by P. Gasol,,70-79,,
3:33.0,J. Butler makes 2-pt shot from 2 ft,2,72-79,,
3:33.0,Shooting foul by B. Biyombo (drawn by J. Butler),,72-79,,
3:33.0,J. Butler makes free throw 1 of 1,1,73-79,,
3:13.0,,,73-79,,C. Joseph misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by A. Brooks,,73-79,,
3:06.0,,,73-79,,Personal block foul by D. DeRozan (drawn by J. Butler)
3:06.0,J. Butler makes free throw 1 of 2,1,74-79,,
3:06.0,,,74-79,,T. Ross enters the game for K. Lowry
3:06.0,J. Butler makes free throw 2 of 2,1,75-79,,
2:54.0,,,75-82,3,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan)
2:39.0,J. Butler misses 2-pt shot from 20 ft,,75-82,,
2:38.0,,,75-82,,Defensive rebound by T. Ross
2:28.0,,,75-85,3,T. Ross makes 3-pt shot from 24 ft (assist by D. DeRozan)
2:28.0,Chicago full timeout,,75-85,,
2:11.0,T. Snell makes 2-pt shot from 8 ft,2,77-85,,
1:51.0,,,77-85,,P. Patterson misses 2-pt shot from 11 ft
1:50.0,Defensive rebound by A. Brooks,,77-85,,
1:40.0,B. Portis misses 2-pt shot from 6 ft,,77-85,,
1:39.0,,,77-85,,Defensive rebound by B. Biyombo
1:29.0,,,77-85,,Turnover by C. Joseph (bad pass)
1:07.0,T. Snell makes 2-pt shot from 4 ft (assist by P. Gasol),2,79-85,,
0:45.0,,,79-87,2,C. Joseph makes 2-pt shot from 5 ft
0:32.0,J. Butler makes 2-pt shot from 14 ft (assist by P. Gasol),2,81-87,,
0:11.0,,,81-87,,T. Ross misses 3-pt shot from 25 ft
0:11.0,Defensive rebound by A. Brooks,,81-87,,
0:00.0,T. Snell misses 3-pt shot from 24 ft (block by T. Ross),,81-87,,
0:00.0,Offensive rebound by Team,,81-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,81-89,2,L. Scola makes 2-pt shot from 8 ft
11:21.0,T. Gibson makes 2-pt shot from 17 ft (assist by T. Snell),2,83-89,,
11:04.0,,,83-89,,L. Scola misses 2-pt shot from 19 ft
11:04.0,Defensive rebound by B. Portis,,83-89,,
10:50.0,J. Butler misses 2-pt shot from 3 ft (block by T. Ross),,83-89,,
10:49.0,Offensive rebound by J. Butler,,83-89,,
10:45.0,A. Brooks misses 3-pt shot from 25 ft,,83-89,,
10:45.0,,,83-89,,Defensive rebound by Team
10:45.0,Loose ball foul by T. Gibson (drawn by K. Lowry),,83-89,,
10:32.0,,,83-89,,L. Scola misses 2-pt shot from 1 ft (block by B. Portis)
10:31.0,,,83-89,,Offensive rebound by L. Scola
10:27.0,,,83-89,,L. Scola misses 2-pt shot from 1 ft
