time,Golden State,pts.away,score,pts.home,Miami
3:11.0,,,104-100,,Offensive rebound by Team
3:11.0,,,104-100,,G. Dragic enters the game for J. Richardson
3:11.0,Golden State full timeout,,104-100,,
3:11.0,A. Iguodala enters the game for S. Livingston,,104-100,,
3:11.0,,,104-101,1,D. Wade makes free throw 2 of 2
2:57.0,Offensive foul by D. Green,,104-101,,
2:57.0,Turnover by D. Green (offensive foul),,104-101,,
2:50.0,,,104-101,,Offensive foul by H. Whiteside
2:50.0,,,104-101,,Turnover by H. Whiteside (offensive foul)
2:27.0,K. Thompson misses 3-pt shot from 24 ft,,104-101,,
2:26.0,,,104-101,,Defensive rebound by D. Wade
2:15.0,,,104-104,3,L. Deng makes 3-pt shot from 23 ft (assist by D. Wade)
1:58.0,A. Iguodala misses 3-pt shot from 25 ft,,104-104,,
1:57.0,,,104-104,,Defensive rebound by H. Whiteside
1:42.0,,,104-106,2,H. Whiteside makes 2-pt shot from 14 ft (assist by D. Wade)
1:42.0,Golden State full timeout,,104-106,,
1:42.0,H. Barnes enters the game for A. Bogut,,104-106,,
1:29.0,S. Curry misses 2-pt shot from 13 ft,,104-106,,
1:28.0,Offensive rebound by S. Curry,,104-106,,
1:26.0,Turnover by S. Curry (lost ball; steal by J. Winslow),,104-106,,
1:25.0,,,104-106,,Miami full timeout
1:25.0,A. Bogut enters the game for H. Barnes,,104-106,,
1:13.0,,,104-106,,D. Wade misses 2-pt shot from 17 ft
1:12.0,Defensive rebound by A. Bogut,,104-106,,
1:06.0,S. Curry makes 3-pt shot from 26 ft,3,107-106,,
0:57.0,Shooting block foul by A. Bogut (drawn by D. Wade),,107-106,,
0:57.0,H. Barnes enters the game for A. Bogut,,107-106,,
0:57.0,,,107-107,1,D. Wade makes free throw 1 of 2
0:57.0,,,107-108,1,D. Wade makes free throw 2 of 2
0:44.0,D. Green misses 3-pt shot from 24 ft (block by H. Whiteside),,107-108,,
0:43.0,Offensive rebound by D. Green,,107-108,,
0:39.0,S. Curry makes 3-pt shot from 26 ft,3,110-108,,
0:27.0,,,110-108,,D. Wade misses 2-pt shot from 8 ft
0:26.0,,,110-108,,Offensive rebound by H. Whiteside
0:25.0,,,110-108,,H. Whiteside misses 2-pt shot from 1 ft
0:24.0,Defensive rebound by D. Green,,110-108,,
0:24.0,,,110-108,,Personal foul by J. Winslow
0:24.0,D. Green makes free throw 1 of 2,1,111-108,,
0:24.0,D. Green makes free throw 2 of 2,1,112-108,,
0:24.0,,,112-108,,Miami full timeout
0:24.0,,,112-108,,J. McRoberts enters the game for H. Whiteside
0:20.0,,,112-110,2,G. Dragic makes 2-pt shot from 1 ft
0:20.0,Golden State full timeout,,112-110,,
0:20.0,S. Livingston enters the game for H. Barnes,,112-110,,
0:20.0,,,112-110,,J. Richardson enters the game for J. McRoberts
0:19.0,,,112-110,,Personal foul by J. Richardson
0:19.0,,,112-110,,H. Whiteside enters the game for J. Richardson
0:19.0,S. Curry makes free throw 1 of 2,1,113-110,,
0:19.0,H. Barnes enters the game for S. Livingston,,113-110,,
0:19.0,S. Curry makes free throw 2 of 2,1,114-110,,
0:19.0,,,114-110,,Miami full timeout
0:19.0,,,114-110,,J. McRoberts enters the game for H. Whiteside
0:16.0,,,114-110,,Turnover by G. Dragic (lost ball; steal by K. Thompson)
0:14.0,,,114-110,,Clear path foul by J. McRoberts
0:14.0,K. Thompson makes clear path free throw 1 of 2,1,115-110,,
0:14.0,K. Thompson makes clear path free throw 2 of 2,1,116-110,,
0:14.0,,,116-110,,J. Richardson enters the game for J. McRoberts
0:13.0,,,116-110,,Personal foul by G. Dragic
0:13.0,S. Curry makes free throw 1 of 2,1,117-110,,
0:13.0,S. Curry makes free throw 2 of 2,1,118-110,,
0:07.0,,,118-112,2,J. Winslow makes 2-pt shot from 2 ft (assist by G. Dragic)
0:03.0,Turnover by S. Curry (lost ball; steal by J. Richardson),,118-112,,
0:01.0,,,118-112,,L. Deng misses 3-pt shot from 25 ft
0:00.0,,,118-112,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
