time,Chicago,pts.away,score,pts.home,Washington
6:46.0,,,43-40,,Defensive rebound by J. Wall
6:35.0,,,43-42,2,N. Hilario makes 2-pt shot from 2 ft (assist by R. Sessions)
6:11.0,J. Butler misses 2-pt shot from 14 ft,,43-42,,
6:10.0,,,43-42,,Defensive rebound by O. Porter
6:03.0,,,43-42,,R. Sessions misses 2-pt shot from 2 ft (block by M. Dunleavy)
6:03.0,Defensive rebound by Team,,43-42,,
6:03.0,,,43-42,,G. Temple enters the game for B. Beal
5:44.0,D. Rose makes 2-pt shot from 8 ft,2,45-42,,
5:24.0,,,45-45,3,G. Temple makes 3-pt shot from 26 ft (assist by J. Wall)
5:09.0,M. Dunleavy misses 3-pt shot from 24 ft,,45-45,,
5:08.0,,,45-45,,Defensive rebound by G. Temple
4:56.0,,,45-45,,Shooting foul by C. Felicio (drawn by N. Hilario)
4:56.0,,,45-45,,Washington full timeout
4:56.0,,,45-45,,M. Thornton enters the game for R. Sessions
4:56.0,T. Gibson enters the game for D. Rose,,45-45,,
4:56.0,B. Portis enters the game for C. Felicio,,45-45,,
4:56.0,,,45-46,1,N. Hilario makes free throw 1 of 2
4:56.0,,,45-46,,N. Hilario misses free throw 2 of 2
4:55.0,Defensive rebound by J. Butler,,45-46,,
4:44.0,J. Butler misses 2-pt shot from 9 ft (block by M. Thornton),,45-46,,
4:42.0,,,45-46,,Defensive rebound by J. Wall
4:38.0,,,45-48,2,J. Wall makes 2-pt shot from 4 ft
4:19.0,Turnover by T. Gibson (lost ball; steal by O. Porter),,45-48,,
4:05.0,,,45-51,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
4:04.0,Chicago full timeout,,45-51,,
4:04.0,E. Moore enters the game for D. McDermott,,45-51,,
4:04.0,J. Holiday enters the game for B. Portis,,45-51,,
3:45.0,T. Gibson misses 2-pt shot from 18 ft,,45-51,,
3:44.0,,,45-51,,Defensive rebound by M. Thornton
3:32.0,,,45-51,,N. Hilario misses 2-pt shot at rim
