time,Oklahoma City,pts.away,score,pts.home,Atlanta
5:37.0,,,84-90,,Atlanta full timeout
5:32.0,,,84-92,2,P. Millsap makes 2-pt shot from 1 ft (assist by T. Sefolosha)
5:17.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,86-92,,
4:50.0,,,86-92,,J. Teague misses 2-pt shot from 17 ft
4:49.0,Defensive rebound by R. Westbrook,,86-92,,
4:46.0,Shooting foul by P. Millsap (drawn by R. Westbrook),,86-92,,
4:46.0,R. Westbrook makes free throw 1 of 2,1,87-92,,
4:46.0,D. Augustin enters the game for D. Waiters,,87-92,,
4:46.0,,,87-92,,K. Bazemore enters the game for K. Korver
4:46.0,R. Westbrook makes free throw 2 of 2,1,88-92,,
4:34.0,,,88-92,,P. Millsap misses 2-pt shot from 17 ft
4:31.0,Defensive rebound by S. Ibaka,,88-92,,
4:26.0,R. Westbrook makes 2-pt shot from 18 ft,2,90-92,,
4:07.0,,,90-92,,K. Bazemore misses 3-pt shot from 25 ft
4:06.0,Defensive rebound by S. Ibaka,,90-92,,
3:53.0,R. Westbrook makes 2-pt shot from 17 ft,2,92-92,,
3:32.0,,,92-92,,J. Teague misses 2-pt shot from 1 ft
3:32.0,Defensive rebound by Team,,92-92,,
3:20.0,R. Westbrook misses 3-pt shot from 23 ft,,92-92,,
3:19.0,,,92-92,,Defensive rebound by A. Horford
3:06.0,,,92-92,,K. Bazemore misses 2-pt shot from 1 ft
3:05.0,Defensive rebound by A. Morrow,,92-92,,
3:01.0,Oklahoma City full timeout,,92-92,,
3:01.0,,,92-92,,K. Korver enters the game for K. Bazemore
2:48.0,R. Westbrook makes 2-pt shot from 2 ft,2,94-92,,
2:35.0,,,94-92,,P. Millsap misses 2-pt shot from 13 ft
2:33.0,Defensive rebound by R. Westbrook,,94-92,,
2:22.0,R. Westbrook makes 2-pt shot from 15 ft,2,96-92,,
2:13.0,,,96-94,2,J. Teague makes 2-pt shot from 1 ft
1:57.0,R. Westbrook misses 2-pt shot from 14 ft,,96-94,,
1:56.0,,,96-94,,Defensive rebound by T. Sefolosha
1:50.0,,,96-94,,J. Teague misses 3-pt shot from 24 ft
1:49.0,,,96-94,,Offensive rebound by A. Horford
1:41.0,,,96-94,,P. Millsap misses 2-pt shot at rim (block by S. Ibaka)
1:39.0,,,96-94,,Offensive rebound by J. Teague
1:35.0,,,96-94,,Shooting foul by A. Morrow (drawn by P. Millsap)
1:35.0,,,96-95,1,P. Millsap makes free throw 1 of 2
1:35.0,,,96-96,1,P. Millsap makes free throw 2 of 2
1:35.0,Oklahoma City full timeout,,96-96,,
1:29.0,S. Ibaka misses 2-pt shot at rim (block by P. Millsap),,96-96,,
1:27.0,,,96-96,,Defensive rebound by P. Millsap
1:09.0,,,96-98,2,J. Teague makes 2-pt shot from 1 ft
0:47.0,K. Durant misses 2-pt shot from 1 ft,,96-98,,
0:47.0,Offensive rebound by Team,,96-98,,
0:47.0,,,96-98,,Loose ball foul by A. Horford (drawn by K. Durant)
0:47.0,,,96-98,,K. Bazemore enters the game for J. Teague
0:39.0,Turnover by R. Westbrook (bad pass; steal by T. Sefolosha),,96-98,,
0:38.0,,,96-98,,Atlanta full timeout
0:38.0,,,96-98,,J. Teague enters the game for K. Bazemore
0:38.0,D. Waiters enters the game for D. Augustin,,96-98,,
0:38.0,A. Roberson enters the game for A. Morrow,,96-98,,
0:26.0,,,96-100,2,J. Teague makes 2-pt shot from 1 ft
0:26.0,Oklahoma City full timeout,,96-100,,
0:26.0,,,96-100,,K. Bazemore enters the game for J. Teague
0:26.0,A. Morrow enters the game for A. Roberson,,96-100,,
0:23.0,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,98-100,,
0:23.0,,,98-100,,Atlanta full timeout
0:23.0,,,98-100,,J. Teague enters the game for T. Sefolosha
0:23.0,A. Roberson enters the game for A. Morrow,,98-100,,
0:22.0,Personal take foul by S. Ibaka (drawn by J. Teague),,98-100,,
0:22.0,,,98-101,1,J. Teague makes free throw 1 of 2
0:22.0,,,98-101,,T. Sefolosha enters the game for K. Korver
0:22.0,,,98-102,1,J. Teague makes free throw 2 of 2
0:22.0,Oklahoma City full timeout,,98-102,,
0:22.0,,,98-102,,K. Korver enters the game for J. Teague
0:22.0,A. Morrow enters the game for A. Roberson,,98-102,,
0:18.0,R. Westbrook misses 3-pt shot from 24 ft,,98-102,,
0:16.0,,,98-102,,Defensive rebound by A. Horford
0:14.0,Personal take foul by R. Westbrook (drawn by A. Horford),,98-102,,
0:14.0,,,98-103,1,A. Horford makes free throw 1 of 2
0:14.0,,,98-104,1,A. Horford makes free throw 2 of 2
0:08.0,K. Durant makes 2-pt shot from 2 ft,2,100-104,,
0:07.0,,,100-104,,Atlanta full timeout
0:07.0,A. Roberson enters the game for A. Morrow,,100-104,,
0:07.0,,,100-104,,J. Teague enters the game for T. Sefolosha
0:02.0,,,100-106,2,A. Horford makes 2-pt shot at rim (assist by P. Millsap)
0:00.0,End of 4th quarter,,,,End of 4th quarter
