time,Detroit,pts.away,score,pts.home,Houston
9:30.0,A. Drummond makes free throw 1 of 2,1,90-86,,
9:30.0,A. Drummond makes free throw 2 of 2,1,91-86,,
9:11.0,,,91-86,,M. Thornton misses 2-pt shot from 3 ft
9:10.0,,,91-86,,Offensive rebound by C. Capela
9:10.0,,,91-86,,C. Capela misses 2-pt shot from 2 ft
9:09.0,Defensive rebound by A. Tolliver,,91-86,,
8:53.0,M. Morris makes 3-pt shot from 28 ft (assist by B. Jennings),3,94-86,,
8:52.0,,,94-86,,Houston full timeout
8:52.0,,,94-86,,J. Harden enters the game for C. Brewer
8:28.0,,,94-86,,J. Harden misses 2-pt shot from 19 ft
8:27.0,Defensive rebound by A. Tolliver,,94-86,,
8:20.0,B. Jennings makes 3-pt shot from 24 ft,3,97-86,,
8:10.0,,,97-86,,Turnover by T. Lawson (lost ball; steal by B. Jennings)
8:05.0,B. Jennings makes 2-pt shot from 1 ft (assist by S. Johnson),2,99-86,,
7:49.0,,,99-86,,J. Harden misses 2-pt shot from 1 ft (block by A. Drummond)
7:48.0,Defensive rebound by S. Johnson,,99-86,,
7:42.0,B. Jennings misses 3-pt shot from 25 ft,,99-86,,
7:40.0,,,99-86,,Defensive rebound by J. Harden
7:39.0,,,99-86,,Shooting foul by S. Johnson (drawn by M. Thornton)
7:39.0,,,99-87,1,M. Thornton makes free throw 1 of 2
7:39.0,,,99-87,,M. Harrell enters the game for C. Capela
7:39.0,,,99-88,1,M. Thornton makes free throw 2 of 2
7:39.0,,,99-88,,Personal take foul by M. Harrell (drawn by A. Drummond)
7:36.0,,,99-88,,Personal take foul by M. Harrell (drawn by A. Drummond)
7:36.0,,,99-88,,Personal take foul by M. Thornton (drawn by A. Drummond)
7:36.0,A. Drummond makes free throw 1 of 2,1,100-88,,
7:36.0,A. Drummond misses free throw 2 of 2,,100-88,,
7:36.0,,,100-88,,Defensive rebound by J. Harden
7:27.0,,,100-90,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
7:23.0,,,100-90,,Personal take foul by M. Thornton (drawn by A. Drummond)
7:23.0,A. Drummond makes free throw 1 of 2,1,101-90,,
7:23.0,A. Drummond misses free throw 2 of 2,,101-90,,
7:23.0,,,101-90,,Defensive rebound by T. Ariza
7:12.0,,,101-90,,J. Harden misses 2-pt shot from 4 ft
7:12.0,Defensive rebound by S. Johnson,,101-90,,
7:11.0,,,101-90,,Personal take foul by T. Ariza (drawn by A. Drummond)
7:11.0,A. Drummond makes free throw 1 of 2,1,102-90,,
7:11.0,K. Caldwell-Pope enters the game for B. Jennings,,102-90,,
7:11.0,R. Jackson enters the game for S. Johnson,,102-90,,
7:11.0,A. Drummond makes free throw 2 of 2,1,103-90,,
6:56.0,,,103-90,,T. Lawson misses 2-pt shot from 4 ft (block by A. Tolliver)
6:55.0,Defensive rebound by A. Tolliver,,103-90,,
6:45.0,M. Morris makes 2-pt shot from 3 ft,2,105-90,,
6:37.0,,,105-90,,Shooting foul by A. Tolliver (drawn by M. Harrell)
6:37.0,,,105-90,,M. Harrell misses free throw 1 of 2
6:37.0,,,105-90,,Offensive rebound by Team
6:37.0,E. Ilyasova enters the game for A. Tolliver,,105-90,,
6:37.0,,,105-90,,J. Terry enters the game for T. Lawson
6:37.0,,,105-90,,C. Brewer enters the game for M. Thornton
6:37.0,,,105-91,1,M. Harrell makes free throw 2 of 2
6:24.0,,,105-91,,Personal foul by T. Ariza (drawn by M. Morris)
6:24.0,M. Morris makes free throw 1 of 2,1,106-91,,
6:24.0,,,106-91,,T. Jones enters the game for M. Harrell
6:24.0,M. Morris makes free throw 2 of 2,1,107-91,,
6:01.0,,,107-94,3,J. Harden makes 3-pt shot from 24 ft
5:55.0,,,107-94,,Personal take foul by T. Jones (drawn by A. Drummond)
5:55.0,Detroit full timeout,,107-94,,
5:55.0,A. Drummond misses free throw 1 of 2,,107-94,,
5:55.0,Offensive rebound by Team,,107-94,,
5:55.0,A. Drummond misses free throw 2 of 2,,107-94,,
5:55.0,,,107-94,,Defensive rebound by J. Harden
5:47.0,,,107-94,,T. Ariza misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by R. Jackson,,107-94,,
5:42.0,,,107-94,,Personal take foul by T. Jones (drawn by A. Drummond)
5:42.0,A. Drummond misses free throw 1 of 2,,107-94,,
5:42.0,Offensive rebound by Team,,107-94,,
5:42.0,A. Drummond misses free throw 2 of 2,,107-94,,
5:42.0,,,107-94,,Defensive rebound by T. Ariza
5:34.0,,,107-94,,C. Brewer misses 2-pt shot from 18 ft
5:34.0,Defensive rebound by Team,,107-94,,
5:34.0,Detroit full timeout,,107-94,,
5:32.0,A. Baynes enters the game for A. Drummond,,107-94,,
5:23.0,,,107-94,,T. Lawson enters the game for C. Brewer
5:21.0,K. Caldwell-Pope makes 2-pt shot at rim,2,109-94,,
5:07.0,,,109-94,,Offensive charge foul by J. Harden
5:07.0,,,109-94,,Turnover by J. Harden (offensive foul)
4:57.0,,,109-94,,Personal foul by J. Terry (drawn by K. Caldwell-Pope)
4:57.0,K. Caldwell-Pope makes free throw 1 of 2,1,110-94,,
4:57.0,K. Caldwell-Pope makes free throw 2 of 2,1,111-94,,
4:33.0,,,111-96,2,J. Harden makes 2-pt shot at rim
4:17.0,E. Ilyasova misses 2-pt shot from 1 ft (block by T. Jones),,111-96,,
4:16.0,Offensive rebound by A. Baynes,,111-96,,
4:13.0,A. Baynes misses 2-pt shot from 1 ft,,111-96,,
4:12.0,,,111-96,,Defensive rebound by T. Jones
4:06.0,,,111-96,,Shooting foul by E. Ilyasova (drawn by J. Harden)
4:06.0,,,111-97,1,J. Harden makes free throw 1 of 2
4:06.0,,,111-98,1,J. Harden makes free throw 2 of 2
3:45.0,E. Ilyasova makes 2-pt shot from 15 ft (assist by R. Jackson),2,113-98,,
3:37.0,,,113-101,3,J. Terry makes 3-pt shot from 24 ft (assist by J. Harden)
3:17.0,E. Ilyasova misses 3-pt shot from 22 ft,,113-101,,
3:15.0,,,113-101,,Defensive rebound by T. Lawson
3:08.0,,,113-101,,Turnover by T. Jones (lost ball; steal by K. Caldwell-Pope)
3:01.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,113-101,,
2:59.0,,,113-101,,Defensive rebound by T. Lawson
2:48.0,,,113-104,3,T. Jones makes 3-pt shot from 24 ft
2:19.0,R. Jackson makes 2-pt shot from 6 ft,2,115-104,,
2:10.0,,,115-104,,Shooting foul by K. Caldwell-Pope (drawn by J. Harden)
2:10.0,,,115-105,1,J. Harden makes free throw 1 of 2
2:10.0,S. Johnson enters the game for E. Ilyasova,,115-105,,
2:10.0,,,115-106,1,J. Harden makes free throw 2 of 2
1:53.0,M. Morris makes 3-pt shot from 27 ft (assist by R. Jackson),3,118-106,,
1:45.0,,,118-106,,J. Harden misses 3-pt shot from 24 ft
1:43.0,Defensive rebound by R. Jackson,,118-106,,
1:26.0,,,118-106,,Personal foul by T. Ariza (drawn by M. Morris)
1:26.0,M. Morris makes free throw 1 of 2,1,119-106,,
1:26.0,M. Morris makes free throw 2 of 2,1,120-106,,
1:18.0,,,120-108,2,T. Lawson makes 2-pt shot from 11 ft
0:54.0,M. Morris misses 3-pt shot from 30 ft,,120-108,,
0:53.0,,,120-108,,Defensive rebound by J. Harden
0:49.0,,,120-111,3,J. Terry makes 3-pt shot from 26 ft (assist by J. Harden)
0:24.0,M. Morris makes 3-pt shot from 22 ft (assist by K. Caldwell-Pope),3,123-111,,
0:17.0,,,123-114,3,T. Jones makes 3-pt shot from 27 ft (assist by J. Harden)
0:00.0,End of 4th quarter,,,,End of 4th quarter
