time,Toronto,pts.away,score,pts.home,Portland
1:48.0,Offensive rebound by B. Biyombo,,105-97,,
1:48.0,,,105-97,,Flagrant foul type 1 by M. Leonard (drawn by B. Biyombo)
1:48.0,B. Biyombo misses flagrant free throw 1 of 2,,105-97,,
1:48.0,Offensive rebound by Team,,105-97,,
1:48.0,B. Biyombo makes flagrant free throw 2 of 2,1,106-97,,
1:48.0,J. Valanciunas enters the game for B. Biyombo,,106-97,,
1:29.0,Turnover by C. Joseph (bad pass),,106-97,,
1:29.0,B. Biyombo enters the game for J. Valanciunas,,106-97,,
1:23.0,,,106-99,2,D. Lillard makes 2-pt shot from 19 ft
1:04.0,Turnover by D. DeRozan (lost ball; steal by A. Crabbe),,106-99,,
0:55.0,,,106-99,,M. Leonard misses 2-pt shot at rim
0:55.0,,,106-99,,Offensive rebound by A. Crabbe
0:55.0,,,106-99,,Shooting foul by B. Biyombo (drawn by A. Crabbe)
0:55.0,,,106-100,1,A. Crabbe makes free throw 1 of 2
0:55.0,,,106-101,1,A. Crabbe makes free throw 2 of 2
0:55.0,Toronto full timeout,,106-101,,
0:55.0,J. Valanciunas enters the game for B. Biyombo,,106-101,,
0:55.0,,,106-101,,M. Harkless enters the game for M. Leonard
0:42.0,Toronto full timeout,,106-101,,
0:42.0,,,106-101,,M. Leonard enters the game for M. Harkless
0:41.0,Turnover by C. Joseph (bad pass; steal by D. Lillard),,106-101,,
0:36.0,,,106-101,,C. McCollum misses 2-pt shot from 11 ft
0:35.0,Defensive rebound by J. Valanciunas,,106-101,,
0:34.0,,,106-101,,Personal take foul by C. McCollum (drawn by J. Valanciunas)
0:34.0,J. Valanciunas makes free throw 1 of 2,1,107-101,,
0:34.0,,,107-101,,E. Davis enters the game for M. Leonard
0:34.0,J. Valanciunas makes free throw 2 of 2,1,108-101,,
0:34.0,,,108-101,,Portland full timeout
0:34.0,B. Biyombo enters the game for J. Valanciunas,,108-101,,
0:34.0,,,108-101,,M. Leonard enters the game for E. Davis
0:34.0,,,108-101,,Portland full timeout
0:30.0,,,108-101,,D. Lillard misses 2-pt shot from 2 ft
0:29.0,Defensive rebound by K. Lowry,,108-101,,
0:28.0,,,108-101,,Personal take foul by C. McCollum (drawn by K. Lowry)
0:28.0,K. Lowry misses free throw 1 of 2,,108-101,,
0:28.0,Offensive rebound by Team,,108-101,,
0:28.0,K. Lowry misses free throw 2 of 2,,108-101,,
0:27.0,,,108-101,,Defensive rebound by M. Leonard
0:20.0,,,108-101,,Shooting foul by B. Biyombo (drawn by D. Lillard)
0:20.0,,,108-102,1,D. Lillard makes free throw 1 of 2
0:20.0,,,108-102,,M. Harkless enters the game for M. Leonard
0:20.0,J. Valanciunas enters the game for B. Biyombo,,108-102,,
0:20.0,,,108-103,1,D. Lillard makes free throw 2 of 2
0:17.0,,,108-103,,Personal take foul by M. Harkless (drawn by D. DeRozan)
0:17.0,D. DeRozan makes free throw 1 of 2,1,109-103,,
0:17.0,,,109-103,,M. Leonard enters the game for M. Harkless
0:17.0,B. Biyombo enters the game for J. Valanciunas,,109-103,,
0:17.0,D. DeRozan misses free throw 2 of 2,,109-103,,
0:16.0,Offensive rebound by P. Patterson,,109-103,,
0:12.0,,,109-103,,Personal take foul by D. Lillard (drawn by D. DeRozan)
0:12.0,D. DeRozan misses free throw 1 of 2,,109-103,,
0:12.0,Offensive rebound by Team,,109-103,,
0:12.0,D. DeRozan makes free throw 2 of 2,1,110-103,,
0:05.0,,,110-103,,Turnover by C. McCollum (bad pass; steal by C. Joseph)
0:00.0,End of 4th quarter,,,,End of 4th quarter
