time,Minnesota,pts.away,score,pts.home,Toronto
3:48.0,K. Towns misses 2-pt shot from 3 ft (block by J. Johnson),,99-101,,
3:48.0,Offensive rebound by Z. LaVine,,99-101,,
3:48.0,Z. LaVine makes 2-pt shot at rim,2,101-101,,
3:48.0,,,101-101,,Toronto full timeout
3:48.0,,,101-101,,B. Biyombo enters the game for J. Johnson
3:48.0,,,101-101,,C. Joseph enters the game for J. Valanciunas
3:26.0,,,101-104,3,K. Lowry makes 3-pt shot from 24 ft (assist by C. Joseph)
3:08.0,A. Wiggins misses 2-pt shot from 2 ft,,101-104,,
3:08.0,,,101-104,,Defensive rebound by B. Biyombo
2:54.0,,,101-104,,K. Lowry misses 2-pt shot from 1 ft
2:54.0,,,101-104,,Offensive rebound by D. DeRozan
2:51.0,,,101-104,,D. DeRozan misses 2-pt shot from 1 ft
2:50.0,Defensive rebound by K. Towns,,101-104,,
2:46.0,Turnover by A. Wiggins (lost ball),,101-104,,
2:34.0,,,101-104,,P. Patterson misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by R. Rubio,,101-104,,
2:09.0,Turnover by Team (shot clock),,101-104,,
1:51.0,,,101-107,3,D. DeRozan makes 3-pt shot from 22 ft (assist by C. Joseph)
1:51.0,Minnesota full timeout,,101-107,,
1:42.0,A. Wiggins misses 2-pt shot from 4 ft,,101-107,,
1:42.0,,,101-107,,Defensive rebound by B. Biyombo
1:23.0,,,101-107,,D. DeRozan misses 2-pt shot from 5 ft
1:22.0,Defensive rebound by R. Rubio,,101-107,,
1:11.0,G. Dieng makes 2-pt shot from 18 ft (assist by Z. LaVine),2,103-107,,
0:54.0,,,103-110,3,K. Lowry makes 3-pt shot from 26 ft
0:54.0,Minnesota full timeout,,103-110,,
0:49.0,Z. LaVine misses 2-pt shot from 23 ft,,103-110,,
0:48.0,Offensive rebound by A. Wiggins,,103-110,,
0:48.0,A. Wiggins makes 2-pt shot at rim,2,105-110,,
0:28.0,,,105-113,3,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry)
0:20.0,Turnover by G. Dieng (offensive goaltending),,105-113,,
0:20.0,Personal take foul by Z. LaVine,,105-113,,
0:16.0,Personal take foul by G. Dieng,,105-113,,
0:16.0,,,105-114,1,C. Joseph makes free throw 1 of 2
0:16.0,,,105-114,,D. Wright enters the game for K. Lowry
0:16.0,,,105-114,,C. Joseph misses free throw 2 of 2
0:16.0,Defensive rebound by Z. LaVine,,105-114,,
0:15.0,Minnesota full timeout,,105-114,,
0:12.0,Turnover by R. Rubio (bad pass),,105-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
