time,Memphis,pts.away,score,pts.home,Cleveland
0:55.0,,,58-49,,Turnover by M. Dellavedova (offensive foul)
0:42.0,J. Martin misses 2-pt shot from 1 ft,,58-49,,
0:39.0,,,58-49,,Defensive rebound by J. Smith
0:35.0,,,58-49,,Offensive foul by L. James
0:35.0,,,58-49,,Turnover by L. James (offensive foul)
0:24.0,M. Chalmers misses 3-pt shot from 23 ft,,58-49,,
0:22.0,Offensive rebound by J. Martin,,58-49,,
0:04.0,M. Chalmers misses 2-pt shot from 13 ft,,58-49,,
0:02.0,,,58-49,,Defensive rebound by M. Dellavedova
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,58-52,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving)
11:32.0,P. Hairston misses 3-pt shot from 29 ft,,58-52,,
11:31.0,,,58-52,,Defensive rebound by L. James
11:27.0,,,58-52,,Cleveland full timeout
11:09.0,,,58-52,,K. Love misses 3-pt shot from 22 ft
11:09.0,Defensive rebound by J. Green,,58-52,,
10:53.0,P. Hairston misses 2-pt shot from 10 ft,,58-52,,
10:52.0,Offensive rebound by J. Green,,58-52,,
10:48.0,J. Green makes 2-pt shot from 1 ft,2,60-52,,
10:42.0,,,60-52,,Shooting foul by R. Hollins (drawn by K. Irving)
10:42.0,,,60-53,1,K. Irving makes free throw 1 of 2
10:42.0,,,60-54,1,K. Irving makes free throw 2 of 2
10:28.0,M. Chalmers misses 2-pt shot from 8 ft,,60-54,,
10:25.0,,,60-54,,Defensive rebound by K. Love
10:11.0,,,60-56,2,L. James makes 2-pt shot from 2 ft (assist by K. Irving)
9:53.0,T. Allen misses 2-pt shot from 15 ft,,60-56,,
9:53.0,,,60-56,,Defensive rebound by K. Irving
9:48.0,,,60-56,,Turnover by K. Irving (bad pass; steal by M. Chalmers)
9:42.0,T. Allen makes 2-pt shot at rim (assist by M. Chalmers),2,62-56,,
9:28.0,,,62-56,,J. Smith misses 3-pt shot from 25 ft
9:28.0,,,62-56,,Offensive rebound by Team
9:28.0,Loose ball foul by R. Hollins (drawn by K. Love),,62-56,,
9:28.0,V. Carter enters the game for R. Hollins,,62-56,,
9:19.0,,,62-56,,Turnover by K. Love (lost ball; steal by T. Allen)
9:10.0,T. Allen makes 2-pt shot from 4 ft,2,64-56,,
9:00.0,,,64-56,,Turnover by K. Irving (bad pass)
8:45.0,M. Chalmers misses 3-pt shot from 23 ft,,64-56,,
8:44.0,,,64-56,,Defensive rebound by K. Love
8:43.0,,,64-56,,Personal foul by M. Dellavedova (drawn by M. Chalmers)
8:43.0,Personal foul by M. Chalmers,,64-56,,
8:34.0,,,64-56,,Turnover by M. Dellavedova (bad pass; steal by V. Carter)
8:26.0,V. Carter misses 3-pt shot from 24 ft,,64-56,,
8:23.0,Offensive rebound by T. Allen,,64-56,,
8:18.0,Turnover by T. Allen (bad pass; steal by K. Irving),,64-56,,
8:13.0,,,64-56,,L. James misses 2-pt shot from 2 ft (block by J. Green)
8:12.0,,,64-56,,Offensive rebound by L. James
8:03.0,,,64-58,2,L. James makes 2-pt shot at rim
7:55.0,T. Allen makes 2-pt shot at rim,2,66-58,,
7:42.0,,,66-58,,Turnover by K. Irving (bad pass; steal by T. Allen)
7:39.0,Shooting foul by J. Smith (drawn by P. Hairston),,66-58,,
7:39.0,P. Hairston makes free throw 1 of 2,1,67-58,,
7:39.0,P. Hairston makes free throw 2 of 2,1,68-58,,
7:31.0,,,68-60,2,K. Irving makes 2-pt shot at rim
7:12.0,,,68-60,,Personal foul by J. Smith (drawn by M. Chalmers)
7:06.0,Shooting foul by J. Smith (drawn by V. Carter),,68-60,,
7:06.0,V. Carter makes free throw 1 of 2,1,69-60,,
7:06.0,V. Carter misses free throw 2 of 2,,69-60,,
7:05.0,,,69-60,,Defensive rebound by J. Smith
6:50.0,,,69-60,,K. Love misses 2-pt shot from 1 ft
6:49.0,Defensive rebound by P. Hairston,,69-60,,
6:48.0,,,69-60,,Technical foul by K. Love
6:48.0,P. Hairston makes technical free throw,1,70-60,,
6:37.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Chalmers),2,72-60,,
6:20.0,,,72-62,2,J. Smith makes 2-pt shot from 1 ft (assist by L. James)
5:53.0,V. Carter misses 2-pt shot from 5 ft,,72-62,,
5:53.0,Offensive rebound by J. Green,,72-62,,
5:53.0,J. Green makes 2-pt shot at rim,2,74-62,,
5:46.0,Personal foul by T. Allen (drawn by M. Dellavedova),,74-62,,
5:46.0,,,74-62,,I. Shumpert enters the game for M. Dellavedova
5:46.0,,,74-62,,T. Thompson enters the game for K. Love
5:39.0,,,74-62,,Turnover by K. Irving (lost ball; steal by M. Chalmers)
5:34.0,T. Allen misses 2-pt shot from 1 ft,,74-62,,
5:31.0,,,74-62,,Defensive rebound by L. James
5:16.0,,,74-65,3,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James)
4:58.0,M. Chalmers makes 3-pt shot from 24 ft (assist by V. Carter),3,77-65,,
4:45.0,,,77-65,,J. Smith misses 3-pt shot from 23 ft
4:45.0,Defensive rebound by J. Green,,77-65,,
4:24.0,V. Carter makes 2-pt shot from 4 ft (assist by M. Chalmers),2,79-65,,
4:10.0,,,79-65,,K. Irving misses 3-pt shot from 26 ft
4:10.0,Defensive rebound by M. Chalmers,,79-65,,
4:03.0,T. Allen misses 2-pt shot from 3 ft (block by J. Smith),,79-65,,
4:02.0,,,79-65,,Defensive rebound by L. James
3:59.0,,,79-65,,Shooting foul by V. Carter (drawn by L. James)
3:59.0,,,79-66,1,L. James makes free throw 1 of 2
3:59.0,J. Martin enters the game for J. Green,,79-66,,
3:59.0,,,79-66,,M. Dellavedova enters the game for K. Irving
3:59.0,,,79-66,,R. Jefferson enters the game for J. Smith
3:59.0,,,79-67,1,L. James makes free throw 2 of 2
3:45.0,V. Carter misses 2-pt shot from 19 ft,,79-67,,
3:45.0,,,79-67,,Defensive rebound by Team
3:45.0,Loose ball foul by T. Allen (drawn by I. Shumpert),,79-67,,
3:45.0,,,79-68,1,I. Shumpert makes free throw 1 of 2
3:45.0,L. Stephenson enters the game for T. Allen,,79-68,,
3:45.0,,,79-69,1,I. Shumpert makes free throw 2 of 2
3:28.0,Turnover by J. Martin (offensive foul),,79-69,,
3:28.0,Offensive charge foul by J. Martin,,79-69,,
3:13.0,,,79-69,,M. Dellavedova misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by V. Carter,,79-69,,
3:10.0,Memphis full timeout,,79-69,,
2:50.0,L. Stephenson makes 3-pt shot from 25 ft (assist by M. Chalmers),3,82-69,,
2:25.0,,,82-69,,M. Dellavedova misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by L. Stephenson,,82-69,,
2:17.0,Turnover by L. Stephenson (bad pass; steal by L. James),,82-69,,
2:11.0,,,82-71,2,L. James makes 2-pt shot at rim
1:46.0,Turnover by Team (shot clock),,82-71,,
1:30.0,,,82-71,,R. Jefferson misses 3-pt shot from 22 ft
1:30.0,,,82-71,,Offensive rebound by Team
1:30.0,Loose ball foul by J. Martin (drawn by T. Thompson),,82-71,,
1:30.0,,,82-72,1,T. Thompson makes free throw 1 of 2
1:30.0,,,82-72,,K. Irving enters the game for L. James
1:30.0,,,82-72,,T. Thompson misses free throw 2 of 2
1:28.0,,,82-72,,Offensive rebound by R. Jefferson
1:13.0,,,82-74,2,K. Irving makes 2-pt shot from 8 ft (assist by R. Jefferson)
0:55.0,Turnover by M. Chalmers (lost ball; steal by K. Irving),,82-74,,
0:49.0,,,82-74,,Turnover by M. Dellavedova (bad pass)
0:29.0,V. Carter misses 3-pt shot from 26 ft,,82-74,,
0:28.0,,,82-74,,Defensive rebound by K. Irving
0:09.0,,,82-74,,Offensive charge foul by K. Irving
0:09.0,,,82-74,,Turnover by K. Irving (offensive foul)
0:09.0,J. Green enters the game for J. Martin,,82-74,,
0:09.0,,,82-74,,J. Smith enters the game for M. Dellavedova
0:05.0,,,82-74,,Personal foul by R. Jefferson (drawn by M. Chalmers)
0:00.0,J. Green misses 2-pt shot from 5 ft,,82-74,,
0:00.0,,,82-74,,Defensive rebound by T. Thompson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
