time,Washington,pts.away,score,pts.home,Brooklyn
6:37.0,,,43-37,,W. Ellington misses 2-pt shot from 2 ft (block by G. Temple)
6:36.0,,,43-37,,Offensive rebound by Team
6:36.0,M. Gortat enters the game for K. Humphries,,43-37,,
6:29.0,,,43-37,,J. Johnson misses 2-pt shot from 16 ft
6:28.0,Defensive rebound by M. Gortat,,43-37,,
6:08.0,J. Dudley misses 2-pt shot from 14 ft,,43-37,,
6:07.0,,,43-37,,Defensive rebound by B. Lopez
5:58.0,,,43-37,,S. Larkin misses 2-pt shot from 17 ft
5:57.0,Defensive rebound by Team,,43-37,,
5:57.0,Official timeout,,43-37,,
5:57.0,,,43-37,,J. Jack enters the game for S. Larkin
5:57.0,,,43-37,,B. Bogdanovic enters the game for W. Ellington
5:48.0,M. Gortat makes 2-pt shot from 8 ft (assist by J. Wall),2,45-37,,
5:33.0,,,45-37,,T. Young misses 2-pt shot from 2 ft
5:32.0,,,45-37,,Offensive rebound by T. Young
5:24.0,,,45-37,,J. Johnson misses 3-pt shot from 23 ft
5:23.0,,,45-37,,Offensive rebound by B. Lopez
5:21.0,,,45-37,,Offensive foul by B. Lopez
5:21.0,,,45-37,,Turnover by B. Lopez (offensive foul)
5:03.0,M. Gortat misses 2-pt shot from 11 ft,,45-37,,
5:02.0,,,45-37,,Defensive rebound by B. Lopez
4:51.0,,,45-39,2,B. Lopez makes 2-pt shot from 11 ft (assist by J. Jack)
4:30.0,J. Wall makes 3-pt shot from 27 ft (assist by J. Dudley),3,48-39,,
4:17.0,,,48-41,2,J. Jack makes 2-pt shot from 18 ft
3:57.0,J. Wall makes 2-pt shot from 16 ft,2,50-41,,
3:45.0,,,50-41,,B. Lopez misses 2-pt shot from 2 ft (block by M. Gortat)
3:43.0,Defensive rebound by M. Gortat,,50-41,,
3:37.0,J. Dudley misses 3-pt shot from 25 ft,,50-41,,
3:36.0,,,50-41,,Defensive rebound by T. Young
3:18.0,,,50-44,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by B. Lopez)
2:59.0,J. Wall misses 3-pt shot from 26 ft,,50-44,,
2:58.0,,,50-44,,Defensive rebound by T. Young
2:56.0,,,50-44,,Brooklyn full timeout
2:48.0,,,50-46,2,B. Lopez makes 2-pt shot at rim (assist by J. Jack)
2:28.0,M. Gortat misses 2-pt shot from 13 ft,,50-46,,
2:27.0,,,50-46,,Defensive rebound by T. Young
2:20.0,,,50-48,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Jack)
2:05.0,Turnover by G. Temple (lost ball; steal by J. Jack),,50-48,,
1:50.0,,,50-48,,Turnover by T. Young (offensive foul)
1:50.0,,,50-48,,Offensive charge foul by T. Young
1:50.0,K. Humphries enters the game for J. Dudley,,50-48,,
1:26.0,Turnover by Team (shot clock),,50-48,,
1:14.0,Personal foul by G. Temple (drawn by J. Johnson),,50-48,,
1:14.0,O. Porter enters the game for G. Temple,,50-48,,
1:08.0,,,50-48,,Shooting foul by M. Gortat (drawn by T. Young)
1:08.0,,,50-48,,T. Young misses free throw 1 of 2
1:08.0,,,50-48,,Offensive rebound by Team
1:08.0,,,50-48,,A. Bargnani enters the game for B. Lopez
1:08.0,,,50-48,,T. Young misses free throw 2 of 2
1:07.0,Defensive rebound by K. Humphries,,50-48,,
0:59.0,J. Wall misses 2-pt shot from 2 ft,,50-48,,
0:57.0,Offensive rebound by J. Wall,,50-48,,
0:43.0,Offensive charge foul by K. Oubre,,50-48,,
0:43.0,Turnover by K. Oubre (offensive foul),,50-48,,
0:36.0,,,50-48,,Turnover by J. Jack (bad pass; steal by O. Porter)
0:33.0,J. Wall makes 2-pt shot from 2 ft,2,52-48,,
0:23.0,,,52-50,2,T. Young makes 2-pt shot from 5 ft (assist by J. Jack)
0:06.0,,,52-50,,Personal foul by J. Jack (drawn by J. Wall)
0:06.0,Washington full timeout,,52-50,,
0:06.0,J. Eddie enters the game for M. Gortat,,52-50,,
0:01.0,J. Wall misses 2-pt shot from 19 ft,,52-50,,
0:00.0,Offensive rebound by Team,,52-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,K. Oubre makes 3-pt shot from 24 ft (assist by J. Wall),3,55-50,,
