time,Brooklyn,pts.away,score,pts.home,New Orleans
1:43.0,,,94-98,2,N. Cole makes 2-pt shot from 5 ft (assist by J. Holiday)
1:32.0,T. Young makes 2-pt shot from 2 ft (assist by D. Sloan),2,96-98,,
1:17.0,,,96-98,,J. Holiday misses 2-pt shot from 15 ft
1:16.0,Defensive rebound by J. Johnson,,96-98,,
1:05.0,T. Young makes 2-pt shot from 1 ft (assist by D. Sloan),2,98-98,,
0:49.0,,,98-98,,Shooting foul by B. Lopez (drawn by J. Holiday)
0:49.0,,,98-99,1,J. Holiday makes free throw 1 of 2
0:49.0,,,98-99,,D. Cunningham enters the game for R. Anderson
0:49.0,,,98-100,1,J. Holiday makes free throw 2 of 2
0:32.0,B. Lopez makes 2-pt shot at rim (assist by T. Young),2,100-100,,
0:20.0,,,100-100,,New Orleans full timeout
0:20.0,T. Robinson enters the game for B. Lopez,,100-100,,
0:20.0,,,100-100,,R. Anderson enters the game for D. Cunningham
0:09.0,,,100-103,3,J. Holiday makes 3-pt shot from 24 ft
0:09.0,Brooklyn full timeout,,100-103,,
0:09.0,,,100-103,,D. Cunningham enters the game for R. Anderson
0:09.0,B. Lopez enters the game for T. Robinson,,100-103,,
0:07.0,J. Johnson makes 3-pt shot from 28 ft (assist by D. Sloan),3,103-103,,
0:07.0,,,103-103,,New Orleans full timeout
0:07.0,T. Robinson enters the game for B. Lopez,,103-103,,
0:07.0,,,103-103,,R. Anderson enters the game for D. Cunningham
0:01.0,,,103-105,2,J. Holiday makes 2-pt shot from 19 ft
0:00.0,J. Johnson misses 3-pt shot from 40 ft,,103-105,,
0:00.0,Offensive rebound by Team,,103-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
